hjd mag
2457057.06140 20.24
2457057.13541 19.94
2457076.39089 19.93
2457076.64105 20.01
2457156.31563 17.75
2457156.38964 18.31
2457295.21277 20.99
2457295.46293 20.52
2457295.78709 20.83
2457298.53880 20.61
2457298.71494 20.08
2457299.03911 20.07
2457344.15549 20.30
2457344.22949 20.30
2457365.22541 20.61
2457365.40155 20.75
2457397.12896 20.28
2457397.20296 20.73
2457439.43291 20.28
2457439.60906 20.62
2457439.93322 20.74
2457452.86575 20.01
2457453.36606 20.82
2457537.36069 20.24
2457609.31341 20.39
2457609.38743 19.94
2457622.56846 20.28
2457670.24941 18.09
2457670.32341 18.06
2457719.69927 20.90
2457744.01444 20.09
2457744.19058 19.83
2457773.42647 20.37
2457824.96927 20.53
2457825.04328 20.54
2457825.46959 20.29
2457825.54360 20.47
2457825.71976 20.07
2457825.96992 19.97
2457826.22008 19.92
2457826.47024 19.97
2457826.72041 20.00
2457826.79441 19.99
2457827.47088 20.29
2457827.72104 20.33
2457827.97119 20.47
2457828.47152 20.41
2457829.47215 20.59
2457829.97247 20.42
2457830.04647 20.70
2457830.22263 20.39
2457830.54681 20.42
2457830.72296 20.02
2457830.97313 19.96
2457831.04713 20.10
2457831.22329 20.01
2457831.29729 19.99
2457887.96612 20.51
2457888.04013 20.43
2457945.45473 20.05
2457988.16007 19.82
2457988.23407 19.84
2457988.48425 19.64
2458045.09440 19.99
2458045.16840 20.28
2458055.84843 20.00
2458055.92243 19.91
2458095.37536 20.33
2458123.28785 20.04
2458149.78168 20.27
2458149.85568 20.18
2458205.59505 17.78
2458205.84521 17.91
2458206.02138 17.93
2458206.09538 17.83
2458206.27154 17.90
2458206.34554 17.77
2458206.52171 17.79
2458206.59572 17.79
2458206.77188 17.78
2458215.27715 20.13
2458215.35116 20.35
2458215.52731 20.32
2458215.77749 20.29
2458215.85149 20.16
2458216.10167 20.24
2458367.52339 20.35
2458372.70259 20.48
2458372.77660 20.35
2458419.95758 20.74
2458434.38645 20.38
2458526.15385 19.99
2458526.33001 20.27
2458583.14507 20.50
2458583.39524 20.66
2458583.57140 20.58
2458600.32942 17.74
2458600.40344 19.65
2458600.57959 17.93
2458600.65361 18.19
2458677.04448 20.45
2458687.70215 20.62
2458711.98226 20.68
2458712.15843 20.17
2458770.49297 20.16
2458770.56698 20.26
2458770.74314 20.24
2458770.81714 20.29
2458787.75762 20.30
2458787.83162 20.24
2458924.85990 20.17
2458925.11006 20.27
2458925.28620 20.35
2458925.36022 20.25
2458925.53638 20.21
2458926.03670 20.25
2458926.28688 20.15
2458926.36088 20.26
2458926.53704 19.80
2458926.78720 19.86
2458926.86122 20.04
2458927.11138 19.97
2458927.28753 19.79
2458927.36154 19.75
2458927.53770 19.87
2458927.61170 19.75
2458994.01272 16.42
2459030.33965 20.51
2459098.69733 20.63
2459098.77134 20.77
2459098.94750 20.42
2459099.19767 20.40
2459103.77444 20.67
2459103.95060 20.44
2459104.20076 20.19
2459151.38206 20.59
2459151.45606 20.55
2459234.65179 19.04
2459234.82794 19.25
2459257.82916 20.34
2459257.90316 20.34
2459314.64431 19.87
2459314.82046 20.05
2459314.89448 19.86
2459315.07064 19.96
2459429.11832 20.25
2459429.29449 19.90
2459476.73551 20.08
2459476.98567 19.98
2459477.05969 20.16
2459477.23584 20.03
2459477.56001 19.93
2459477.73617 19.82
2459477.81017 19.93
2459477.98633 19.99
2459478.06034 19.98
2459478.31050 19.92
2459478.98698 20.15
2459479.06100 20.56
2459479.23715 20.23
2459479.31116 20.26
2459479.48731 20.29
2459479.56132 20.11
2459526.49709 19.55
2459544.67284 19.76
2459544.74684 20.06
2459615.37190 20.22
2459615.44590 20.12
2459634.12764 20.17
2459634.37780 20.31
2459634.45181 20.11
2459691.69407 18.29
2459691.87024 18.41
2459714.62617 20.54
2459714.70017 20.70
2459750.18676 20.70
2459788.15736 19.69
2459804.83735 20.06
2459804.91135 20.02
2459852.77230 19.98
2459852.84631 20.15
2459853.02247 20.20
2459853.27263 20.19
2459853.34663 20.22
2459853.59679 20.24
2459856.59862 20.52
2459856.77477 20.01
2459857.02493 20.14
2459923.28528 19.94
2459954.93959 20.54
2459998.17000 20.12
2459998.24400 20.25
2459998.42016 19.94
2460010.67653 17.10
2460010.92668 17.24
2460011.00068 17.19
2460011.17684 17.29
2460011.25084 17.20
2460011.42700 17.31
2460011.50101 17.19
2460068.92003 20.72
2460167.37336 20.59
2460167.44737 20.59
2460180.20235 20.16
2460227.80904 20.00
2460227.88304 20.16
2460228.05919 20.08
2460228.13319 20.06
2460235.38690 20.60
2460302.07436 20.48
