HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2455971.90704,2012-02-14.4027056,ba,2.17,99.990,99.990,99.990,99.990,99.990,V
2455971.90945,2012-02-14.4051192,ba,2.16,16.404,13.055,0.011,23.009,0.232,V
2455985.82293,2012-02-28.3194844,ba,2.11,16.231,13.039,0.016,23.354,0.342,V
2455985.82522,2012-02-28.3217771,ba,2.11,16.144,13.046,0.017,23.207,0.357,V
2457008.09708,2014-12-16.5918071,ba,1.97,15.919,13.042,0.015,23.284,0.336,V
2457008.09858,2014-12-16.5933166,ba,2.00,15.903,13.059,0.016,22.937,0.344,V
2457009.09296,2014-12-17.5876565,ba,1.75,15.810,13.020,0.017,23.767,0.375,V
2457009.09436,2014-12-17.5890525,ba,1.74,15.867,13.024,0.017,23.661,0.371,V
2457009.84798,2014-12-18.3426491,ba,1.97,16.098,13.051,0.013,23.101,0.287,V
2457009.84939,2014-12-18.3440581,ba,1.74,16.148,13.072,0.013,22.661,0.275,V
2457010.00405,2014-12-18.4987048,ba,1.72,16.148,13.053,0.013,23.052,0.275,V
2457010.00552,2014-12-18.5001762,ba,1.64,15.962,13.031,0.015,23.522,0.326,V
2457010.09031,2014-12-18.5849615,ba,1.61,16.153,13.038,0.012,23.376,0.273,V
2457010.09170,2014-12-18.5863562,ba,1.72,16.168,13.035,0.012,23.436,0.269,V
2457010.83283,2014-12-19.3274584,ba,1.99,15.983,13.024,0.016,23.690,0.347,V
2457010.83428,2014-12-19.3289089,ba,1.79,15.966,13.010,0.014,23.997,0.322,V
2457011.02538,2014-12-19.5200065,ba,1.98,16.152,13.029,0.012,23.572,0.273,V
2457011.02686,2014-12-19.5214821,ba,1.98,16.139,13.056,0.013,23.009,0.279,V
2457011.08767,2014-12-19.5822961,ba,1.71,16.135,13.054,0.013,23.032,0.278,V
2457011.08918,2014-12-19.5838033,ba,1.96,16.147,13.059,0.013,22.940,0.277,V
2457011.82586,2014-12-20.3204555,ba,1.73,16.067,13.044,0.014,23.241,0.298,V
2457011.82726,2014-12-20.3218616,ba,1.64,16.021,13.017,0.015,23.809,0.313,V
2457012.01078,2014-12-20.5053668,ba,1.71,16.145,13.048,0.013,23.155,0.276,V
2457012.01226,2014-12-20.5068552,ba,1.74,16.204,13.041,0.012,23.310,0.262,V
2457012.08506,2014-12-20.5796509,ba,1.71,16.214,13.037,0.012,23.399,0.260,V
2457012.08647,2014-12-20.5810585,ba,1.67,16.136,13.054,0.013,23.031,0.277,V
2457012.83205,2014-12-21.3266096,ba,1.68,16.055,13.053,0.015,23.059,0.304,V
2457021.80813,2014-12-30.3024756,ba,1.64,15.905,13.073,0.016,22.639,0.343,V
2457021.80953,2014-12-30.3038777,ba,1.67,15.794,13.052,0.017,23.070,0.378,V
2457021.89921,2014-12-30.3935599,ba,1.63,16.024,13.063,0.014,22.856,0.309,V
2457021.90065,2014-12-30.3949885,ba,1.68,16.051,13.065,0.015,22.788,0.302,V
2457021.99297,2014-12-30.4873085,ba,1.71,16.064,13.050,0.014,23.126,0.297,V
2457021.99436,2014-12-30.4886991,ba,1.74,16.133,13.049,0.013,23.135,0.280,V
2457022.05825,2014-12-30.5525850,ba,1.79,16.174,13.027,0.012,23.602,0.269,V
2457022.05972,2014-12-30.5540611,ba,1.97,16.171,13.057,0.012,22.956,0.269,V
2457038.00824,2015-01-15.5025216,ba,1.66,16.086,13.039,0.013,23.353,0.290,V
2457038.00964,2015-01-15.5039144,ba,1.67,16.096,13.018,0.013,23.813,0.287,V
2457039.01115,2015-01-16.5054376,ba,1.79,16.173,13.028,0.012,23.595,0.268,V
2457039.74486,2015-01-17.2391531,ba,1.64,16.108,13.058,0.014,22.945,0.288,V
2457039.74625,2015-01-17.2405680,ba,1.65,16.043,13.060,0.015,22.903,0.305,V
2457040.74261,2015-01-18.2369210,ba,1.65,16.089,13.067,0.014,22.767,0.292,V
2457040.74400,2015-01-18.2383107,ba,1.75,16.002,13.001,0.014,24.198,0.316,V
2457042.73226,2015-01-20.2266064,ba,2.04,16.081,13.048,0.014,23.156,0.296,V
2457042.73369,2015-01-20.2280343,ba,2.04,15.994,13.067,0.015,22.766,0.314,V
2457043.73216,2015-01-21.2265254,ba,2.16,16.056,13.032,0.013,23.503,0.298,V
2457043.73355,2015-01-21.2279170,ba,2.15,15.922,13.034,0.015,23.459,0.335,V
2457044.72997,2015-01-22.2243557,ba,2.21,15.991,13.048,0.015,23.163,0.319,V
