###MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
57313.580745  13.075  0.002 21377   52 c  0 103.58 107.71417   2.46099  3874.96  5338.48 4.08 3.65 -46.5 -0.454 19.35 21.23 02a57313o0467c
57313.607822  13.084  0.002 21200   51 c  0  66.53 107.71417   2.46099  3867.71  5345.17 4.28 3.79 -50.5 -0.435 19.31 21.24 02a57313o0505c
57313.637349  13.087  0.002 21136   52 c  0  94.23 107.71417   2.46099  5316.60  3907.60 4.11 3.79 -25.9 -0.451 19.25 21.02 02a57313o0546c
57322.561605  13.174  0.004 19510   78 o  0   7.91 107.71417   2.46099  3836.80  5351.10 4.79 4.15 -52.8 -0.455 17.96 18.97 02a57322o0654o
57322.598056  13.166  0.108 19652 2114 o  0   1.17 107.71417   2.46099  3839.10  5360.44 4.20 3.65 -59.9 -0.545 14.22 14.19 02a57322o0708o
57323.586820  13.225  0.004 18620   74 o  0  20.14 107.71417   2.46099  3841.42  5359.53 4.03 3.38 -62.4 -0.511 18.28 19.21 02a57323o0611o
57323.610389  13.177  0.003 19454   67 o  0  40.80 107.71417   2.46099  3842.77  5366.64 3.93 3.32 -63.2 -0.514 18.36 19.29 02a57323o0644o
57323.643110  13.172  0.003 19548   68 o  0  44.93 107.71417   2.46099  5284.33  3933.41 3.85 3.52 -21.9 -0.513 18.31 19.20 02a57323o0688o
57334.638480  13.096  0.002 20964   50 c  0  43.35 107.71417   2.46099  6898.96  5303.18 3.78 3.55  84.4 -0.390 19.33 21.06 02a57334o0627c
57342.549628  13.092  0.002 21057   49 c  0  65.44 107.71417   2.46099  3863.62  5389.41 3.92 3.67 -59.2 -0.401 19.45 21.32 02a57342o0453c
57342.569018  13.093  0.002 21028   50 c  0  47.13 107.71417   2.46099  3862.78  5395.91 3.86 3.65 -58.1 -0.398 19.46 21.30 02a57342o0482c
57342.598719  13.081  0.002 21255   51 c  0  49.82 107.71417   2.46099  5447.16  6750.62 3.77 3.52 -88.6 -0.410 19.39 21.17 02a57342o0526c
57342.621565  13.089  0.002 21110   50 c  0  55.16 107.71417   2.46099  5440.69  6751.76 3.78 3.56 -87.8 -0.408 19.36 21.14 02a57342o0561c
57366.474705  13.180  0.003 19404   55 o  0  24.26 107.71417   2.46099  3609.05  5690.25 4.58 4.28 -51.5 -0.415 19.04 21.01 02a57366o0429o
57366.509046  13.179  0.003 19429   54 o  0  30.46 107.71417   2.46099  3324.95  5105.93 4.38 4.03 -43.4 -0.402 19.19 21.13 02a57366o0479o
57366.519579  13.177  0.003 19457   53 o  0  44.64 107.71417   2.46099  4194.01  6269.42 4.00 3.79 -48.0 -0.419 19.23 21.11 02a57366o0494o
57374.449613  13.103  0.003 20826   62 c  0   8.87 107.71417   2.46099  3600.39  5689.88 5.25 4.49 -53.7 -0.333 18.88 21.25 02a57374o0331c
57388.420557  13.172  0.003 19559   55 o  0  90.07 107.71417   2.46099  3577.40  5686.76 3.84 3.34 -65.5 -0.479 19.16 20.80 02a57388o0375o
57388.463951  13.175  0.003 19490   55 o  0  80.21 107.71417   2.46099  6606.04  4426.79 3.56 3.49  82.0 -0.477 19.13 20.75 02a57388o0433o
57388.469195  13.161  0.003 19743   56 o  0  59.32 107.71417   2.46099  6315.47  6169.50 3.60 3.31 -87.5 -0.474 19.11 20.74 02a57388o0441o
57390.407185  13.101  0.002 20883   48 c  0 128.91 107.71417   2.46099  3580.23  5685.71 3.83 3.55 -62.5 -0.409 19.60 21.59 02a57390o0337c
57390.428778  13.080  0.002 21282   48 c  0 101.71 107.71417   2.46099  3290.01  5110.86 3.90 3.63 -57.6 -0.405 19.62 21.65 02a57390o0371c
57390.450198  13.084  0.002 21196   48 c  0 140.30 107.71417   2.46099  4150.11  6278.51 3.82 3.53 -76.4 -0.416 19.64 21.67 02a57390o0401c
57390.469438  13.082  0.002 21244   49 c  0  63.30 107.71417   2.46099  6310.76  6172.61 3.71 3.45  85.4 -0.410 19.59 21.59 02a57390o0426c
57391.407062  13.096  0.002 20974   50 c  0  85.35 107.71417   2.46099  3580.23  5686.47 3.90 3.63 -56.3 -0.417 19.60 21.61 02a57391o0341c
57391.424513  13.081  0.002 21266   49 c  0  79.42 107.71417   2.46099  3291.63  5108.76 3.90 3.59 -59.9 -0.413 19.63 21.66 02a57391o0353c
57391.432588  13.090  0.002 21090   50 c  0  77.56 107.71417   2.46099  4155.21  6274.43 3.82 3.52 -75.7 -0.413 19.64 21.68 02a57391o0366c
57391.468037  13.076  0.002 21358   49 c  0 119.40 107.71417   2.46099  6307.26  6171.87 3.66 3.38 -89.9 -0.421 19.66 21.68 02a57391o0415c
57392.399617  13.086  0.002 21166   50 c  0  32.89 107.71417   2.46099  3544.54  5550.41 4.58 4.17 -55.5 -0.391 19.38 21.50 02a57392o0235c
57392.416192  13.085  0.002 21177   50 c  0  97.81 107.71417   2.46099  3234.55  4960.43 4.07 3.69 -51.6 -0.425 19.56 21.58 02a57392o0261c
57392.429937  13.083  0.002 21224   50 c  0  97.14 107.71417   2.46099  4078.48  6118.52 3.94 3.61 -67.9 -0.421 19.58 21.60 02a57392o0283c
57392.446117  13.073  0.002 21411   50 c  0  55.24 107.71417   2.46099  6187.62  6079.52 3.70 3.51  86.5 -0.411 19.58 21.58 02a57392o0304c
57400.441492  13.080  0.002 21284   49 c  0  94.22 107.71417   2.46099  7078.30  4928.37 3.63 3.45  79.8 -0.417 19.63 21.62 02a57400o0387c
57400.460019  13.089  0.002 21098   49 c  0  73.17 107.71417   2.46099  7403.01  5520.65 3.68 3.45  83.1 -0.414 19.63 21.65 02a57400o0411c
57400.478747  13.086  0.002 21166   49 c  0  69.65 107.71417   2.46099  6569.37  4360.54 3.63 3.57  88.1 -0.409 19.64 21.63 02a57400o0439c
57400.498677  13.085  0.002 21187   49 c  0  86.69 107.71417   2.46099  6309.74  6110.30 3.71 3.50 -89.5 -0.408 19.60 21.61 02a57400o0468c
57401.441840  13.083  0.002 21213   49 c  0  74.52 107.71417   2.46099  7170.87  5013.19 3.67 3.41  84.2 -0.414 19.66 21.67 02a57401o0401c
57401.459612  13.082  0.002 21245   49 c  0 102.38 107.71417   2.46099  7459.72  5598.59 3.67 3.34  86.1 -0.422 19.67 21.68 02a57401o0424c
57401.477742  13.079  0.002 21302   48 c  0  78.43 107.71417   2.46099  6589.58  4434.39 3.74 3.65  84.8 -0.401 19.60 21.61 02a57401o0452c
57401.497207  13.076  0.002 21357   49 c  0  91.71 107.71417   2.46099  6293.34  6175.63 3.66 3.39  89.3 -0.418 19.60 21.58 02a57401o0481c
57421.452081  13.085  0.002 21184   50 c  0  66.41 107.71417   2.46099  6650.21  5631.86 3.82 3.57  89.8 -0.399 19.59 21.66 02a57421o0427c
57421.475880  13.091  0.002 21069   50 c  0  64.33 107.71417   2.46099  6361.19  5052.20 3.79 3.61  89.5 -0.397 19.58 21.63 02a57421o0466c
57421.499620  13.095  0.002 20998   51 c  0  42.65 107.71417   2.46099  7525.52  4479.38 3.81 3.65  85.5 -0.396 19.53 21.57 02a57421o0505c
57421.523287  13.096  0.002 20974   51 c  0  43.00 107.71417   2.46099  7455.46  4440.45 3.86 3.75  83.2 -0.393 19.39 21.35 02a57421o0544c
57422.448754  13.082  0.002 21250   51 c  0  74.02 107.71417   2.46099  6438.49  5687.25 3.83 3.57 -84.7 -0.417 19.52 21.54 02a57422o0421c
57422.472494  13.073  0.002 21419   52 c  0  76.77 107.71417   2.46099  6149.20  5107.66 3.82 3.68 -82.8 -0.413 19.48 21.49 02a57422o0460c
57422.496192  13.089  0.002 21099   52 c  0  81.36 107.71417   2.46099  7314.26  4534.78 3.82 3.70  75.7 -0.420 19.45 21.43 02a57422o0499c
57422.519909  13.090  0.003 21090   54 c  0  51.38 107.71417   2.46099  7455.40  4440.34 3.80 3.73  58.8 -0.421 19.36 21.26 02a57422o0538c
57428.436470  13.309  0.003 17233   47 c  0  88.99 107.71417   2.46099  6629.18  5685.64 3.65 3.40 -86.4 -0.446 19.57 21.54 02a57428o0389c
57428.460355  13.357  0.003 16489   45 c  0  94.00 107.71417   2.46099  6376.55  5110.36 3.65 3.52 -75.9 -0.441 19.52 21.46 02a57428o0428c
57428.484324  13.425  0.003 15492   48 c  0  45.79 107.71417   2.46099  7576.04  4538.94 3.71 3.68  26.2 -0.437 19.44 21.34 02a57428o0467c
57428.508300  13.472  0.003 14836   47 c  0  34.47 107.71417   2.46099  7581.78  4383.36 3.81 3.71  29.4 -0.439 19.33 21.19 02a57428o0506c
57434.377616  13.070  0.003 21470   59 c  0  11.96 107.71417   2.46099  6308.78  5347.24 4.42 4.29  89.4 -0.409 18.66 20.11 02a57434o0329c
57434.400358  13.084  0.003 21203   59 c  0   9.40 107.71417   2.46099  6062.65  4773.66 4.31 4.19 -53.3 -0.394 18.65 20.03 02a57434o0366c
57434.423066  13.088  0.003 21130   62 c  0   7.52 107.71417   2.46099  7258.94  4204.91 5.01 4.94  31.3 -0.364 18.50 20.04 02a57434o0403c
57444.414908  13.424  0.004 15497   56 o  0  33.66 107.71417   2.46099  7685.27  4267.18 3.70 3.41  80.3 -0.479 18.62 19.78 02a57444o0162o
57445.362822  13.151  0.003 19933   57 o  0 103.37 107.71417   2.46099  6267.00  5684.09 3.62 3.22 -85.3 -0.503 18.92 20.36 02a57445o0322o
57445.384281  13.169  0.003 19598   59 o  0  73.41 107.71417   2.46099  5978.97  5103.68 3.51 3.29 -80.8 -0.509 18.87 20.22 02a57445o0363o
57445.405511  13.169  0.003 19614   57 o  0  73.02 107.71417   2.46099  7142.75  4531.36 3.52 3.34 -89.6 -0.489 18.85 20.14 02a57445o0404o
57445.426927  13.175  0.003 19500   62 o  0  40.85 107.71417   2.46099  7419.00  4418.72 3.56 3.35  85.8 -0.485 18.79 20.03 02a57445o0445o
57452.364134  13.068  0.002 21518   51 c  0 107.40 107.71417   2.46099  6415.72  5797.22 3.83 3.53  87.6 -0.453 19.53 21.52 02a57452o0214c
57452.385874  13.064  0.002 21597   52 c  0 107.19 107.71417   2.46099  6126.33  5218.66 3.79 3.61 -84.8 -0.445 19.49 21.46 02a57452o0257c
57452.407788  13.070  0.002 21484   51 c  0 120.99 107.71417   2.46099  7294.64  4645.61 3.78 3.61  79.9 -0.439 19.52 21.50 02a57452o0300c
57452.429660  13.090  0.002 21086   52 c  0  82.29 107.71417   2.46099  7417.45  4416.05 3.76 3.63  68.8 -0.437 19.47 21.43 02a57452o0343c
