oid,expid,hjd,mjd,mag,magerr,catflags,filtercode,ra,dec,chi,sharp,filefracday,field,ccdid,qid,limitmag,magzp,magzprms,clrcoeff,clrcounc,exptime,airmass,programid
462204100002446,46418427,2458218.6843348364,58218.184270800000,13.1414709,0.0109089892,0,zr,107.7141707,2.4610014000000000,1.05799997,-0.0189999994,20180410183623,462,4,1,20.5900002,26.1119728,0.0167057384,0.0681333989,6.77693743E-06,30.0,1.41999996,1
462204100002446,46418922,2458218.6892880700,58218.189224500000,13.1547766,0.0109076602,0,zr,107.7141719,2.4610020000000000,0.42399999,-0.0130000003,20180410189213,462,4,1,20.5100002,26.1022930,0.0180362780,0.0655399337,7.55204610E-06,30.0,1.45400000,1
462204100002446,46914525,2458223.6448566117,58223.145254600000,13.1522684,0.0109079070,0,zr,107.7141806,2.4610154000000000,1.34599996,-0.0030000000,20180415145231,462,4,1,20.5900002,26.1608772,0.0179549083,0.0627570674,7.54070925E-06,30.0,1.28900003,1
462204100002446,46917435,2458223.6739511886,58223.174351900000,13.1377401,0.0109093692,0,zr,107.7141751,2.4609724000000000,1.04299998,0.0170000009,20180415174352,462,4,1,20.5499992,26.1272297,0.0194056779,0.0646903589,8.76271224E-06,30.0,1.44599998,1
462204100002446,47314394,2458227.6431792085,58227.143946800000,13.6704922,0.0108915437,0,zr,107.7141720,2.4610090000000000,0.70300001,0.0329999998,20180419143935,462,4,1,20.5599995,26.1547432,0.0161226355,0.0728140399,6.13463772E-06,30.0,1.33200002,1
462204100002446,47714237,2458231.6412400343,58231.142372700000,13.1556644,0.0109075727,0,zr,107.7141427,2.4610376000000000,0.89099997,0.0189999994,20180423142338,462,4,1,20.0100002,26.1621284,0.0160392094,0.0647891611,6.00340172E-06,30.0,1.38199997,1
462204100002446,62051725,2458375.0148274745,58374.517256900000,13.1702538,0.0109061627,0,zr,107.7141749,2.4610281000000000,0.74199998,0.0020000001,20180913517257,462,4,1,20.3999996,26.1815338,0.0148883201,0.0736191422,5.16361069E-06,30.0,1.67900002,1
462204100002446,62346296,2458377.9607793980,58377.462963000000,13.4155731,0.0108901383,0,zr,107.7141363,2.4610677000000000,1.41799998,-0.0040000002,20180916462951,462,4,1,20.4200001,26.0521889,0.0157295726,0.0692098215,5.68344558E-06,30.0,2.53299999,1
462204100002446,63244245,2458386.9410533025,58386.442453700000,13.1618719,0.0109069673,0,zr,107.7141745,2.4609904000000000,0.67600000,-0.0289999992,20180925442454,462,4,1,19.7199993,26.1047268,0.0190527365,0.0725085959,8.18015360E-06,30.0,2.41599989,1
462204100002446,63552037,2458390.0192479630,58389.520370400000,13.1389093,0.0109092500,0,zr,107.7141737,2.4609881000000000,0.44000000,0.0189999994,20180928520359,462,4,1,20.7099991,26.1762981,0.0160789415,0.0747085586,5.82809253E-06,30.0,1.34300005,1
462204100002446,66938899,2458423.8909926685,58423.388993100000,13.1645212,0.0109067103,0,zr,107.7141658,2.4609947000000000,0.55500001,0.0320000015,20181101388958,462,4,1,20.6200008,26.1637363,0.0149278948,0.0787666664,5.20121102E-06,30.0,1.64600003,1
462204100002446,67243400,2458426.9362699230,58426.434004600000,13.1539154,0.0109077450,0,zr,107.7141620,2.4609910000000000,0.92400002,-0.0080000004,20181104433993,462,4,1,20.9400005,26.1832161,0.0171547439,0.0639800802,6.79091909E-06,30.0,1.29200006,1
462204100002446,67540185,2458429.9043705594,58429.401851900000,13.1498070,0.0109081520,0,zr,107.7141706,2.4609839000000000,0.66399997,-0.0099999998,20181107401852,462,4,1,21.2399998,26.1861382,0.0154960342,0.0748941228,5.54406324E-06,30.0,1.41199994,1
462204100002446,67837540,2458432.8781712570,58432.375405100000,13.1604671,0.0109071033,0,zr,107.7141716,2.4609920000000000,0.82099998,0.0630000010,20181110375370,462,4,1,20.8099995,26.1798820,0.0144326007,0.0763379857,4.82328551E-06,30.0,1.54299998,1
462204100002446,67841300,2458432.9157785713,58432.413009300000,13.1575928,0.0109073827,0,zr,107.7141667,2.4610055000000000,1.26300001,-0.0120000001,20181110412998,462,4,1,20.4599991,26.1940823,0.0166887138,0.0782609582,6.50967286E-06,30.0,1.31099999,1
462204100002446,68138012,2458435.8831364160,58435.380127300000,13.1664057,0.0109065296,0,zr,107.7141390,2.4609992000000000,1.09599996,-0.0060000001,20181113380127,462,4,1,18.8999996,26.2179756,0.0382730849,0.0950358957,3.48616268E-05,30.0,1.44599998,1
462204100002446,68237401,2458436.8771039653,58436.374016200000,13.6087084,0.0108892750,32768,zr,107.7141959,2.4609619000000000,0.36600000,-0.0130000003,20181114374005,462,4,1,16.8400002,23.4816875,0.2251186073,-0.0686187595,5.72982710E-03,30.0,1.46899998,1
462204100002446,68451993,2458439.0231851735,58438.519930600000,13.1608372,0.0109070670,0,zr,107.7141674,2.4609873000000000,0.50099999,-0.0140000004,20181116519919,462,4,1,20.9799995,26.1903782,0.0142881423,0.0752059445,4.71155909E-06,30.0,1.19500005,1
