###MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
57313.604521  14.884  0.007  4040   30 c  0 127.08 103.65382  17.86447  8651.15  4537.49 4.21 3.96  68.5 -0.453 19.34 21.24 02a57313o0500c
57313.629870  14.915  0.008  3926   32 c  0 244.31 103.65382  17.86447  8652.24  4545.34 4.30 4.03  70.4 -0.433 19.29 21.17 02a57313o0535c
57313.648614  14.907  0.015  3956   59 c  0   7.71 103.65382  17.86447   521.19  7560.47 4.62 3.57 -57.4 -0.440 18.42 19.28 02a57313o0562c
57319.522159  14.895  0.012  4001   49 o  0  29.72 103.65382  17.86447  8608.46  4525.86 4.14 3.89  63.6 -0.499 18.54 19.81 02a57319o0500o
57319.567958  14.849  0.010  4171   43 o  0 156.87 103.65382  17.86447 10086.47  3068.08 4.88 3.88  41.3 -0.502 18.94 20.52 02a57319o0566o
57319.590463  14.918  0.010  3916   40 o  0 428.52 103.65382  17.86447   404.70  3029.58 5.62 3.63 -36.3 -0.473 19.00 20.63 02a57319o0596o
57319.596288  14.844  0.010  4193   42 o  0 182.96 103.65382  17.86447 10083.36  3076.58 4.71 3.89  41.3 -0.511 19.00 20.63 02a57319o0604o
57319.615803  14.914  0.010  3928   40 o  0 364.75 103.65382  17.86447   402.77  3036.46 5.51 3.61 -38.4 -0.478 19.02 20.62 02a57319o0630o
57323.566899  14.903  0.014  3970   54 o  0  16.99 103.65382  17.86447  8639.66  4549.24 3.91 3.51  75.4 -0.513 18.27 19.11 02a57323o0583o
57323.597297  14.925  0.014  3891   54 o  0  16.11 103.65382  17.86447  8636.74  4558.39 3.79 3.53  70.5 -0.521 18.29 19.14 02a57323o0625o
57323.618501  15.000  0.016  3631   59 o  0  24.86 103.65382  17.86447 10111.20  3098.60 4.41 3.64  41.3 -0.530 18.34 19.20 02a57323o0655o
57323.646030  14.863  0.015  4118   60 o  0   6.27 103.65382  17.86447 10284.58  7618.79 4.27 3.23  83.2 -0.503 18.24 19.10 02a57323o0692o
57323.658666  14.940  0.092  3837  351 o  0   1.56 103.65382  17.86447   592.17  7578.91 5.13 3.47 -62.1 -0.455 16.91 16.42 02a57323o0710o
57341.523756  14.927  0.008  3882   31 c  0 404.41 103.65382  17.86447  8657.80  4574.83 4.78 4.62  73.9 -0.356 19.23 21.39 02a57341o0406c
57342.525300  14.814  0.007  4311   28 c  0  86.00 103.65382  17.86447  8662.44  4576.97 3.78 3.54  77.6 -0.411 19.50 21.37 02a57342o0417c
57342.561839  14.810  0.007  4324   30 c  0  34.93 103.65382  17.86447  8662.11  4586.86 3.79 3.53  77.6 -0.415 19.47 21.32 02a57342o0471c
57342.585049  14.799  0.007  4368   31 c  0  32.88 103.65382  17.86447   630.08  7589.43 4.29 3.80 -64.4 -0.413 19.40 21.22 02a57342o0505c
57342.599356  14.787  0.007  4418   31 c  0  18.61 103.65382  17.86447 10314.81  7633.31 4.02 3.72  86.5 -0.414 19.37 21.16 02a57342o0527c
57342.618347  14.797  0.007  4379   33 c  0  36.44 103.65382  17.86447   618.29  7591.53 4.28 3.80 -59.6 -0.408 19.35 21.13 02a57342o0556c
57342.618995  14.760  0.007  4531   30 c  0  25.26 103.65382  17.86447 10304.52  7634.01 4.04 3.74  86.1 -0.418 19.36 21.17 02a57342o0557c
57362.489026  14.782  0.008  4438   36 o  0  40.34 103.65382  17.86447  8412.72  4883.05 3.60 3.21  82.0 -0.474 19.17 20.78 02a57362o0421o
57362.497473  14.770  0.008  4488   36 o  0  24.69 103.65382  17.86447  8142.06  4301.34 3.53 3.30  76.0 -0.460 19.17 20.77 02a57362o0432o
