oid,expid,hjd,mjd,mag,magerr,catflags,filtercode,ra,dec,chi,sharp,filefracday,field,ccdid,qid,limitmag,magzp,magzprms,clrcoeff,clrcounc,exptime,airmass,programid
564306300003593,80711947,2458561.6211427622,58561.119479200000,14.7156219,0.0120674782,0,zi,103.6538335,17.864492800000000,0.823000014,0.0199999996,20190319119479,564,6,3,19.4899998,25.7046223,0.026455326,0.20844987,6.74039547E-05,30.0,1.03299999,2
564306300003593,138646886,2459140.9702530582,59140.468865700000,14.6506386,0.0121570211,32768,zi,103.6538126,17.864466400000000,0.606000006,-0.0189999994,20201018468866,564,6,3,20.7199993,25.7796383,0.020790165,0.24144314,3.99322089E-05,30.0,1.10800004,2
564306300003593,141345715,2459167.9609255786,59167.457152800000,14.6937704,0.0120968362,32768,zi,103.6538205,17.864464700000000,0.814000010,-0.0590000004,20201114457153,564,6,3,20.3500004,25.8267708,0.019657586,0.22589239,3.64602674E-05,30.0,1.03199995,2
564306300003593,142832690,2459182.8316885238,59182.326909700000,14.7092924,0.0120759020,0,zi,103.6538158,17.864464400000000,0.749000013,-0.0230000000,20201129326898,564,6,3,20.2000008,25.8462925,0.019810233,0.19712156,3.75413729E-05,30.0,1.19299996,2
564306300003593,143034026,2459184.8451585737,59184.340266200000,14.6772223,0.0121195838,0,zi,103.6538150,17.864461400000000,0.252999991,0.0480000004,20201201340266,564,6,3,19.8700008,25.8592224,0.020903012,0.19013309,4.11597939E-05,30.0,1.13000000,2
564306300003593,143446503,2459188.9701412010,59188.465034700000,15.0237169,0.0117443036,0,zi,103.6538260,17.864474400000000,1.082000017,-0.0070000002,20201205465012,564,6,3,20.3299999,25.8477173,0.018640632,0.20107205,3.31237788E-05,30.0,1.09800005,2
564306300003593,143542902,2459189.9341806737,59189.429027800000,14.5919065,0.0122435633,0,zi,103.6538279,17.864466500000000,0.500999987,-0.0020000001,20201206429028,564,6,3,20.1399994,25.5899067,0.024898825,0.18936838,6.01779466E-05,30.0,1.04499996,2
564306300003593,144544190,2459199.9474571830,59199.441909700000,14.5994596,0.0122321453,32768,zi,103.6538146,17.864472100000000,0.792999983,-0.0020000001,20201216441898,564,6,3,20.3899994,25.8164597,0.019268714,0.22965905,3.60044323E-05,30.0,1.11500001,2
564306300003593,144842241,2459202.9280520410,59202.422419000000,14.6131468,0.0122116664,32768,zi,103.6537959,17.864477800000000,0.657000005,-0.0289999992,20201219422419,564,6,3,20.1299992,25.8201466,0.021497099,0.23200795,4.46111881E-05,30.0,1.08899999,2
564306300003593,145133829,2459205.8440007167,59205.338298600000,14.6533327,0.0121531766,32768,zi,103.6538115,17.864457700000000,0.880999982,0.0309999995,20201222338160,564,6,3,20.9500008,25.8323326,0.021971712,0.24066181,4.57392853E-05,30.0,1.03799999,2
564306300003593,146329699,2459217.8028221050,59217.296990700000,14.6341162,0.0121808406,32768,zi,103.6538156,17.864475500000000,0.972000003,-0.0199999996,20210103296887,564,6,3,18.6499996,24.9661160,0.081674762,0.10804876,6.41478051E-04,30.0,1.04400003,2
564306300003593,146638684,2459220.8926644480,59220.386840300000,14.7004089,0.0120878331,32768,zi,103.6538211,17.864470700000000,0.575999975,-0.0189999994,20210106386794,564,6,3,19.7399998,25.1754093,0.028065611,0.20766787,7.45534926E-05,30.0,1.12100005,2
564306300003593,146926187,2459223.7676773370,59223.261875000000,14.8029718,0.0119580626,32768,zi,103.6538209,17.864487700000000,0.509999990,-0.0240000002,20210109261551,564,6,3,20.4400005,25.7809715,0.020555051,0.23963261,4.01458019E-05,30.0,1.06799996,2
564306300003593,146926869,2459223.7744943700,59223.268692100000,14.7939863,0.0119687114,32768,zi,103.6538194,17.864464200000000,0.550999999,-0.0170000009,20210109268692,564,6,3,20.2700005,25.7789860,0.019408179,0.22828865,3.50897972E-05,30.0,1.05799997,2
564306300003593,147236268,2459226.8684477130,59226.362685200000,14.6634979,0.0121387709,32768,zi,103.6538197,17.864466100000000,0.606000006,-0.0099999998,20210112362639,564,6,3,20.2099991,25.8024979,0.022487495,0.25390750,4.93263069E-05,30.0,1.10200000,2
