HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2456589.77264,2013-10-24.2699158,bc,1.59,15.675,13.308,0.025,18.232,0.419,V
2456589.77402,2013-10-24.2712875,bc,1.53,15.730,13.297,0.023,18.417,0.398,V
2457007.70089,2014-12-16.2012822,bb,1.67,16.226,13.203,0.013,20.078,0.256,V
2457007.70235,2014-12-16.2027437,bb,1.78,16.263,13.236,0.013,19.484,0.247,V
2457008.69980,2014-12-17.2002721,bb,2.49,16.086,13.212,0.016,19.904,0.293,V
2457009.69535,2014-12-18.1958917,bb,1.76,16.124,13.191,0.015,20.299,0.280,V
2457009.69675,2014-12-18.1972825,bb,1.62,16.096,13.204,0.015,20.053,0.286,V
2457010.69280,2014-12-19.1933952,bb,1.68,16.009,13.163,0.016,20.835,0.312,V
2457010.69433,2014-12-19.1949325,bb,1.99,16.089,13.190,0.015,20.325,0.290,V
2457011.69022,2014-12-20.1908881,bb,1.82,15.645,13.165,0.022,20.790,0.431,V
2457011.69178,2014-12-20.1924581,bb,1.73,15.857,13.139,0.018,21.295,0.355,V
2457012.69908,2014-12-21.1998258,bb,2.05,16.127,13.191,0.015,20.304,0.279,V
2457012.70050,2014-12-21.2012418,bb,2.03,16.151,13.184,0.014,20.438,0.275,V
2457117.13449,2015-04-04.6380047,bb,1.83,13.722,13.611,0.198,13.789,2.495,V
2457117.13607,2015-04-04.6395903,bb,1.90,99.990,99.990,99.990,99.990,99.990,V
2457133.11673,2015-04-20.6195456,bb,1.78,16.211,13.251,0.014,19.202,0.259,V
2457133.11830,2015-04-20.6211118,bb,1.66,16.181,13.247,0.015,19.293,0.266,V
2457139.12055,2015-04-26.6230302,bb,1.72,16.108,13.242,0.017,19.368,0.286,V
2457139.12215,2015-04-26.6246325,bb,1.79,16.170,13.252,0.016,19.193,0.271,V
2457148.11244,2015-05-05.6143968,bb,1.70,15.999,13.194,0.016,20.253,0.314,V
2457148.11403,2015-05-05.6159855,bb,1.67,15.879,13.230,0.019,19.586,0.350,V
2457156.04633,2015-05-13.5477748,bb,1.99,16.145,13.193,0.014,20.267,0.273,V
2457156.04787,2015-05-13.5493197,bb,2.04,16.167,13.188,0.014,20.371,0.270,V
2457158.03644,2015-05-15.5377869,bb,2.00,16.169,13.147,0.013,21.141,0.270,V
2457158.03803,2015-05-15.5393733,bb,2.01,16.147,13.198,0.014,20.173,0.275,V
2457161.05063,2015-05-18.5517513,bb,1.61,16.123,13.201,0.016,20.114,0.284,V
2457161.05225,2015-05-18.5533689,bb,1.67,16.161,13.155,0.014,20.992,0.272,V
2457162.05212,2015-05-19.5531687,bb,1.77,15.969,13.182,0.017,20.483,0.322,V
2457162.05364,2015-05-19.5546907,bb,1.76,16.145,13.194,0.014,20.256,0.276,V
2457164.04320,2015-05-21.5441236,bb,1.98,16.253,13.391,0.017,16.872,0.250,V
2457164.04481,2015-05-21.5457280,bb,1.80,16.257,13.379,0.015,17.068,0.248,V
2457172.01127,2015-05-29.5116365,bb,1.65,15.942,13.236,0.018,19.482,0.326,V
2457172.01281,2015-05-29.5131807,bb,1.69,16.009,13.240,0.018,19.404,0.312,V
2457179.02066,2015-06-05.5205599,bb,1.68,15.922,13.294,0.019,18.478,0.336,V
2457179.02224,2015-06-05.5221370,bb,1.64,15.940,13.220,0.018,19.761,0.329,V
2457183.06409,2015-06-09.5636937,bb,1.75,16.140,13.224,0.015,19.695,0.277,V
2457183.06560,2015-06-09.5652018,bb,1.75,16.133,13.216,0.016,19.844,0.280,V
2457185.02509,2015-06-11.5245591,bb,1.69,16.205,13.217,0.014,19.827,0.262,V
2457185.02661,2015-06-11.5260853,bb,1.70,16.204,13.227,0.014,19.640,0.261,V
2457191.04202,2015-06-17.5410879,bb,2.16,16.030,13.228,0.018,19.623,0.312,V
2457191.04349,2015-06-17.5425579,bb,2.11,16.021,13.172,0.017,20.668,0.312,V
2457192.04850,2015-06-18.5474789,bb,1.98,16.194,13.205,0.014,20.035,0.265,V
2457195.04696,2015-06-21.5457375,bb,2.14,16.238,13.196,0.013,20.210,0.253,V
2457195.04854,2015-06-21.5473258,bb,2.09,16.211,13.164,0.013,20.802,0.259,V
2457199.93290,2015-06-26.4313752,bb,1.72,16.085,13.184,0.015,20.433,0.291,V
2457199.93445,2015-06-26.4329180,bb,1.74,16.052,13.175,0.015,20.602,0.300,V
2457200.08892,2015-06-26.5873788,bb,1.74,16.249,13.164,0.013,20.828,0.252,V
2457200.09044,2015-06-26.5889002,bb,1.68,16.252,13.206,0.013,20.024,0.250,V
2457200.95826,2015-06-27.4566693,bb,1.75,16.072,13.196,0.016,20.211,0.295,V
2457200.95983,2015-06-27.4582399,bb,1.98,16.038,13.190,0.016,20.319,0.303,V
2457201.07409,2015-06-27.5724841,bb,1.72,16.262,13.176,0.013,20.571,0.249,V
2457201.07565,2015-06-27.5740466,bb,1.73,16.262,13.184,0.013,20.435,0.249,V
2457201.92287,2015-06-28.4212143,bb,2.08,15.948,13.180,0.017,20.499,0.327,V
2457201.92440,2015-06-28.4227502,bb,2.06,15.983,13.177,0.016,20.564,0.317,V
2457201.99390,2015-06-28.4922388,bb,2.08,16.108,13.193,0.015,20.261,0.285,V
2457201.99545,2015-06-28.4937944,bb,2.07,16.098,13.164,0.015,20.828,0.287,V
2457202.10306,2015-06-28.6014011,bb,2.06,16.261,13.184,0.014,20.444,0.251,V
2457202.10461,2015-06-28.6029412,bb,2.08,16.222,13.181,0.013,20.496,0.258,V
2457202.90652,2015-06-29.4048049,bb,2.09,15.951,13.195,0.017,20.227,0.328,V
2457202.90803,2015-06-29.4063193,bb,2.09,15.880,13.198,0.018,20.185,0.347,V
2457206.93363,2015-07-03.4316428,bb,1.69,15.813,13.250,0.021,19.229,0.370,V
2457206.93517,2015-07-03.4331760,bb,1.70,15.610,13.251,0.025,19.209,0.445,V
2457209.99570,2015-07-06.4935247,bb,1.75,16.066,13.263,0.018,19.001,0.297,V
2457209.99746,2015-07-06.4952812,bb,1.65,16.048,13.277,0.018,18.761,0.302,V
2457215.95564,2015-07-12.4531203,bb,2.17,16.172,13.251,0.016,19.215,0.270,V
2457215.95720,2015-07-12.4546849,bb,2.17,16.190,13.254,0.016,19.152,0.270,V
2457227.92565,2015-07-24.4225244,bb,1.70,16.220,13.211,0.015,19.933,0.261,V
2457227.92706,2015-07-24.4239322,bb,1.71,16.207,13.210,0.015,19.942,0.264,V
2457231.98711,2015-07-28.4838042,bb,1.76,16.159,13.177,0.015,20.566,0.275,V
2457231.98850,2015-07-28.4851995,bb,1.67,16.056,13.188,0.016,20.361,0.299,V
2457234.00357,2015-07-30.5001789,bb,2.05,15.752,13.203,0.022,20.069,0.396,V
2457234.00501,2015-07-30.5016164,bb,2.05,15.685,13.150,0.022,21.065,0.421,V
2457241.04120,2015-08-06.5375468,bb,1.65,16.224,13.201,0.014,20.118,0.259,V
2457241.04260,2015-08-06.5389443,bb,1.70,16.194,13.197,0.014,20.175,0.264,V
2457242.82641,2015-08-08.3227005,bb,1.99,16.262,13.241,0.014,19.392,0.250,V
2457242.82784,2015-08-08.3241263,bb,1.75,16.264,13.235,0.014,19.499,0.251,V
2457245.86056,2015-08-11.3567604,bb,1.70,16.296,13.249,0.014,19.260,0.243,V
2457245.86196,2015-08-11.3581625,bb,1.63,16.276,13.258,0.015,19.084,0.246,V
2457255.81961,2015-08-21.3155841,bb,1.72,16.170,13.214,0.015,19.866,0.271,V
2457255.82103,2015-08-21.3169994,bb,1.68,16.149,13.219,0.016,19.782,0.276,V
2457255.82248,2015-08-21.3184530,bb,1.73,16.163,13.215,0.014,19.870,0.271,V
2457263.79415,2015-08-29.2900240,bb,2.09,15.121,13.219,0.038,19.785,0.693,V
2457263.79540,2015-08-29.2912746,bb,2.07,14.995,13.200,0.043,20.136,0.783,V
2457263.79667,2015-08-29.2925413,bb,2.14,14.960,13.265,0.046,18.972,0.802,V
2457264.95473,2015-08-30.4505953,bb,1.67,15.763,13.655,0.031,13.246,0.383,V
2457264.95598,2015-08-30.4518466,bb,1.72,15.834,13.657,0.029,13.217,0.360,V
2457264.95723,2015-08-30.4531001,bb,1.70,15.912,13.704,0.029,12.664,0.335,V
2457270.99803,2015-09-05.4938734,bb,1.77,15.919,13.186,0.018,20.382,0.336,V
2457270.99892,2015-09-05.4947674,bb,1.76,15.979,13.169,0.016,20.726,0.320,V
2457270.99983,2015-09-05.4956748,bb,1.65,15.976,13.172,0.016,20.665,0.319,V
2457274.94471,2015-09-09.4405730,bb,1.76,16.310,13.339,0.014,17.714,0.235,V
2457274.94596,2015-09-09.4418234,bb,1.76,16.312,13.328,0.014,17.891,0.235,V
2457275.76149,2015-09-10.2573568,bb,2.06,15.978,13.314,0.019,18.125,0.318,V
2457275.76239,2015-09-10.2582569,bb,2.04,15.800,13.339,0.023,17.710,0.375,V
2457275.76329,2015-09-10.2591545,bb,2.03,15.743,13.288,0.023,18.574,0.394,V
2457277.97691,2015-09-12.4727954,bb,1.70,16.263,13.220,0.014,19.751,0.249,V
2457277.97817,2015-09-12.4740584,bb,1.73,16.240,13.204,0.013,20.047,0.253,V
2457277.97943,2015-09-12.4753153,bb,1.74,16.266,13.221,0.013,19.752,0.246,V
2457285.74683,2015-09-20.2428193,bb,1.63,15.985,13.277,0.019,18.763,0.320,V
2457285.74776,2015-09-20.2437502,bb,1.63,15.992,13.277,0.018,18.752,0.316,V
2457285.74869,2015-09-20.2446820,bb,1.67,16.049,13.269,0.017,18.902,0.299,V
2457298.92495,2015-10-03.4212803,bb,1.77,16.135,13.167,0.015,20.744,0.279,V
2457298.92622,2015-10-03.4225487,bb,1.81,16.158,13.190,0.014,20.327,0.272,V
2457298.92748,2015-10-03.4238112,bb,1.70,16.168,13.186,0.014,20.395,0.270,V
2457300.79479,2015-10-05.2911868,bb,2.10,16.129,13.169,0.015,20.719,0.285,V
2457300.79606,2015-10-05.2924618,bb,2.07,16.128,13.177,0.015,20.573,0.282,V
2457300.79733,2015-10-05.2937292,bb,2.07,16.108,13.187,0.016,20.383,0.290,V
2457304.90147,2015-10-09.3980200,bb,1.68,16.210,13.176,0.013,20.575,0.259,V
2457304.90272,2015-10-09.3992714,bb,1.69,16.230,13.194,0.013,20.239,0.255,V
2457304.90397,2015-10-09.4005203,bb,1.75,16.225,13.171,0.013,20.676,0.256,V
2457309.84763,2015-10-14.3443893,bb,1.75,16.257,13.195,0.014,20.219,0.251,V
