###MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
57240.430849  12.846  0.002 26396   60 o  0  82.08 325.11125  33.93440  1449.76  2581.56 3.89 3.53 -47.1 -0.449 19.03 20.65 02a57240o0073o
57240.481958  12.850  0.002 26299   61 o  0  56.26 325.11125  33.93440  7708.80  9431.76 3.99 3.60 -82.7 -0.453 18.89 20.51 02a57240o0091o
57300.307077  12.786  0.003 27906   76 o  0 111.19 325.11125  33.93440  9178.21  8017.35 4.30 3.39  88.7 -0.455 18.91 20.54 02a57300o0299o
57300.329412  12.777  0.003 28134   84 o  0  75.64 325.11125  33.93440  9169.03  8021.16 4.21 3.34 -89.5 -0.481 18.71 20.34 02a57300o0367o
57300.343389  12.791  0.002 27778   69 o  0 102.54 325.11125  33.93440  7729.57  9454.83 4.30 3.43 -78.5 -0.488 19.05 20.82 02a57300o0409o
57300.371144  12.814  0.003 27184   74 o  0  63.67 325.11125  33.93440  7722.68  9456.76 4.19 3.38 -78.7 -0.474 18.88 20.64 02a57300o0493o
57302.301857  12.783  0.003 27986   71 o  0  55.69 325.11125  33.93440  9163.66  8019.50 4.89 3.90  89.8 -0.461 19.13 21.02 02a57302o0182o
57302.327188  12.763  0.002 28490   69 o  0  81.47 325.11125  33.93440  9155.18  8018.67 4.81 3.78 -86.7 -0.474 19.17 21.05 02a57302o0220o
57302.340047  12.785  0.002 27927   69 o  0  72.46 325.11125  33.93440  7713.80  9453.70 4.74 3.67 -74.8 -0.483 19.17 21.01 02a57302o0239o
57302.369371  12.783  0.002 27986   67 o  0 120.54 325.11125  33.93440  7710.41  9458.31 4.54 3.53 -75.5 -0.485 19.17 20.98 02a57302o0283o
57314.299819  13.273  0.003 17809   52 c  0  24.31 325.11125  33.93440  9146.81  8032.41 4.64 3.81  87.8 -0.469 19.31 21.18 02a57314o0156c
57314.323050  13.263  0.003 17980   51 c  0  46.81 325.11125  33.93440  9142.80  8035.07 4.55 3.66 -89.2 -0.456 19.36 21.25 02a57314o0190c
57314.348305  13.282  0.003 17661   48 c  0  41.45 325.11125  33.93440  7696.52  9465.19 4.45 3.87 -81.0 -0.441 19.39 21.34 02a57314o0225c
57314.382414  13.286  0.003 17611   50 c  0  23.90 325.11125  33.93440  7696.09  9469.48 4.55 3.94 -81.6 -0.436 19.38 21.39 02a57314o0272c
57315.292227  13.282  0.003 17668   56 c  0  22.65 325.11125  33.93440  9141.13  8034.32 4.67 3.73  85.2 -0.471 18.98 20.60 02a57315o0164c
57315.308081  13.284  0.003 17631   54 c  0  24.82 325.11125  33.93440  9134.42  8035.89 4.73 3.79 -89.1 -0.474 19.03 20.71 02a57315o0188c
57315.337971  13.271  0.012 17852  219 c  0   1.23 325.11125  33.93440  7695.15  9469.06 4.77 4.00 -80.2 -0.457 17.04 18.30 02a57315o0231c
57316.295633  13.291  0.003 17530   55 c  0  17.58 325.11125  33.93440  9129.84  8031.80 4.72 3.81 -88.6 -0.476 18.97 20.53 02a57316o0139c
57316.316387  13.281  0.003 17693   55 c  0  14.95 325.11125  33.93440  9126.60  8034.87 4.74 3.79 -89.3 -0.464 18.96 20.52 02a57316o0170c
57316.344044  13.290  0.003 17544   55 c  0  12.61 325.11125  33.93440  7686.35  9465.75 4.71 4.05 -80.0 -0.442 18.88 20.43 02a57316o0211c
57316.350847  13.312  0.003 17191   54 c  0  12.20 325.11125  33.93440  7676.39  9464.89 4.71 4.06 -81.5 -0.425 18.87 20.43 02a57316o0220c
57319.284926  12.987  0.003 23192   78 o  0  45.94 325.11125  33.93440  9208.10  8040.99 4.42 3.08  88.5 -0.485 18.49 19.53 02a57319o0162o
57319.313766  13.036  0.004 22165   80 o  0  15.27 325.11125  33.93440  9192.92  8042.88 4.85 3.70 -88.4 -0.495 18.29 19.45 02a57319o0205o
57324.274520  12.841  0.003 26515   79 o  0  32.70 325.11125  33.93440  9238.48  8049.59 4.49 3.37  89.4 -0.501 18.53 19.78 02a57324o0162o
57324.291640  12.841  0.003 26531   79 o  0  42.53 325.11125  33.93440  9234.15  8050.40 4.53 3.36  86.2 -0.495 18.51 19.73 02a57324o0188o
57324.319238  12.859  0.003 26074   74 o  0  39.09 325.11125  33.93440  7792.07  9481.38 4.48 3.53 -85.1 -0.483 18.47 19.70 02a57324o0230o
57324.327442  12.864  0.003 25964   81 o  0  23.73 325.11125  33.93440  7787.58  9482.59 4.48 3.50 -79.9 -0.492 18.45 19.68 02a57324o0242o
57327.289046  12.824  0.003 26932   73 o  0  83.49 325.11125  33.93440  9261.81  8060.92 4.66 3.27  88.5 -0.493 18.84 20.49 02a57327o0172o
57327.307897  12.828  0.003 26841   79 o  0  57.11 325.11125  33.93440  9258.54  8062.71 4.49 3.21  87.2 -0.503 18.84 20.46 02a57327o0199o
57327.347649  12.847  0.003 26383   76 o  0  44.36 325.11125  33.93440  7818.92  9495.28 4.51 3.45 -85.6 -0.488 18.68 20.22 02a57327o0252o
57327.362187  12.836  0.003 26648   74 o  0  61.07 325.11125  33.93440  7817.33  9495.09 4.52 3.40 -85.8 -0.476 18.58 20.04 02a57327o0273o
57362.202073  12.866  0.003 25926   68 o  0  85.52 325.11125  33.93440  9693.36  7589.75 4.01 3.27  80.2 -0.474 19.01 20.51 02a57362o0022o
57362.203293  12.897  0.003 25195   69 o  0  78.52 325.11125  33.93440   136.77  7590.82 4.66 3.63 -58.7 -0.440 18.97 20.51 02a57362o0024o
57362.220495  12.884  0.003 25500   71 o  0  42.73 325.11125  33.93440   420.55  8172.91 4.62 3.67 -63.4 -0.464 18.99 20.61 02a57362o0051o
57362.230397  12.869  0.002 25842   64 o  0 107.01 325.11125  33.93440  9976.08  8193.84 4.11 3.38  83.2 -0.479 19.07 20.71 02a57362o0067o
57362.240650  12.857  0.003 26132   68 o  0  73.91 325.11125  33.93440  9088.54  7005.15 3.97 3.17  85.4 -0.487 19.06 20.70 02a57362o0083o
57362.252444  12.876  0.003 25682   66 o  0  73.17 325.11125  33.93440  8797.04  8754.13 3.95 3.36  86.4 -0.466 19.01 20.61 02a57362o0102o
57363.222994  12.881  0.003 25560   68 o  0  35.99 325.11125  33.93440   429.92  8176.65 4.10 3.76 -77.4 -0.449 18.95 20.55 02a57363o0026o
57363.225447  12.889  0.002 25384   62 o  0  73.55 325.11125  33.93440  9990.54  8195.48 4.06 3.70  85.2 -0.436 19.01 20.62 02a57363o0030o
57363.242980  12.871  0.003 25792   66 o  0  65.54 325.11125  33.93440  9098.07  7007.07 3.93 3.43  81.1 -0.479 18.96 20.51 02a57363o0057o
57363.254709  12.885  0.003 25472   67 o  0  34.68 325.11125  33.93440  8806.94  8755.38 3.84 3.45  85.1 -0.460 18.95 20.48 02a57363o0076o
57364.185272  12.920  0.012 24660  294 o  0   2.10 325.11125  33.93440   140.55  7588.50 4.67 3.74 -51.5 -0.459 17.10 16.78 02a57364o0024o
57364.185886  12.865  0.022 25939  579 o  0   1.49 325.11125  33.93440  9696.81  7588.15 3.99 3.43  77.3 -0.537 17.22 17.03 02a57364o0025o
57364.189194  12.902  0.014 25068  354 o  0   1.81 325.11125  33.93440   434.55  8163.96 4.53 3.66 -55.6 -0.482 17.67 17.85 02a57364o0030o
57364.190426  12.869  0.008 25849  207 o  0   3.19 325.11125  33.93440  9995.14  8183.96 3.82 3.34  76.8 -0.518 17.88 18.26 02a57364o0032o
57364.198563  12.864  0.003 25966   70 o  0  57.97 325.11125  33.93440  9108.76  6991.35 3.83 3.15  84.6 -0.479 18.81 20.12 02a57364o0045o
57364.212802  12.863  0.002 26001   65 o  0  92.00 325.11125  33.93440  8814.35  8738.37 3.83 3.31  84.7 -0.465 19.09 20.68 02a57364o0067o
57365.185341  12.853  0.024 26230  639 o  0   1.37 325.11125  33.93440  9699.42  7582.78 4.02 3.51  81.4 -0.498 17.14 16.86 02a57365o0025o
57365.186582  12.899  0.008 25131  206 o  0   3.49 325.11125  33.93440   146.16  7583.83 4.47 3.79 -51.0 -0.419 17.28 17.12 02a57365o0027o
57365.189761  12.876  0.009 25670  222 o  0   2.72 325.11125  33.93440  9996.82  8180.59 4.04 3.58  76.3 -0.476 17.74 18.07 02a57365o0032o
57365.192325  12.874  0.006 25722  153 o  0   4.26 325.11125  33.93440   433.80  8162.13 4.21 3.66 -57.7 -0.469 18.06 18.69 02a57365o0036o
57365.198601  12.869  0.003 25848   70 o  0  53.96 325.11125  33.93440  9109.41  6990.54 3.89 3.30  83.8 -0.486 18.73 20.00 02a57365o0046o
57365.214093  12.845  0.002 26422   66 o  0  91.72 325.11125  33.93440  8814.00  8740.67 3.84 3.36  83.0 -0.469 18.97 20.46 02a57365o0070o
57384.228980  12.860  0.002 26053   65 o  0  58.28 325.11125  33.93440  9838.14  8392.18 4.02 3.65  86.3 -0.435 18.97 20.58 02a57384o0045o
57384.239638  12.841  0.003 26511   67 o  0  70.66 325.11125  33.93440   286.07  8377.00 4.00 3.63 -67.6 -0.439 18.94 20.48 02a57384o0062o
57384.240250  12.837  0.002 26617   66 o  0  79.79 325.11125  33.93440  8960.49  7200.53 3.88 3.39  84.8 -0.458 18.99 20.57 02a57384o0063o
57384.250255  12.844  0.002 26456   65 o  0  63.60 325.11125  33.93440  8676.39  8941.99 3.84 3.57  82.5 -0.441 18.96 20.57 02a57384o0079o
57385.217326  12.844  0.003 26449   68 o  0  73.45 325.11125  33.93440  9553.50  7796.69 3.86 3.40  83.0 -0.462 18.97 20.50 02a57385o0067o
57385.231445  12.851  0.003 26280   67 o  0  55.75 325.11125  33.93440  9845.12  8392.49 3.92 3.48  84.6 -0.462 18.94 20.46 02a57385o0089o
57385.242662  12.854  0.003 26215   70 o  0  73.84 325.11125  33.93440   289.86  8372.65 4.27 3.59 -56.8 -0.450 18.86 20.29 02a57385o0107o
57385.243280  12.827  0.003 26858   70 o  0  67.56 325.11125  33.93440  8963.27  7197.90 3.87 3.22  83.9 -0.469 18.89 20.37 02a57385o0108o
