###MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
57232.560679  13.824  0.027 10722  287 o  0   8.57  59.95587  43.24319  8373.80  3794.10 3.58 3.25  83.0 -0.469 16.80 17.42 02a57232o0354o
57300.454740  -4.345  0.070 198612477722 13976433618 o  0   2.41  59.95587  43.24319  8430.98  3814.14 3.90 3.71  56.8 -0.808 -2.37 -0.83 02a57300o0741o
57300.477917  -3.564  0.125 96718045941 12053008765 o  0   2.05  59.95587  43.24319  8432.68  3822.34 3.89 3.62  55.3 -0.592 -2.59 -1.32 02a57300o0811o
57300.493288  -6.480  0.012 1418917192467 16331919803 o  0  75.00  59.95587  43.24319  9887.37  2320.98 4.45 3.68  31.6 -0.544 -2.62 -1.39 02a57300o0859o
57300.502353  -6.799  0.008 1903723019633 14364402212 o  0 313.80  59.95587  43.24319   212.29  2240.10 4.72 3.28 -31.3 -0.486 -2.62 -1.34 02a57300o0887o
57300.516336  -6.904  0.008 2097524440480 16740019477 o  0 174.84  59.95587  43.24319  9882.40  2327.38 4.52 3.71  28.1 -0.544 -2.46 -1.04 02a57300o0931o
57300.524557  -7.210  0.005 2779639454695 14931453882 o  0 520.25  59.95587  43.24319   216.22  2243.42 4.82 3.31 -29.7 -0.475 -2.43 -0.93 02a57300o0957o
57302.448908  13.814  0.004 10822   48 o  0 1077.13  59.95587  43.24319  8440.95  3818.21 4.03 3.86  76.1 -0.490 19.06 20.76 02a57302o0404o
57302.464883  13.796  0.004 11009   48 o  0 1158.70  59.95587  43.24319  8447.51  3814.79 4.01 3.89  48.4 -0.495 19.07 20.79 02a57302o0428o
57302.487289  13.807  0.005 10898   51 o  0 667.76  59.95587  43.24319  9900.33  2319.02 4.73 3.83  29.5 -0.508 19.09 20.77 02a57302o0463o
57302.492366  13.764  0.004 11336   49 o  0 822.34  59.95587  43.24319   229.84  2241.91 5.11 3.43 -31.1 -0.456 19.06 20.67 02a57302o0471o
57302.511378  13.803  0.005 10931   51 o  0 688.56  59.95587  43.24319  9898.55  2326.35 4.55 3.82  32.1 -0.515 19.06 20.68 02a57302o0501o
57302.517741  13.772  0.004 11250   49 o  0 641.30  59.95587  43.24319   232.57  2243.77 5.17 3.45 -33.5 -0.448 19.04 20.63 02a57302o0511o
57316.430514  15.697  0.016  1910   30 c  0 437.08  59.95587  43.24319  8521.33  3835.22 4.63 4.28  29.3 -0.415 19.20 21.09 02a57316o0338c
57316.468995  14.965  0.008  3751   31 c  0 621.57  59.95587  43.24319  8516.72  3842.05 4.33 4.07  37.8 -0.445 19.40 21.36 02a57316o0395c
57316.490687  14.633  0.006  5090   32 c  0 588.60  59.95587  43.24319  9976.48  2346.51 5.15 4.11  31.3 -0.446 19.38 21.32 02a57316o0427c
57316.500640  14.394  0.005  6344   34 c  0 503.94  59.95587  43.24319   312.36  2259.90 5.89 3.97 -31.0 -0.414 19.37 21.29 02a57316o0442c
57316.502232  14.503  0.006  5741   36 c  0 532.24  59.95587  43.24319  9987.52  2348.34 4.93 3.93  31.4 -0.463 19.42 21.33 02a57316o0444c
57316.517835  14.243  0.005  7294   37 c  0 461.47  59.95587  43.24319   318.31  2267.17 5.79 3.86 -30.5 -0.420 19.40 21.25 02a57316o0467c
57320.542999  13.855  0.006 10425   60 o  0 321.89  59.95587  43.24319  2179.49  6794.72 4.35 3.32 -65.4 -0.470 18.49 19.67 02a57320o0510o
57320.566854  13.861  0.006 10370   57 o  0 355.73  59.95587  43.24319  2172.07  6794.42 4.27 3.23 -62.7 -0.470 18.49 19.64 02a57320o0547o
57320.603053  13.832  0.005 10642   57 o  0 332.14  59.95587  43.24319   716.30  8301.84 4.85 3.38 -60.7 -0.459 18.71 20.07 02a57320o0603o
57320.614608  13.850  0.005 10467   52 o  0 551.74  59.95587  43.24319 10390.48  8389.78 4.64 3.48  84.7 -0.485 18.97 20.55 02a57320o0621o
