###MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
57233.485694  14.007  0.007  9061   61 o  0   6.80 341.78179  56.29785   591.13  7658.16 3.40 3.29 -64.5 -0.499 18.48 19.37 02a57233o0172o
57233.503624  14.011  0.007  9025   65 o  0   6.83 341.78179  56.29785   598.94  7663.46 3.42 3.30 -59.6 -0.501 18.41 19.29 02a57233o0185o
57307.311435 -19.369  4.425   -65  287 c  0   0.06 341.78179  56.29785    40.21  2874.83 4.83 3.70 -39.6 -0.438 19.41 21.33 02a57307o0107c
57307.334616  14.156  0.005  7898   39 c  0   9.21 341.78179  56.29785 10034.06  2950.58 4.74 3.90  54.0 -0.483 19.39 21.34 02a57307o0139c
57307.373317  14.152  0.005  7929   37 c  0   9.97 341.78179  56.29785 10015.77  2958.41 4.92 4.07  48.8 -0.463 19.37 21.36 02a57307o0162c
57307.374590  14.182  0.005  7712   37 c  0   9.37 341.78179  56.29785  8493.14  4332.04 4.50 4.02  71.6 -0.450 19.35 21.37 02a57307o0164c
57307.416010  14.160  0.005  7872   37 c  0  10.32 341.78179  56.29785  8483.19  4334.13 4.38 3.95  73.3 -0.459 19.35 21.35 02a57307o0200c
57320.325693  15.145  0.742  3177 2356 o  0   0.07 341.78179  56.29785    55.99  2888.60 6.68 4.00 -38.9 -0.465 18.24 19.37 02a57320o0225o
57320.335374  13.983  0.008  9261   73 o  0   3.04 341.78179  56.29785 10058.52  2964.93 5.77 4.55  49.5 -0.477 18.27 19.39 02a57320o0240o
57320.348260 -16.552  2.710  -869 2355 o  0   0.00 341.78179  56.29785    49.97  2886.58 6.67 4.01 -41.1 -0.446 18.25 19.37 02a57320o0260o
57320.363092  13.978  0.008  9306   73 o  0   3.05 341.78179  56.29785 10047.88  2965.97 5.55 4.46  45.1 -0.481 18.27 19.37 02a57320o0283o
57320.429718  13.981  0.007  9284   68 o  0   5.47 341.78179  56.29785  8504.91  4344.14 4.30 3.82  88.9 -0.522 18.20 19.23 02a57320o0334o
