oid,expid,hjd,mjd,mag,magerr,catflags,filtercode,ra,dec,chi,sharp,filefracday,field,ccdid,qid,limitmag,magzp,magzprms,clrcoeff,clrcounc,exptime,airmass,programid
1837103100008802,57543718,2458329.9384154947,58329.4371875,14.3548641,0.0144106466,0,zg,341.78175750000000,56.297851700000000,0.805000007,-0.0130000003,20180730437176,1837,3,1,20.5300007,26.3036728,0.0195380952,-0.0725988969,4.82891664E-06,30.0,1.102,2
1837103100008802,57543763,2458329.9388669180,58329.4376389,14.3379107,0.0144058559,0,zg,341.78175830000000,56.297849600000000,0.999000013,0.0189999994,20180730437639,1837,3,1,20.5699997,26.2936630,0.0202174857,-0.0703195408,5.18644902E-06,30.0,1.102,2
1837103100008802,57943443,2458333.9358629473,58333.4344329,14.3498898,0.0144092254,0,zg,341.78175920000000,56.297852000000000,1.217000008,-0.0120000001,20180803434421,1837,3,1,20.9200001,26.3048172,0.0166429020,-0.0863495246,3.53766541E-06,30.0,1.104,2
1837103100008802,57943488,2458333.9363143705,58333.4348843,14.3599815,0.0144121200,0,zg,341.78176190000000,56.297841100000000,0.597999990,-0.0329999998,20180803434884,1837,3,1,20.9799995,26.2919254,0.0184985027,-0.0773501322,4.41096290E-06,30.0,1.105,2
1837103100008802,58439363,2458338.8953071160,58338.3936343,14.3639450,0.0144132692,0,zg,341.78177210000000,56.297848500000000,1.972000003,-0.0390000008,20180808393634,1837,3,1,21.3999996,26.3438110,0.0193867814,-0.0939011723,4.86816452E-06,30.0,1.098,2
1837103100008802,59039033,2458344.8922878630,58344.3903356,14.3665705,0.0144140339,0,zg,341.78176280000000,56.297845600000000,1.335999966,-0.0299999993,20180814390324,1837,3,1,21.6000004,26.3039551,0.0176033955,-0.0918840989,4.12241434E-06,30.0,1.098,2
1837103100008802,60642817,2458360.9307736580,58360.4281713,14.3408861,0.0144066866,0,zg,341.78175400000000,56.297873400000000,0.446999997,0.0160000008,20180830428137,1837,3,1,20.2399998,26.3153362,0.0205826238,-0.0357490070,5.53203290E-06,30.0,1.196,2
1837103100008802,60932915,2458363.8318573213,58363.3291551,14.3534632,0.0144102452,0,zg,341.78176300000000,56.297848000000000,1.282999992,-0.0260000005,20180902329155,1837,3,1,20.8400002,26.3420048,0.0176017415,-0.0915756673,4.07881180E-06,30.0,1.105,2
1837103100008802,62724510,2458381.7482784847,58381.2451042,14.3668118,0.0144141046,0,zg,341.78171440000000,56.297833200000000,0.694999993,-0.0399999991,20180920245069,1837,3,1,20.5900002,26.3553772,0.0202101488,-0.1196916774,5.46118781E-06,30.0,1.118,2
1837103100008802,62924802,2458383.7512311140,58383.2480208,14.3626566,0.0144128939,0,zg,341.78176250000000,56.297833300000000,0.686999977,-0.0670000017,20180922248021,1837,3,1,20.5100002,26.3300285,0.0194390211,-0.1059891060,5.07686173E-06,30.0,1.113,2
1837103100008802,63028236,2458384.7855886320,58384.2823611,14.3729563,0.0144159114,0,zg,341.78176010000000,56.297827400000000,1.184000015,-0.0769999996,20180923282338,1837,3,1,20.3400002,26.3243160,0.0216538273,-0.1143785790,6.25932717E-06,30.0,1.106,2
1837103100008802,63324971,2458387.7529822150,58387.2497106,14.3726835,0.0144158304,32768,zg,341.78172920000000,56.297836400000000,1.090000033,-0.0240000002,20180926249676,1837,3,1,20.0000000,26.4093285,0.0244595986,-0.1467397064,8.00696125E-06,30.0,1.107,2
1837103100008802,63536299,2458389.8662958355,58389.3629977,14.3614082,0.0144125316,0,zg,341.78176780000000,56.297836500000000,0.970000029,-0.0700000003,20180928362998,1837,3,1,20.5900002,26.3435822,0.0192923509,-0.1053008437,4.90225602E-06,30.0,1.229,2
1837103100008802,63636986,2458390.8731704430,58390.3698611,14.3715477,0.0144154951,0,zg,341.78176710000000,56.297847800000000,0.643999994,-0.0250000004,20180929369826,1837,3,1,20.4699993,26.3659191,0.0209251679,-0.1126814112,5.80205506E-06,30.0,1.254,2
1837103100008802,67633318,2458430.8361689420,58430.3331829,14.3611937,0.0144124702,0,zg,341.78179020000000,56.297846900000000,0.596000016,-0.0149999997,20181108333183,1837,3,1,21.1000004,26.2879162,0.0177345295,-0.0851416588,4.08417554E-06,30.0,1.570,2
1837103100008802,68924760,2458443.7501808120,58443.2476042,14.3691921,0.0144148022,0,zg,341.78178230000000,56.297838800000000,0.799000025,-0.0399999991,20181121247569,1837,3,1,20.1000004,26.3041573,0.0230252724,-0.0835675597,6.75714864E-06,30.0,1.322,2
1837103100008802,97142302,2458725.9256141074,58725.4230208,14.3886566,0.0144206109,32768,zg,341.78186560000000,56.297813400000000,1.105000019,-0.0219999999,20190830422998,1837,3,1,21.1100006,26.3615379,0.0211720858,-0.1696786135,5.99961459E-06,30.0,1.185,2
1837103100008802,97142347,2458725.9260655220,58725.4234722,14.3885498,0.0144205783,0,zg,341.78182660000000,56.297832100000000,1.506000042,-0.0869999975,20190830423472,1837,3,1,21.2700005,26.3194313,0.0184781700,-0.1321677715,4.53580788E-06,30.0,1.186,3
