oid,expid,hjd,mjd,mag,magerr,catflags,filtercode,ra,dec,chi,sharp,filefracday,field,ccdid,qid,limitmag,magzp,magzprms,clrcoeff,clrcounc,exptime,airmass,programid
1837203100012193,57239484,2458326.8959205000,58326.3948495,14.0448627,0.0118372571,0,zr,341.78176380000000,56.297871800000000,1.28799999,-0.0599999987,20180727394826,1837,3,1,20.1100006,26.2555847,0.0171600152,0.0742161497,3.75447917E-06,30.0,1.11300004,2
1837203100012193,57239531,2458326.8963835263,58326.3953125,14.0310631,0.0118399011,0,zr,341.78174960000000,56.297854000000000,0.77399999,0.0060000001,20180727395301,1837,3,1,20.2199993,26.2607250,0.0181223899,0.0767118931,4.22785024E-06,30.0,1.11199999,2
1837203100012193,57336943,2458327.8705544607,58327.3694329,14.0279284,0.0118405130,0,zr,341.78175740000000,56.297859000000000,1.01300001,-0.0160000008,20180728369433,1837,3,1,20.2099991,26.2174053,0.0231937245,0.0732363015,7.09143933E-06,30.0,1.13600004,2
1837203100012193,57336989,2458327.8710173860,58327.3698958,14.0266857,0.0118407561,0,zr,341.78173740000000,56.297848300000000,2.54500008,-0.0599999987,20180728369884,1837,3,1,20.2299995,26.2341442,0.0237829909,0.0714035705,7.65511413E-06,30.0,1.13499999,2
1837203100012193,57436798,2458328.8691592077,58328.3679861,14.0417976,0.0118378382,0,zr,341.78174870000000,56.297845600000000,0.50300002,-0.0230000000,20180729367940,1837,3,1,20.2299995,26.1821060,0.0200874917,0.0761537775,5.21352194E-06,30.0,1.13399994,2
1837203100012193,57436843,2458328.8696106290,58328.3684375,14.0381565,0.0118385330,0,zr,341.78176130000000,56.297862500000000,0.82900000,0.0390000008,20180729368438,1837,3,1,20.2299995,26.1884499,0.0181721970,0.0751232877,4.28518842E-06,30.0,1.13399994,2
1837203100012193,57638706,2458330.8883366664,58330.3870602,14.0666895,0.0118332300,0,zr,341.78174560000000,56.297875200000000,2.15300012,-0.0379999988,20180731387060,1837,3,1,20.3700008,26.2324638,0.0188303404,0.0686482787,4.56796033E-06,30.0,1.11000001,2
1837203100012193,57638752,2458330.8887995905,58330.3875231,14.0439081,0.0118374368,0,zr,341.78174810000000,56.297868000000000,1.12399995,-0.0109999999,20180731387512,1837,3,1,20.4599991,26.2375717,0.0196146127,0.0680917203,4.93544485E-06,30.0,1.11000001,2
1837203100012193,57738555,2458331.8868827230,58331.3855556,14.0491619,0.0118364487,0,zr,341.78174780000000,56.297871400000000,1.74199998,-0.0109999999,20180801385556,1837,3,1,20.5200005,26.2210960,0.0196731985,0.0690607280,5.13592886E-06,30.0,1.10899997,2
1837203100012193,57738601,2458331.8873456470,58331.3860185,14.0399837,0.0118381837,0,zr,341.78174090000000,56.297868900000000,0.92799997,-0.0390000008,20180801386007,1837,3,1,20.5599995,26.2128792,0.0209459849,0.0672685727,5.91048911E-06,30.0,1.10899997,2
