HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2456086.07378,2012-06-07.5712127,bb,2.23,15.380,11.675,0.010,82.011,0.761,V
2456086.07601,2012-06-07.5734415,bb,2.23,15.420,11.664,0.011,82.870,0.796,V
2457065.16682,2015-02-11.6698409,bd,1.56,15.089,11.774,0.012,74.854,0.854,V
2457065.16821,2015-02-11.6712336,bd,1.76,15.179,11.760,0.011,75.818,0.816,V
2457078.15003,2015-02-24.6526898,bd,1.57,15.411,11.790,0.012,73.741,0.800,V
2457078.15148,2015-02-24.6541396,bd,1.52,15.390,11.791,0.011,73.744,0.759,V
2457079.13880,2015-02-25.6414312,bd,1.70,15.315,11.771,0.010,75.029,0.718,V
2457079.14028,2015-02-25.6429021,bd,1.55,15.345,11.767,0.011,75.327,0.793,V
2457080.13852,2015-02-26.6411317,bd,1.71,15.322,11.761,0.011,75.792,0.767,V
2457080.13993,2015-02-26.6425372,bd,1.60,15.329,11.781,0.011,74.388,0.736,V
2457081.13023,2015-02-27.6328050,bd,1.66,15.428,11.916,0.011,65.713,0.663,V
2457081.13165,2015-02-27.6342211,bd,1.66,15.424,11.919,0.011,65.467,0.656,V
2457103.13113,2015-03-21.6331363,bd,1.56,15.427,11.784,0.011,74.160,0.753,V
2457104.13630,2015-03-22.6382513,bd,1.54,15.372,11.783,0.010,74.204,0.711,V
2457104.13793,2015-03-22.6398769,bd,1.57,15.404,11.784,0.011,74.140,0.736,V
2457106.12870,2015-03-24.6305437,bd,1.52,15.398,11.785,0.011,74.118,0.753,V
2457106.13030,2015-03-24.6321431,bd,1.59,15.410,11.779,0.011,74.584,0.759,V
2457109.08859,2015-03-27.5902703,bd,1.72,15.351,11.791,0.011,73.763,0.758,V
2457109.09027,2015-03-27.5919548,bd,1.54,15.360,11.781,0.011,74.418,0.750,V
2457110.09809,2015-03-28.5997158,bd,1.50,15.411,11.764,0.010,75.589,0.700,V
2457110.09970,2015-03-28.6013326,bd,1.56,15.377,11.765,0.011,75.519,0.731,V
2457111.08178,2015-03-29.5833508,bd,1.63,15.383,11.764,0.011,75.577,0.738,V
