###MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
57284.305650  12.011  0.001 56971   83 c  0 267.63 293.81896  29.77539  7753.17  9727.26 4.38 3.85 -79.3 -0.459 19.17 21.21 02a57284o0035c
57284.306263  12.014  0.001 56823   81 c  0 308.82 293.81896  29.77539  7753.06  9727.20 4.44 3.91 -81.8 -0.462 19.16 21.22 02a57284o0036c
57300.267309  11.653  0.002 79249  142 o  0 153.24 293.81896  29.77539   802.45  1537.81 4.81 3.59 -34.3 -0.521 18.43 19.91 02a57300o0177o
57300.283629  11.653  0.002 79194  122 o  0 276.47 293.81896  29.77539   802.15  1540.83 4.84 3.56 -30.7 -0.519 18.75 20.30 02a57300o0227o
57302.252386 -17.109  1.179  -520  613 o  0   0.03 293.81896  29.77539  2293.99    47.76 5.54 3.57 -17.2 -0.571 18.97 20.69 02a57302o0105o
57302.270306  11.663  0.001 78489  116 o  0 138.61 293.81896  29.77539   787.89  1539.86 5.52 3.71 -27.0 -0.516 18.99 20.73 02a57302o0133o
57302.286388  11.658  0.001 78842  116 o  0 154.38 293.81896  29.77539   786.67  1540.08 5.59 3.74 -27.5 -0.518 18.99 20.75 02a57302o0158o
57314.227888  11.782  0.001 70309   97 c  0 167.93 293.81896  29.77539  7779.09  9743.21 4.79 3.94 -80.7 -0.505 19.03 20.77 02a57314o0049c
57314.236887  11.939  0.002 60880  116 c  0 279.93 293.81896  29.77539  2294.13    57.44 6.47 3.84 -12.6 -0.528 19.11 20.88 02a57314o0063c
57314.247546  11.777  0.001 70658   94 c  0 319.36 293.81896  29.77539  7775.40  9743.20 4.53 3.80 -82.1 -0.512 19.12 20.85 02a57314o0079c
57314.257993  11.921  0.004 61863  217 c  0  35.85 293.81896  29.77539  2285.81    57.14 6.56 4.08 -13.5 -0.516 19.06 20.85 02a57314o0095c
57314.277458  11.766  0.001 71401  101 c  0 101.18 293.81896  29.77539   784.67  1548.05 6.28 4.16 -25.2 -0.479 19.02 20.79 02a57314o0124c
