oid,expid,hjd,mjd,mag,magerr,catflags,filtercode,ra,dec,chi,sharp,filefracday,field,ccdid,qid,limitmag,magzp,magzprms,clrcoeff,clrcounc,exptime,airmass,programid
1575112200002214,75353466,2458508.0359213785,58507.534664400000,15.2934828,0.0102863796,0,zg,210.17501910000000,16.566756300000000,0.584999979,-0.0149999997,20190124534653,1575,12,2,20.25,26.3014698,0.0370242819,-0.0389733091,5.55559964E-05,30.0,1.08000004,2
1575112200002214,75553997,2458510.0414095926,58509.539976900000,15.2482862,0.0102775823,0,zg,210.17500080000000,16.566750100000000,0.718999982,0.0020000001,20190126539965,1575,12,2,19.68,26.2678280,0.0339174867,-0.0622912906,7.24110650E-05,30.0,1.06700003,2
1575112200002214,76847184,2458522.9743596290,58522.471840300000,15.2184372,0.0102732545,0,zg,210.17500660000000,16.566761900000000,0.913999975,-0.0040000002,20190208471829,1575,12,2,21.26,26.2711391,0.0302340053,-0.0492003486,2.44586845E-05,30.0,1.12199998,2
1575112200002214,109657375,2458851.0730197390,58850.573750000000,15.2489204,0.0102776876,0,zg,210.17501160000000,16.566729100000000,0.890999973,0.0010000000,20200102573750,1575,12,2,20.49,26.3099327,0.0378440432,-0.0303578489,5.24578172E-05,30.0,1.12199998,2
1575112200002214,109657420,2458851.0734711764,58850.574201400000,15.2457733,0.0102771744,0,zg,210.17503990000000,16.566726300000000,0.790000021,-0.0000000000,20200102574201,1575,12,2,20.46,26.3297520,0.0366672315,-0.0445149392,4.99046873E-05,30.0,1.12100005,3
1575112200002214,120935297,2458963.8581999014,58963.352974500000,15.2473345,0.0102774259,0,zg,210.17501610000000,16.566726400000000,1.011000037,-0.0379999988,20200424352963,1575,12,2,21.75,26.2826443,0.0282814540,-0.0709253028,2.17289053E-05,30.0,1.06400001,2
1575112200002214,120935387,2458963.8591026845,58963.353877300000,15.2258024,0.0102742147,0,zg,210.17500880000000,16.566734200000000,1.049000025,-0.0670000017,20200424353877,1575,12,2,21.55,26.2710419,0.0294111148,-0.0555008724,2.35341668E-05,30.0,1.06500006,3
1575112200002214,122528447,2458979.7892361180,58979.284479200000,15.2519960,0.0102782026,0,zg,210.17503110000000,16.566713700000000,1.345000029,-0.0489999987,20200510284479,1575,12,2,20.89,26.2792721,0.0362837277,-0.0636772960,4.16522962E-05,30.0,1.05200005,3
1575112200002214,131715785,2459071.6557390750,59071.157858800000,15.2419119,0.0102765607,0,zg,210.17501060000000,16.566727900000000,0.828999996,-0.0230000000,20200810157859,1575,12,2,21.17,26.2877293,0.0296545941,-0.0495309867,2.54222214E-05,30.0,1.40799999,3
1575112200002214,131723326,2459071.7311382056,59071.233263900000,15.2472715,0.0102774166,0,zg,210.17501950000000,16.566737300000000,0.991999984,0.0189999994,20200810233264,1575,12,2,20.48,26.0128441,0.0434892178,-0.0247001592,7.12993060E-05,30.0,2.58699989,3
1575112200002214,155637173,2459310.8770414020,59310.371736100000,15.2489262,0.0102776894,32768,zg,210.17501520000000,16.566727100000000,0.707000017,-0.0130000003,20210406371736,1575,12,2,21.71,26.2290649,0.0280010756,-0.0635557249,2.12896357E-05,30.0,1.05100000,2
1575112200002214,155637219,2459310.8775044060,59310.372199100000,15.2271538,0.0102743981,32768,zg,210.17500790000000,16.566736700000000,0.787000000,-0.0689999983,20210406372199,1575,12,2,21.09,25.7522316,0.0345944613,-0.0576022305,3.59824990E-05,30.0,1.05100000,3
1575112200002214,157133089,2459325.8361675907,59325.330891200000,15.2454329,0.0102771176,0,zg,210.17501980000000,16.566732900000000,0.681999981,-0.0270000007,20210421330891,1575,12,2,21.16,26.3696918,0.0325813852,-0.0662280396,2.95981572E-05,30.0,1.05100000,2
1575112200002214,157133136,2459325.8366420846,59325.331365700000,15.2578382,0.0102792140,0,zg,210.17501510000000,16.566728800000000,0.500000000,-0.0209999997,20210421331366,1575,12,2,21.05,26.3611450,0.0348554365,-0.0757756904,3.46991947E-05,30.0,1.05100000,3
1575112200002214,187347746,2459627.9806889957,59627.477465300000,15.2345333,0.0102754440,0,zg,210.17501800000000,16.566743700000000,0.925000012,-0.0049999999,20220217477454,1575,12,2,19.71,26.3560829,0.0439614095,-0.0143647613,1.19451608E-04,30.0,1.06799996,2
1575112200002214,188251995,2459637.0237909180,59636.519953700000,15.2529087,0.0102783563,0,zg,210.17498790000000,16.566727000000000,0.370000005,-0.0040000002,20220226519942,1575,12,2,20.88,26.3626118,0.0327345431,-0.0496968105,3.19110914E-05,30.0,1.07500005,2
1575112200002214,194624710,2459700.7521869545,59700.247106500000,15.2476578,0.0102774799,0,zg,210.17501910000000,16.566745200000000,0.324999988,-0.0209999997,20220501247106,1575,12,2,21.53,26.3089314,0.0295754150,-0.0540690236,2.43194118E-05,30.0,1.12199998,2
