###MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
57246.610688  15.511  0.012  2268   27 c  0   7.75  79.41225   0.12689  6976.44  9856.69 4.04 3.75 -71.3 -0.422 19.28 21.04 02a57246o0499c
57246.612811  15.532  0.013  2225   30 c  0  11.38  79.41225   0.12689  6977.09  9857.59 4.03 3.73 -73.0 -0.429 19.29 21.05 02a57246o0502c
57246.632648  15.507  0.025  2276   56 c  0   2.67  79.41225   0.12689  1454.61   151.84 4.44 3.59 -21.5 -0.421 18.28 19.09 02a57246o0530c
57313.528490  15.516  0.011  2257   25 c  0  18.85  79.41225   0.12689  7050.27  9892.88 4.52 3.89 -74.2 -0.437 19.44 21.42 02a57313o0392c
57313.558619  15.526  0.012  2236   26 c  0  20.17  79.41225   0.12689  7048.51  9899.49 4.50 3.85 -80.0 -0.427 19.46 21.44 02a57313o0434c
57313.584974  15.474  0.012  2347   29 c  0  26.96  79.41225   0.12689  2149.29  2190.11 5.29 3.91 -23.1 -0.435 19.45 21.41 02a57313o0473c
57313.609861  15.461  0.012  2375   29 c  0  27.49  79.41225   0.12689  2138.10  2188.63 5.34 3.95 -24.2 -0.438 19.42 21.37 02a57313o0508c
57318.465968  15.217  0.015  2973   44 o  0   8.53  79.41225   0.12689  7001.26  9884.98 4.45 3.52 -75.6 -0.481 18.68 20.05 02a57318o0422o
57318.478198  15.052  0.014  3462   47 o  0  17.14  79.41225   0.12689  1485.72   175.65 6.36 3.70 -18.0 -0.422 18.65 20.04 02a57318o0441o
57318.490380  15.220  0.014  2965   43 o  0   6.95  79.41225   0.12689  7002.02  9890.83 4.34 3.47 -76.4 -0.479 18.77 20.16 02a57318o0460o
57318.502640  15.034  0.012  3518   43 o  0  20.28  79.41225   0.12689  1483.86   180.66 6.17 3.84 -21.0 -0.438 18.76 20.28 02a57318o0479o
57318.515497  15.172  0.013  3099   40 o  0   6.63  79.41225   0.12689  8453.76  8440.98 4.56 3.50 -86.8 -0.475 18.92 20.54 02a57318o0499o
57322.461183  15.304  0.032  2744   88 o  0   2.22  79.41225   0.12689  7019.26  9895.06 4.34 3.65 -77.7 -0.501 17.88 18.53 02a57322o0504o
57322.480814  15.043  0.027  3489   95 o  0   3.44  79.41225   0.12689  1504.80   185.65 6.81 4.33 -22.3 -0.474 17.89 18.62 02a57322o0534o
57322.484689  15.228  0.025  2943   73 o  0   3.44  79.41225   0.12689  7017.30  9901.14 4.40 3.72 -78.2 -0.502 17.93 18.62 02a57322o0540o
57322.497847  14.969  0.024  3737   90 o  0   4.46  79.41225   0.12689  1508.07   188.62 6.77 4.17 -19.4 -0.488 17.95 18.67 02a57322o0560o
57322.519592  15.219  0.025  2967   76 o  0   3.07  79.41225   0.12689  8479.08  8453.04 4.59 3.70  89.5 -0.492 17.93 18.71 02a57322o0592o
57322.553866  15.171  0.026  3103   80 o  0   1.70  79.41225   0.12689  8471.53  8465.33 4.30 3.33 -89.6 -0.504 18.00 18.69 02a57322o0642o
57323.506168  15.217  0.022  2973   65 o  0   2.82  79.41225   0.12689  7029.87  9909.77 4.07 3.55 -82.9 -0.494 18.04 18.68 02a57323o0497o
57323.538426  15.194  0.022  3035   66 o  0   2.61  79.41225   0.12689  7015.66  9918.33 4.02 3.49 -80.1 -0.495 18.08 18.74 02a57323o0543o
57323.563126  15.181  0.023  3074   70 o  0   7.67  79.41225   0.12689  2235.04  2209.01 5.26 3.67 -24.5 -0.506 18.09 18.72 02a57323o0578o
57323.598619  15.178  0.024  3081   74 o  0   7.89  79.41225   0.12689  2222.61  2204.53 5.32 3.76 -26.0 -0.513 18.09 18.86 02a57323o0627o
57334.564803  15.502  0.012  2286   27 c  0  34.62  79.41225   0.12689  3716.46   761.39 4.74 3.87 -17.6 -0.430 19.43 21.27 02a57334o0521c
57334.570343  15.546  0.014  2195   30 c  0  19.90  79.41225   0.12689  9232.97 10478.00 4.25 4.18  -9.4 -0.376 19.36 21.22 02a57334o0529c
57334.594625  15.466  0.011  2364   27 c  0  34.10  79.41225   0.12689  3715.74   764.58 4.76 3.89 -16.7 -0.433 19.37 21.16 02a57334o0564c
57334.602342  15.556  0.015  2176   32 c  0  18.01  79.41225   0.12689  9233.74 10479.69 4.24 4.13 -11.6 -0.388 19.30 21.11 02a57334o0575c
57334.624580  15.517  0.012  2256   28 c  0  30.51  79.41225   0.12689  2256.43  2219.80 4.74 4.00 -27.3 -0.391 19.24 20.99 02a57334o0607c
57338.614719  15.205  0.035  3005  105 o  0   3.93  79.41225   0.12689  2257.81  2220.86 4.50 3.70 -30.1 -0.458 17.62 19.11 02a57338o0019o
57341.469969  15.514  0.010  2262   24 c  0  35.67  79.41225   0.12689  7049.87  9937.01 4.70 4.56  75.6 -0.361 19.37 21.53 02a57341o0326c
57341.503312  15.414  0.011  2480   28 c  0  25.25  79.41225   0.12689  3722.93   761.50 6.18 5.07 -16.8 -0.363 19.26 21.50 02a57341o0376c
57341.525741  15.442  0.011  2416   26 c  0  36.49  79.41225   0.12689  2255.31  2215.26 5.54 4.59 -27.8 -0.365 19.35 21.49 02a57341o0409c
57342.471566  15.506  0.011  2279   25 c  0  12.42  79.41225   0.12689  7053.70  9939.59 3.97 3.86  71.9 -0.404 19.57 21.55 02a57342o0337c
57342.504799  15.465  0.011  2366   26 c  0  50.35  79.41225   0.12689  3722.92   763.34 4.86 3.83 -14.6 -0.451 19.55 21.51 02a57342o0387c
57342.527923  15.496  0.011  2299   26 c  0  35.22  79.41225   0.12689  2257.52  2218.22 4.68 3.78 -27.4 -0.426 19.53 21.43 02a57342o0421c
57342.562511  15.507  0.011  2276   25 c  0  60.24  79.41225   0.12689  2248.07  2219.01 4.74 3.77 -27.5 -0.423 19.48 21.34 02a57342o0472c
57343.469400  15.504  0.011  2282   25 c  0  11.16  79.41225   0.12689  7053.64  9938.43 4.04 3.88  80.7 -0.396 19.53 21.48 02a57343o0406c
57353.460515  15.206  0.126  3003  379 o  0   1.26  79.41225   0.12689  1526.96   229.43 5.12 3.63 -26.5 -0.528 16.60 16.26 02a57353o0436o
57353.469935  15.206  0.034  3004  102 o  0   2.16  79.41225   0.12689  1526.84   232.50 4.96 3.47 -26.9 -0.503 17.78 18.08 02a57353o0449o
57353.479725  15.074  0.050  3391  170 o  0   1.38  79.41225   0.12689  1525.94   236.48 4.90 3.43 -24.5 -0.516 17.35 17.28 02a57353o0462o
57353.488855  15.195  0.045  3035  136 o  0   1.84  79.41225   0.12689  1526.40   236.69 4.87 3.45 -26.2 -0.508 17.54 17.62 02a57353o0475o
57354.467614  15.115  0.123  3267  403 o  0   0.96  79.41225   0.12689  1527.19   232.19 5.03 3.42 -28.8 -0.503 16.75 16.63 02a57354o0460o
57354.477316  15.123  0.063  3241  203 o  0   1.20  79.41225   0.12689  1526.37   235.33 4.90 3.36 -25.7 -0.513 17.40 17.57 02a57354o0473o
57356.471447  15.194  0.014  3035   43 o  0  14.76  79.41225   0.12689  9244.37 10472.55 3.68 3.49 -18.6 -0.441 18.89 20.13 02a57356o0387o
57356.480097  15.242  0.014  2904   42 o  0  12.13  79.41225   0.12689  9243.71 10474.08 3.73 3.56 -20.0 -0.433 18.87 20.13 02a57356o0400o
57356.488961  15.211  0.014  2989   40 o  0  13.14  79.41225   0.12689  9239.96 10479.52 3.67 3.48 -20.9 -0.434 18.88 20.13 02a57356o0413o
57356.502179  15.263  0.015  2849   42 o  0  10.12  79.41225   0.12689  9238.03 10480.59 3.65 3.42 -17.1 -0.437 18.88 20.10 02a57356o0432o
57357.450356  15.156  0.011  3144   36 o  0  24.34  79.41225   0.12689  1537.33   524.38 4.51 3.43 -30.7 -0.510 19.05 20.53 02a57357o0431o
57357.466365  15.174  0.010  3092   32 o  0  11.88  79.41225   0.12689  9540.34 10180.97 3.60 3.40 -28.9 -0.434 19.06 20.45 02a57357o0455o
57357.500245  15.240  0.011  2912   33 o  0  20.67  79.41225   0.12689  8642.69  9881.75 3.57 3.54 -20.5 -0.442 18.99 20.36 02a57357o0506o
57358.427657  15.131  0.011  3217   36 o  0  23.81  79.41225   0.12689  1247.62   514.79 5.09 3.51 -28.1 -0.516 19.09 20.64 02a57358o0415o
57358.469206  15.152  0.012  3155   36 o  0  21.74  79.41225   0.12689  1829.51  1119.80 4.75 3.61 -29.9 -0.503 19.06 20.56 02a57358o0479o
57359.432927  15.095  0.010  3327   34 o  0  23.24  79.41225   0.12689  1248.34   516.57 5.19 3.56 -28.8 -0.497 19.30 21.04 02a57359o0290o
57359.462928  15.194  0.009  3036   28 o  0  46.95  79.41225   0.12689  8949.47  9582.22 3.58 3.53 -67.9 -0.439 19.24 20.84 02a57359o0336o
57366.427933  15.185  0.010  3062   30 o  0  31.07  79.41225   0.12689  6791.61 10240.23 4.19 4.16 -61.7 -0.411 19.09 20.92 02a57366o0358o
57366.429522  15.102  0.011  3306   36 o  0  29.09  79.41225   0.12689  1276.95   523.25 5.96 4.15 -26.9 -0.459 19.09 20.91 02a57366o0360o
57366.440176  15.113  0.011  3273   37 o  0  32.82  79.41225   0.12689  4487.14   834.76 5.50 4.44 -11.9 -0.426 19.05 20.94 02a57366o0377o
