HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2455951.00570,2012-01-24.5011620,ba,2.24,99.990,99.990,99.990,99.990,99.990,V
2455955.82086,2012-01-29.3166208,ba,2.08,99.990,99.990,99.990,99.990,99.990,V
2455955.82276,2012-01-29.3185178,ba,2.08,99.990,99.990,99.990,99.990,99.990,V
2455968.80710,2012-02-11.3038114,ba,2.44,99.990,99.990,99.990,99.990,99.990,V
2455968.80929,2012-02-11.3059957,ba,2.42,99.990,99.990,99.990,99.990,99.990,V
2455972.81483,2012-02-15.3118745,ba,2.14,99.990,99.990,99.990,99.990,99.990,V
2455972.81708,2012-02-15.3141258,ba,2.16,99.990,99.990,99.990,99.990,99.990,V
2455979.83583,2012-02-22.3334875,ba,2.32,16.046,12.599,0.010,35.012,0.336,V
2455979.83794,2012-02-22.3355923,ba,2.30,99.990,99.990,99.990,99.990,99.990,V
2455984.74857,2012-02-27.2466798,ba,2.02,16.060,12.611,0.011,34.633,0.366,V
2455984.75062,2012-02-27.2487251,ba,2.02,16.021,12.605,0.011,34.817,0.375,V
2455999.80812,2012-03-13.3076792,ba,2.08,16.153,12.618,0.011,34.433,0.343,V
2456003.81303,2012-03-17.3129927,ba,2.17,16.147,12.612,0.010,34.609,0.324,V
2456003.81515,2012-03-17.3151152,ba,2.13,16.173,12.627,0.011,34.137,0.339,V
2456017.75712,2012-03-31.2584563,bb,2.03,15.981,12.620,0.012,34.356,0.385,V
2456017.75902,2012-03-31.2603511,bb,2.04,15.904,12.613,0.013,34.560,0.392,V
2456021.78075,2012-04-04.2824663,bb,1.99,15.864,12.623,0.013,34.271,0.402,V
2456021.78258,2012-04-04.2842978,bb,2.00,15.940,12.605,0.012,34.835,0.384,V
2456039.74589,2012-04-22.2491935,bb,2.27,16.078,12.619,0.011,34.385,0.348,V
2456039.74795,2012-04-22.2512559,bb,2.28,16.060,12.627,0.011,34.144,0.347,V
2457008.06014,2014-12-16.5541053,bd,1.66,15.900,12.930,0.015,25.813,0.356,V
2457008.06212,2014-12-16.5560819,bd,1.69,15.970,12.922,0.014,26.019,0.335,V
2457009.05616,2014-12-17.5501153,bd,1.60,15.875,12.622,0.012,34.279,0.367,V
2457009.05757,2014-12-17.5515339,bd,1.53,15.886,12.598,0.012,35.058,0.364,V
2457010.05200,2014-12-18.5459609,bd,1.54,15.873,12.608,0.012,34.735,0.364,V
2457010.05341,2014-12-18.5473626,bd,1.50,15.839,12.629,0.012,34.079,0.376,V
2457011.04972,2014-12-19.5436836,bd,1.55,15.887,12.625,0.012,34.208,0.371,V
2457011.05121,2014-12-19.5451678,bd,1.54,15.873,12.620,0.012,34.367,0.369,V
2457012.04692,2014-12-20.5408776,bd,1.53,15.904,12.611,0.011,34.609,0.361,V
2457012.04837,2014-12-20.5423314,bd,1.60,15.890,12.616,0.012,34.475,0.366,V
2457021.74395,2014-12-30.2380092,bd,1.45,15.740,12.630,0.013,34.039,0.414,V
2457021.74534,2014-12-30.2393976,bd,1.48,15.790,12.617,0.013,34.437,0.394,V
2457021.88493,2014-12-30.3789982,bd,1.60,15.856,12.626,0.012,34.163,0.375,V
2457021.88639,2014-12-30.3804564,bd,1.57,15.805,12.605,0.012,34.836,0.392,V
2457022.01750,2014-12-30.5115704,bd,1.67,15.886,12.630,0.012,34.021,0.359,V
2457022.01897,2014-12-30.5130369,bd,1.72,15.869,12.617,0.012,34.448,0.376,V
2457037.86537,2015-01-15.3599521,bd,1.43,15.881,12.615,0.012,34.489,0.366,V
2457037.86676,2015-01-15.3613440,bd,1.45,15.897,12.628,0.012,34.096,0.364,V
2457038.87991,2015-01-16.3745471,bd,1.56,15.916,12.623,0.011,34.248,0.353,V
2457038.88130,2015-01-16.3759388,bd,1.58,15.891,12.616,0.012,34.483,0.357,V
2457039.76045,2015-01-17.2551325,bd,1.47,15.923,12.701,0.012,31.890,0.351,V
2457039.76184,2015-01-17.2565140,bd,1.49,15.927,12.719,0.012,31.357,0.350,V
2457040.75801,2015-01-18.2527364,bd,1.49,15.892,12.626,0.012,34.160,0.364,V
2457040.75941,2015-01-18.2541287,bd,1.50,15.893,12.620,0.012,34.368,0.366,V
2457043.84504,2015-01-21.3399233,bd,1.51,15.891,12.642,0.012,33.648,0.366,V
2457043.84643,2015-01-21.3413188,bd,1.50,15.870,12.604,0.012,34.879,0.375,V
2457046.85702,2015-01-24.3520820,bd,1.54,15.901,12.626,0.012,34.184,0.360,V
2457046.85841,2015-01-24.3534745,bd,1.40,15.884,12.614,0.012,34.526,0.362,V
2457047.84637,2015-01-25.3414842,bd,1.71,15.878,12.601,0.012,34.953,0.365,V
2457047.84799,2015-01-25.3431107,bd,1.75,15.876,12.609,0.012,34.698,0.367,V
2457055.84343,2015-02-02.3390771,bd,1.63,15.702,12.617,0.014,34.472,0.438,V
2457055.84486,2015-02-02.3405040,bd,1.64,15.665,12.623,0.014,34.271,0.448,V
2457061.90255,2015-02-08.3986478,bd,2.22,15.778,12.612,0.013,34.597,0.418,V
2457061.90395,2015-02-08.4000468,bd,2.22,15.735,12.621,0.013,34.319,0.431,V
2457069.82355,2015-02-16.3202871,bd,1.63,15.892,12.613,0.012,34.559,0.367,V
2457069.82521,2015-02-16.3219425,bd,1.70,15.878,12.614,0.012,34.556,0.367,V
2457070.78113,2015-02-17.2779469,bd,1.54,15.891,12.617,0.012,34.424,0.369,V
2457070.78252,2015-02-17.2793388,bd,1.57,15.880,12.619,0.012,34.392,0.366,V
2457071.79316,2015-02-18.2900670,bd,1.48,15.899,12.647,0.012,33.499,0.362,V
2457071.79459,2015-02-18.2914949,bd,1.55,15.908,12.648,0.012,33.458,0.353,V
2457073.74337,2015-02-20.2404413,bd,1.43,15.890,12.620,0.012,34.323,0.367,V
2457073.74477,2015-02-20.2418468,bd,1.51,15.853,12.607,0.012,34.755,0.373,V
2457077.74985,2015-02-24.2472820,bd,1.48,15.853,12.633,0.012,33.961,0.376,V
2457077.75126,2015-02-24.2486859,bd,1.55,15.853,12.610,0.012,34.674,0.381,V
2457078.74446,2015-02-25.2419795,bd,1.47,15.810,12.551,0.012,36.597,0.392,V
2457078.74586,2015-02-25.2433773,bd,1.50,15.839,12.633,0.012,33.936,0.379,V
2457084.79151,2015-03-03.2896129,bd,1.54,15.712,12.622,0.014,34.286,0.425,V
2457084.79291,2015-03-03.2910251,bd,1.51,15.710,12.617,0.014,34.452,0.428,V
2457095.80466,2015-03-14.3038439,bd,1.56,15.862,12.606,0.012,34.809,0.373,V
2457095.80627,2015-03-14.3054535,bd,1.55,15.838,12.618,0.012,34.434,0.381,V
2457096.80050,2015-03-15.2997803,bd,1.47,15.836,12.614,0.012,34.539,0.383,V
2457096.80209,2015-03-15.3013719,bd,1.51,15.844,12.617,0.012,34.446,0.379,V
2457097.75669,2015-03-16.2560662,bd,1.50,15.854,12.617,0.012,34.456,0.376,V
2457097.75825,2015-03-16.2576201,bd,1.53,15.865,12.627,0.012,34.119,0.370,V
2457098.75370,2015-03-17.2531667,bd,1.70,15.853,12.619,0.012,34.387,0.378,V
2457098.75527,2015-03-17.2547461,bd,1.71,15.843,12.618,0.012,34.431,0.379,V
2457099.75305,2015-03-18.2530226,bd,2.05,15.805,12.638,0.013,33.781,0.387,V
2457099.75461,2015-03-18.2545906,bd,2.05,15.826,12.616,0.012,34.490,0.385,V
2457100.76007,2015-03-19.2601414,bd,1.79,15.826,12.605,0.012,34.839,0.384,V
2457100.76167,2015-03-19.2617467,bd,1.70,15.856,12.638,0.012,33.800,0.375,V
2457101.78599,2015-03-20.2861770,bd,1.55,15.842,12.614,0.012,34.541,0.377,V
2457101.78754,2015-03-20.2877340,bd,1.52,15.848,12.625,0.012,34.196,0.382,V
2457104.74769,2015-03-23.248175,bd,1.89,15.895,12.732,0.013,30.972,0.355,V
2457104.74931,2015-03-23.2497915,bd,1.84,15.868,12.710,0.013,31.638,0.365,V
2457105.74409,2015-03-24.2446792,bd,2.09,15.794,12.620,0.013,34.360,0.397,V
2457105.74571,2015-03-24.2462945,bd,2.08,15.800,12.612,0.013,34.608,0.397,V
2457110.74865,2015-03-29.2497196,bd,1.80,15.708,12.628,0.014,34.120,0.425,V
2457110.75022,2015-03-29.2512883,bd,1.77,15.708,12.619,0.014,34.388,0.423,V
2457120.75501,2015-04-08.2570339,bd,1.94,15.426,12.588,0.017,35.402,0.541,V
2457120.75659,2015-04-08.2586129,bd,2.03,15.504,12.621,0.016,34.321,0.513,V
2457120.76135,2015-04-08.2633699,bd,1.96,14.921,12.629,0.027,34.048,0.858,V
2457120.76294,2015-04-08.2649739,bd,1.84,15.512,12.603,0.016,34.890,0.507,V
2457248.12762,2015-08-13.6311123,bd,1.55,15.784,12.632,0.013,33.970,0.405,V
2457248.12906,2015-08-13.6325569,bd,1.51,15.630,12.604,0.014,34.862,0.453,V
2457263.08985,2015-08-28.5920817,bd,1.51,15.620,12.597,0.014,35.090,0.460,V
2457263.09110,2015-08-28.5933263,bd,1.52,15.658,12.625,0.014,34.198,0.439,V
2457263.09235,2015-08-28.5945789,bd,1.53,15.671,12.602,0.014,34.910,0.436,V
2457275.12473,2015-09-09.6258314,bd,1.56,15.845,12.610,0.012,34.671,0.378,V
2457275.12599,2015-09-09.6270858,bd,1.55,15.861,12.616,0.012,34.478,0.376,V
2457275.12724,2015-09-09.6283386,bd,1.64,15.830,12.615,0.012,34.516,0.381,V
2457283.06031,2015-09-17.5606322,bd,1.51,15.626,12.626,0.015,34.179,0.460,V
2457283.06121,2015-09-17.5615355,bd,1.53,15.654,12.642,0.015,33.643,0.441,V
2457283.06213,2015-09-17.5624546,bd,1.52,15.573,12.615,0.015,34.500,0.476,V
2457290.09174,2015-09-24.5913745,bd,1.49,15.871,12.635,0.012,33.891,0.374,V
2457290.09299,2015-09-24.5926311,bd,1.51,15.876,12.621,0.012,34.308,0.368,V
2457290.09425,2015-09-24.5938832,bd,1.52,15.852,12.618,0.012,34.427,0.379,V
2457304.01772,2015-10-08.5160138,bd,1.45,15.855,12.622,0.012,34.293,0.375,V
2457304.01897,2015-10-08.5172656,bd,1.49,15.854,12.628,0.012,34.084,0.375,V
2457304.02022,2015-10-08.5185207,bd,1.47,15.872,12.617,0.012,34.436,0.374,V
2457308.00092,2015-10-12.4988553,bd,1.45,15.868,12.627,0.012,34.133,0.368,V
2457308.00219,2015-10-12.5001162,bd,1.54,15.866,12.624,0.012,34.210,0.370,V
2457308.00344,2015-10-12.5013716,bd,1.45,15.888,12.638,0.012,33.779,0.366,V
2457310.04901,2015-10-14.5467563,bd,1.56,15.845,12.624,0.012,34.219,0.383,V
2457310.05027,2015-10-14.5480093,bd,1.62,15.859,12.607,0.012,34.740,0.370,V
2457310.05152,2015-10-14.5492618,bd,1.63,15.855,12.613,0.012,34.570,0.376,V
2457314.96641,2015-10-19.4637166,bd,1.50,15.412,12.621,0.017,34.339,0.540,V
2457314.96731,2015-10-19.4646168,bd,1.55,15.455,12.620,0.017,34.342,0.524,V
2457314.96821,2015-10-19.4655163,bd,1.46,15.427,12.626,0.017,34.160,0.540,V
2457316.97125,2015-10-21.4683873,bd,1.63,15.585,12.607,0.015,34.761,0.470,V
2457316.97216,2015-10-21.4692967,bd,1.57,15.604,12.621,0.015,34.312,0.461,V
2457316.97305,2015-10-21.4701905,bd,1.67,15.594,12.612,0.015,34.611,0.464,V
2457317.94570,2015-10-22.4427642,bd,1.47,15.554,12.639,0.016,33.744,0.481,V
2457317.94661,2015-10-22.4436591,bd,1.56,15.544,12.610,0.016,34.682,0.482,V
2457317.94750,2015-10-22.4445574,bd,1.52,15.577,12.622,0.015,34.288,0.484,V
2457319.07580,2015-10-23.5727592,bd,1.55,15.840,12.617,0.012,34.443,0.383,V
2457319.07704,2015-10-23.5740009,bd,1.48,15.857,12.613,0.012,34.581,0.379,V
2457319.07830,2015-10-23.5752585,bd,1.59,15.869,12.619,0.012,34.382,0.372,V
2457319.93909,2015-10-24.4359767,bd,1.48,15.692,12.653,0.014,33.325,0.428,V
2457319.94033,2015-10-24.4372215,bd,1.55,15.717,12.620,0.014,34.377,0.421,V
2457319.94159,2015-10-24.438475,bd,1.45,15.661,12.595,0.014,35.155,0.435,V
2457321.12551,2015-10-25.6222981,bd,1.49,15.853,12.632,0.012,33.971,0.373,V
2457321.12676,2015-10-25.6235524,bd,1.51,15.857,12.622,0.012,34.279,0.371,V
2457321.12801,2015-10-25.6248057,bd,1.48,15.854,12.612,0.012,34.607,0.372,V
2457321.93079,2015-10-26.4275226,bd,1.50,15.559,12.620,0.016,34.357,0.485,V
2457321.93205,2015-10-26.4287726,bd,1.60,15.602,12.614,0.014,34.535,0.457,V
2457321.93330,2015-10-26.4300300,bd,1.52,15.570,12.620,0.015,34.369,0.475,V
2457330.08747,2015-11-03.5835782,bd,1.53,15.624,12.612,0.015,34.598,0.454,V
2457330.08872,2015-11-03.5848302,bd,1.53,15.633,12.625,0.015,34.207,0.449,V
2457330.08997,2015-11-03.5860844,bd,1.50,15.545,12.641,0.016,33.669,0.496,V
2457331.10266,2015-11-04.5987006,bd,1.73,15.377,12.638,0.018,33.762,0.568,V
2457331.10393,2015-11-04.5999596,bd,1.68,15.410,12.636,0.018,33.862,0.551,V
2457331.10518,2015-11-04.6012160,bd,1.70,15.545,12.630,0.016,34.051,0.493,V
