###MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
57300.502997  -2.282  0.836 29689588686 24831292356 o  0   1.42  86.96749  30.51254  7735.68  9105.47 4.17 3.32 -82.3 -0.517 -2.99 -2.07 02a57300o0889o
57300.541144   1.072  2.028 -9747593042 19765952557 o  0   0.98  86.96749  30.51254  9198.59  7649.85 4.05 3.21 -89.4 -0.588 -2.82 -1.74 02a57300o1005o
57300.574092  -6.249  0.014 1147050688096 16289126735 o  0  20.40  86.96749  30.51254  9195.73  7627.41 4.07 3.31  87.0 -0.651 -2.49 -1.12 02a57300o1091o
57302.499330  12.485  0.002 36803   79 o  0 353.66  86.96749  30.51254  7721.53  9088.17 4.33 3.48 -76.1 -0.484 18.91 20.44 02a57302o0482o
57302.510093  12.492  0.002 36587   78 o  0 225.28  86.96749  30.51254  7717.73  9090.38 4.32 3.52 -75.5 -0.480 18.91 20.43 02a57302o0499o
57302.527253  12.476  0.002 37108   85 o  0 206.20  86.96749  30.51254  9210.43  7617.44 4.30 3.39 -85.2 -0.502 18.85 20.38 02a57302o0526o
57302.527885  12.457  0.002 37781   78 o  0 350.06  86.96749  30.51254  9210.29  7617.56 4.28 3.38 -86.1 -0.498 18.95 20.49 02a57302o0527o
57314.513316  12.679  0.002 30782   64 c  0 135.31  86.96749  30.51254  7788.79  9115.57 4.31 3.70 -81.8 -0.450 19.31 21.23 02a57314o0459c
57314.553867  12.676  0.002 30887   62 c  0 141.70  86.96749  30.51254  7785.26  9124.46 4.22 3.63 -81.3 -0.460 19.41 21.32 02a57314o0516c
57314.580199  12.666  0.002 31150   62 c  0 173.91  86.96749  30.51254  9285.01  7656.01 4.27 3.54  87.0 -0.471 19.39 21.30 02a57314o0555c
57314.602147  12.655  0.002 31474   63 c  0 216.08  86.96749  30.51254  9287.52  7664.64 4.18 3.44  86.5 -0.473 19.39 21.24 02a57314o0584c
57316.485493  12.688  0.002 30548   62 c  0  99.45  86.96749  30.51254  7799.22  9108.41 4.61 4.33 -79.3 -0.414 19.18 21.14 02a57316o0420c
57316.521717  12.685  0.002 30610   62 c  0 113.43  86.96749  30.51254  7807.75  9113.00 4.32 3.91 -82.6 -0.445 19.28 21.14 02a57316o0473c
