oid,expid,hjd,mjd,mag,magerr,catflags,filtercode,ra,dec,chi,sharp,filefracday,field,ccdid,qid,limitmag,magzp,magzprms,clrcoeff,clrcounc,exptime,airmass,programid
659202200037596,46313957,2458217.639193906,58217.139571800000,13.8905725,0.0107237464,256,zr,86.9678574,30.5125046,5.20599985,-0.136000007,20180409139572,659,2,2,20.4699993,28.2131386,0.0172598064,0.0565451123,5.23045355E-06,300.0,1.24600005,3
659202200037596,46317267,2458217.670730097,58217.172673600000,12.5981731,0.0102664037,32768,zr,86.9674609,30.5125592,1.32400000,-0.037999999,20180409172674,659,2,2,18.6299992,24.9548779,0.0657288581,0.0203174353,7.41036638E-05,30.0,1.44700003,1
659202200037596,46516127,2458219.659147689,58219.161273100000,12.5370111,0.0102514159,0,zr,86.9674681,30.5125208,0.94700003,0.013000000,20180411161262,659,2,2,20.2800007,26.1593075,0.0146244643,0.0807377025,3.67013899E-06,30.0,1.40400004,1
659202200037596,46519085,2458219.688728375,58219.190856500000,12.5234756,0.0102481507,0,zr,86.9674786,30.5125168,0.36500001,0.003000000,20180411190671,659,2,2,19.7600002,26.0552368,0.0196655449,0.0865080655,6.69851352E-06,30.0,1.66400003,1
659202200037596,47014173,2458224.640729713,58224.141736100000,12.5831671,0.0102626905,32768,zr,86.9674784,30.5125313,1.29700005,-0.028999999,20180416141725,659,2,2,17.3999996,25.3085747,0.0435482934,0.0665003061,5.36397893E-05,300.0,1.36399996,3
659202200037596,47715561,2458231.652454609,58231.155613400000,12.5392914,0.0102519682,0,zr,86.9674750,30.5125360,0.49900001,-0.022000000,20180423155590,659,2,2,20.1399994,26.2039585,0.0173658300,0.0664128363,5.20905951E-06,30.0,1.63800001,1
659202200037596,47916516,2458233.661842711,58233.165162000000,12.5568562,0.0102562374,256,zr,86.9674686,30.5125352,0.54299998,-0.039000001,20180425165150,659,2,2,20.0499992,26.2028732,0.0177011658,0.0772490948,5.47272748E-06,30.0,1.81700003,1
659202200037596,58146356,2458335.959654105,58335.463564800000,12.5447893,0.0102533018,0,zr,86.9674705,30.5125418,1.65600002,-0.009000000,20180805463553,659,2,2,19.9099998,26.0894146,0.0207657330,0.0863916352,7.33099932E-06,30.0,2.56399989,1
659202200037596,58246719,2458336.963358958,58336.467199100000,12.5304289,0.0102498261,0,zr,86.9674603,30.5125395,1.18599999,-0.016000001,20180806467188,659,2,2,20.1000004,26.1571293,0.0222482812,0.0811854377,8.41697056E-06,30.0,2.39400005,1
659202200037596,58948844,2458343.985133708,58343.488449100000,12.5330191,0.0102504510,0,zr,86.9674583,30.5125557,1.28900003,0.022000000,20180813488426,659,2,2,20.4799995,26.1583538,0.0213425569,0.0667742118,7.84150598E-06,30.0,1.70400000,1
659202200037596,59149364,2458345.990489621,58345.493645800000,12.5624933,0.0102576148,0,zr,86.9674462,30.5125492,1.06099999,0.022000000,20180815493623,659,2,2,20.8500004,26.1320286,0.0164906792,0.0752922818,4.62758226E-06,30.0,1.59099996,1
