###MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
57300.479834   1.984  0.575 -22580233520 12983634274 o  0   0.90  72.34071  34.06658  2907.58  2213.85 4.19 3.35 -22.3 -0.550 -2.79 -1.69 02a57300o0817o
57300.506194   1.338  1.000 -12449568320 12449568320 o  0   1.07  72.34071  34.06658  2909.92  2187.92 4.20 3.36 -21.6 -0.548 -2.70 -1.59 02a57300o0899o
57300.508740   2.170  0.475 -26784377742 12722579427 o  0   0.92  72.34071  34.06658  4332.40   784.63 4.90 3.40  -6.3 -0.550 -2.71 -1.41 02a57300o0907o
57300.509371  -1.455 12.667 -950625443 12041255614 o  0   0.98  72.34071  34.06658  4331.37   786.14 4.67 3.41  -9.3 -0.540 -2.65 -1.40 02a57300o0909o
57300.543681   1.089  1.091 -9895432950 10795017763 o  0   0.90  72.34071  34.06658  4340.90   791.12 4.54 3.37 -10.2 -0.523 -2.48 -1.03 02a57300o1013o
57302.471980  13.957  0.005  9491   47 o  0  13.49  72.34071  34.06658  2969.12  2175.55 4.61 3.45 -18.4 -0.507 18.97 20.59 02a57302o0439o
57302.496163  13.971  0.005  9370   47 o  0  18.46  72.34071  34.06658  2966.71  2180.27 4.44 3.30 -17.0 -0.519 19.02 20.61 02a57302o0477o
57302.506284 -16.128  0.002 -1284    3 o  0 4217890.80  72.34071  34.06658  6258.70 10527.43 4.36 3.70 -59.3 -0.464 18.99 20.58 02a57302o0493o
57302.510735  13.946  0.005  9586   51 o  0  10.48  72.34071  34.06658  4394.17   744.24 4.86 3.48  -8.4 -0.520 18.97 20.56 02a57302o0500o
57314.499885  14.603  0.007  5232   37 c  0   3.76  72.34071  34.06658  3037.65  2206.06 4.98 3.72 -18.0 -0.465 19.24 21.14 02a57314o0439c
57314.527935  14.624  0.006  5131   33 c  0   5.64  72.34071  34.06658  3033.44  2210.07 5.00 3.75 -19.0 -0.457 19.47 21.43 02a57314o0480c
57314.559051  14.620  0.006  5153   33 c  0   6.81  72.34071  34.06658  4474.85   778.36 5.27 3.71  -6.5 -0.476 19.48 21.39 02a57314o0524c
57314.575903  14.638  0.006  5067   32 c  0   4.88  72.34071  34.06658  6189.11  9865.52 4.38 3.81 -68.1 -0.439 19.43 21.36 02a57314o0549c
57314.577593  14.629  0.007  5112   34 c  0   7.93  72.34071  34.06658  4327.02    82.45 5.36 3.72  -5.7 -0.511 19.45 21.35 02a57314o0551c
57316.459581  14.640  0.006  5060   32 c  0   4.92  72.34071  34.06658  3046.18  2195.33 5.28 3.93 -16.3 -0.436 19.32 21.28 02a57316o0382c
