HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2455968.88534,2012-02-11.3830547,bb,2.02,16.594,14.946,0.048,4.029,0.177,V
2455968.88709,2012-02-11.3847998,bb,2.00,16.673,14.893,0.042,4.232,0.165,V
2455968.88888,2012-02-11.3865942,bb,1.99,16.589,15.012,0.051,3.795,0.178,V
2455972.89533,2012-02-15.3934052,bb,2.04,16.979,16.084,0.096,1.414,0.124,V
2455972.89724,2012-02-15.3953152,bb,2.02,16.904,15.919,0.088,1.646,0.133,V
2456000.79417,2012-03-14.2949527,bb,1.99,16.874,15.034,0.040,3.716,0.138,V
2456000.79606,2012-03-14.2968479,bb,1.69,16.851,14.958,0.038,3.987,0.141,V
2456016.75730,2012-03-30.2595914,ba,2.01,16.467,14.793,0.048,4.640,0.201,V
2456016.75902,2012-03-30.2613046,ba,2.01,16.485,14.851,0.050,4.401,0.198,V
2457007.90203,2014-12-16.3960925,bb,1.73,16.783,14.961,0.041,3.977,0.149,V
2457007.90349,2014-12-16.3975465,bb,1.73,16.868,14.964,0.038,3.966,0.138,V
2457010.91666,2014-12-19.4107675,bb,2.02,16.905,14.940,0.036,4.054,0.133,V
2457011.91076,2014-12-20.4048922,bb,2.07,16.854,15.076,0.042,3.578,0.139,V
2457011.91223,2014-12-20.4063611,bb,2.09,16.864,15.071,0.042,3.594,0.138,V
2457021.89330,2014-12-30.3877356,bb,2.17,16.431,15.039,0.061,3.700,0.206,V
2457021.89478,2014-12-30.3892245,bb,2.19,16.474,15.077,0.060,3.574,0.198,V
2457037.85619,2015-01-15.3514186,bb,1.74,16.972,15.116,0.040,3.448,0.125,V
2457037.85760,2015-01-15.3528348,bb,1.72,16.957,15.078,0.039,3.570,0.127,V
2457039.85132,2015-01-17.3466814,bb,1.68,16.865,15.064,0.042,3.615,0.138,V
2457039.85272,2015-01-17.3480831,bb,1.68,16.861,14.998,0.039,3.844,0.138,V
2457042.89704,2015-01-20.3926015,bb,1.79,16.874,15.019,0.040,3.770,0.137,V
2457042.89843,2015-01-20.3939973,bb,1.99,16.843,15.029,0.041,3.738,0.141,V
2457045.83973,2015-01-23.3354988,bb,1.72,16.994,16.092,0.095,1.403,0.122,V
2457045.84113,2015-01-23.3368940,bb,1.54,17.170,16.087,0.081,1.410,0.104,V
2457047.83677,2015-01-25.3326769,bb,1.90,16.800,15.060,0.044,3.630,0.146,V
2457047.83815,2015-01-25.3340682,bb,1.65,16.756,15.096,0.047,3.513,0.153,V
2457054.82571,2015-02-01.3221656,bb,2.09,16.141,15.052,0.080,3.656,0.268,V
2457054.82711,2015-02-01.3235706,bb,2.08,16.149,14.944,0.072,4.039,0.267,V
2457061.81793,2015-02-08.3149822,bb,1.74,17.044,16.471,0.129,0.989,0.117,V
2457061.81933,2015-02-08.3163843,bb,1.86,17.095,16.625,0.142,0.859,0.111,V
2457069.80442,2015-02-16.3021791,bb,2.07,16.852,15.055,0.042,3.648,0.140,V
2457069.80581,2015-02-16.3035717,bb,2.08,16.829,15.055,0.043,3.646,0.143,V
2457070.80625,2015-02-17.3040956,bb,2.09,16.788,15.058,0.044,3.636,0.148,V
2457070.80765,2015-02-17.3054979,bb,2.14,16.855,14.999,0.040,3.840,0.140,V
2457075.78957,2015-02-22.2879168,bb,1.70,16.150,14.973,0.074,3.935,0.267,V
2457075.79100,2015-02-22.2893312,bb,1.99,16.216,15.113,0.079,3.454,0.251,V
2457083.85197,2015-03-02.3511020,bb,2.23,15.470,14.874,0.127,4.306,0.498,V
2457083.85339,2015-03-02.3525204,bb,2.24,15.971,14.897,0.081,4.218,0.314,V
2457095.77413,2015-03-14.2744253,bb,1.99,16.697,15.052,0.048,3.657,0.161,V
2457095.77574,2015-03-14.2760400,bb,1.75,16.755,14.986,0.043,3.888,0.153,V
2457099.74870,2015-03-18.2497962,bb,2.19,16.712,14.974,0.044,3.930,0.159,V
2457099.75031,2015-03-18.2513987,bb,2.22,16.767,14.972,0.042,3.935,0.151,V
2457105.73981,2015-03-24.2414868,bb,2.41,16.700,15.077,0.049,3.575,0.161,V
2457105.74138,2015-03-24.2430531,bb,2.43,16.626,14.927,0.046,4.105,0.172,V
2457112.71873,2015-03-31.2210545,bb,2.45,15.384,14.953,0.148,4.004,0.539,V
2457112.72026,2015-03-31.2225824,bb,2.37,15.580,14.991,0.127,3.871,0.450,V
2457232.12668,2015-07-28.6304628,bb,1.96,15.548,14.994,0.132,3.857,0.463,V
2457232.12812,2015-07-28.6318974,bb,1.90,15.275,15.206,0.206,3.172,0.596,V
2457233.12241,2015-07-29.6261255,bb,1.77,16.236,15.139,0.080,3.375,0.246,V
2457233.12387,2015-07-29.6275761,bb,1.80,16.192,14.904,0.067,4.190,0.256,V
2457256.09240,2015-08-21.5941877,bb,1.68,16.803,14.979,0.041,3.911,0.146,V
2457256.09388,2015-08-21.5956542,bb,1.64,16.731,15.093,0.048,3.521,0.156,V
2457256.09527,2015-08-21.5970473,bb,1.67,16.760,15.052,0.045,3.657,0.152,V
