oid,expid,hjd,mjd,mag,magerr,catflags,filtercode,ra,dec,chi,sharp,filefracday,field,ccdid,qid,limitmag,magzp,magzprms,clrcoeff,clrcounc,exptime,airmass,programid
1655116200005297,61752276,2458372.0230914108,58371.522766200000,15.3904448,0.0141098415,0,zg,73.502476600000000,32.986359900000000,3.39899993,-0.00499999989,20180910522743,1655,16,2,19.9899998,26.0866566,0.0435493886,-0.0212820955,3.40117331E-05,30.0,1.03400004,2
1655116200005297,62547806,2458379.9791601347,58379.478067100000,15.5310698,0.0142666483,0,zg,73.502466600000000,32.986339600000000,0.81800002,-0.07800000161,20180918478056,1655,16,2,21.3400002,26.1226540,0.0242280569,-0.0494665951,1.02611002E-05,30.0,1.07500005,2
1655116200005297,63037317,2458384.8747289865,58384.373171300000,15.4648972,0.0141891055,32768,zg,73.502488000000000,32.986357000000000,0.83099997,0.00499999989,20180923373160,1655,16,2,19.3099995,25.6377258,0.1125347912,-0.0500679389,3.23110609E-04,30.0,1.51900005,2
1655116200005297,63143559,2458385.9372477173,58385.435590300000,15.4051638,0.0141248666,0,zg,73.502461900000000,32.986316100000000,0.73100001,-0.00899999961,20180924435590,1655,16,2,20.2000008,26.1517658,0.0377476700,-0.0836377442,2.47530643E-05,30.0,1.14800000,2
1655116200005297,63441604,2458388.9179760360,58388.416041700000,15.4170160,0.0141371936,0,zg,73.502460100000000,32.986332400000000,0.72600001,-0.05000000075,20180927416030,1655,16,2,20.3999996,26.0937119,0.0335948914,-0.0418504514,2.00979812E-05,30.0,1.19000006,2
1655116200005297,63642222,2458390.9243404306,58390.422222200000,15.4002018,0.0141197667,0,zg,73.502467700000000,32.986321600000000,0.69800001,-0.02800000086,20180929422222,1655,16,2,20.4599991,26.1087589,0.0330996551,-0.0524038672,1.90318297E-05,30.0,1.14699996,2
1655116200005297,66943707,2458423.9417316090,58423.437071800000,15.4012184,0.0141208097,0,zg,73.502458600000000,32.986342800000000,0.58800000,-0.00200000009,20181101437025,1655,16,2,20.4699993,26.1232471,0.0330961645,-0.0496246964,1.87836667E-05,30.0,1.00500000,2
1655116200005297,67234907,2458426.8538984978,58426.349074100000,15.4716530,0.0141967079,32768,zg,73.502358500000000,32.986331700000000,0.91500002,0.01600000076,20181104349074,1655,16,2,20.5699997,26.0736561,0.0354126357,-0.1324734539,2.20350757E-05,30.0,1.07900000,2
1655116200005297,67333711,2458427.8419956444,58427.337118100000,17.4055004,0.0220077783,0,zg,73.502360300000000,32.986303500000000,0.72299999,0.20499999821,20181105337118,1655,16,2,19.8500004,26.0858879,0.0441496111,-0.0750917420,3.64813386E-05,30.0,1.10200000,2
1655116200005297,67631815,2458430.8231890495,58430.318159700000,15.3909712,0.0141103743,0,zg,73.502466900000000,32.986337200000000,0.49300000,-0.03599999845,20181108318160,1655,16,2,21.5100002,26.1127625,0.0246785432,-0.0566471666,1.03508328E-05,30.0,1.13300002,2
1655116200005297,68345765,2458437.9629890440,58437.457650500000,15.3736534,0.0140930768,0,zg,73.502455200000000,32.986337100000000,0.66500002,-0.01799999923,20181115457639,1655,16,2,20.7999992,26.1117039,0.0294857007,-0.0529389083,1.48726049E-05,30.0,1.07599998,2
1655116200005297,68439190,2458438.8972828510,58438.391909700000,15.3870459,0.0141064161,0,zg,73.502471100000000,32.986329300000000,0.99299997,-0.01999999955,20181116391898,1655,16,2,20.7999992,25.6052399,0.0346983969,-0.0507555790,2.06098666E-05,30.0,1.00399995,2
1655116200005297,68541491,2458439.9203284234,58439.414919000000,15.3881483,0.0141075263,0,zg,73.502468700000000,32.986321600000000,1.73800004,-0.02099999972,20181117414907,1655,16,2,21.4699993,26.0052624,0.0269992258,-0.0549126118,1.23885902E-05,30.0,1.01800001,2
1655116200005297,68925457,2458443.7601023014,58443.254571800000,16.1245041,0.0153380856,0,zg,73.502460600000000,32.986306300000000,0.87300003,-0.00200000009,20181121254572,1655,16,2,19.8400002,26.1284924,0.0432264097,-0.0859576762,3.35152617E-05,30.0,1.24399996,2
1655116200005297,72918276,2458483.6880758050,58483.182766200000,15.4148722,0.0141349481,0,zg,73.502464900000000,32.986348500000000,0.74400002,-0.00400000019,20181231182766,1655,16,2,20.5499992,26.1033707,0.0342021063,-0.0598644130,2.02042975E-05,30.0,1.10599995,2
1655116200005297,73320612,2458487.7112617698,58487.206122700000,15.3905363,0.0141099337,0,zg,73.502464100000000,32.986342100000000,0.55199999,-0.00499999989,20190104206111,1655,16,2,20.7800007,26.1209717,0.0285725724,-0.0574570298,1.39753602E-05,30.0,1.03499997,2
1655116200005297,73418533,2458488.6904293160,58488.185335600000,15.3875303,0.0141069023,0,zg,73.502452900000000,32.986328400000000,0.81000000,-0.02999999933,20190105185336,1655,16,2,21.4599991,26.1246929,0.0267333761,-0.0735839605,1.22827641E-05,30.0,1.06700003,2
1655116200005297,73823753,2458492.7424252420,58492.237534700000,15.4284678,0.0141492989,32768,zg,73.502467300000000,32.986338300000000,0.76300001,-0.02400000021,20190109237535,1655,16,2,18.6499996,23.9245205,0.0600059777,-0.0386224277,1.80488118E-04,30.0,1.00199997,2
1655116200005297,74122854,2458495.7332667117,58495.228541700000,15.3931303,0.0141125591,0,zg,73.502463300000000,32.986372800000000,0.92900002,-0.00600000005,20190112228484,1655,16,2,20.6800003,26.1043816,0.0311912429,-0.0482735187,1.64611920E-05,30.0,1.00199997,2
1655116200005297,75121793,2458505.7220234186,58505.217939800000,15.4098616,0.0141297281,0,zg,73.502447700000000,32.986367000000000,0.73100001,-0.00300000003,20190122217940,1655,16,2,19.2399998,26.1151428,0.0482267961,-0.0448972024,6.16730904E-05,30.0,1.00500000,2
1655116200005297,97646177,2458730.9614837025,58730.461770800000,15.3958120,0.0141152842,0,zg,73.502459300000000,32.986321600000000,0.71700001,-0.01200000010,20190904461748,1655,16,2,21.1299992,25.9386177,0.0274073184,-0.0661241263,1.28998845E-05,30.0,1.27100003,2
1655116200005297,98050578,2458735.0058917210,58734.505787000000,15.3931856,0.0141126150,0,zg,73.502483200000000,32.986323600000000,1.05999994,-0.01400000043,20190908505787,1655,16,2,20.6399994,26.0354824,0.0311412066,-0.0577626787,1.62392862E-05,30.0,1.07599998,3
1655116200005297,98349221,2458737.9926048797,58737.492210600000,15.3972664,0.0141167659,0,zg,73.502467400000000,32.986323200000000,0.78100002,-0.04500000179,20190911492211,1655,16,2,21.4699993,26.0128803,0.0270302817,-0.0618584380,1.25843926E-05,30.0,1.08800006,2
1655116200005297,98349266,2458737.9930563224,58737.492662000000,15.4026222,0.0141222486,0,zg,73.502477900000000,32.986329900000000,0.76800001,-0.07800000161,20190911492662,1655,16,2,21.4500008,26.0132732,0.0257526245,-0.0625394136,1.11466534E-05,30.0,1.08700001,3
1655116200005297,99545408,2458749.9556265020,58749.454085600000,15.3924065,0.0141118271,0,zg,73.502478300000000,32.986320800000000,1.15499997,-0.04699999839,20190923454074,1655,16,2,20.9200001,26.0097694,0.0301997568,-0.0737191364,1.55794296E-05,30.0,1.10200000,2
1655116200005297,99545453,2458749.9560779454,58749.454537000000,15.3881817,0.0141075589,0,zg,73.502470000000000,32.986327000000000,1.70500004,-0.04800000042,20190923454537,1655,16,2,20.8600006,26.0145531,0.0304249972,-0.0733600929,1.55663947E-05,30.0,1.10099995,3
1655116200005297,99744206,2458751.9437875030,58751.442060200000,15.4175549,0.0141377589,32768,zg,73.502473800000000,32.986330200000000,0.98000002,-0.02899999917,20190925442060,1655,16,2,20.6399994,25.6528549,0.0366162993,-0.0583766028,2.25448366E-05,30.0,1.12000000,2
1655116200005297,99744251,2458751.9442389450,58751.442511600000,15.3978081,0.0141173201,0,zg,73.502478100000000,32.986331600000000,0.77100003,-0.03400000185,20190925442512,1655,16,2,20.7399998,25.6580658,0.0342378505,-0.0452765152,1.98961152E-05,30.0,1.11899996,3
1655116200005297,100443651,2458758.9388836290,58758.436516200000,15.3921852,0.0141116017,0,zg,73.502465300000000,32.986317500000000,0.89200002,-0.04300000146,20191002436516,1655,16,2,21.1800003,26.0283051,0.0290223006,-0.0743739381,1.47189503E-05,30.0,1.08399999,2
1655116200005297,100443696,2458758.9393350700,58758.436967600000,15.3914671,0.0141108753,0,zg,73.502462600000000,32.986316600000000,0.75900000,-0.00400000019,20191002436968,1655,16,2,21.1800003,26.0355854,0.0269235335,-0.0762267411,1.24206717E-05,30.0,1.08299994,3
1655116200005297,100643090,2458760.9334472967,58760.430902800000,15.4333563,0.0141545255,0,zg,73.502479700000000,32.986328700000000,0.79699999,-0.02899999917,20191004430891,1655,16,2,21.1000004,26.0275688,0.0270982832,-0.0667419881,1.26848636E-05,30.0,1.08500004,2
1655116200005297,100643135,2458760.9338987367,58760.431354200000,15.4488239,0.0141712958,0,zg,73.502478400000000,32.986338400000000,0.65600002,-0.02700000070,20191004431343,1655,16,2,21.0200005,26.0310593,0.0286192968,-0.0693813562,1.38605083E-05,30.0,1.08299994,3
1655116200005297,101238905,2458766.8921067670,58766.389050900000,15.3990164,0.0141185531,0,zg,73.502474700000000,32.986327200000000,0.84100002,-0.06400000304,20191010389051,1655,16,2,20.5900002,25.9980621,0.0320470333,-0.0683702677,1.74368452E-05,30.0,1.15999997,2
1655116200005297,101238950,2458766.8925582040,58766.389502300000,15.4072752,0.0141270468,0,zg,73.502485200000000,32.986323600000000,0.86299998,-0.05299999937,20191010389502,1655,16,2,20.5000000,26.0053387,0.0332884900,-0.0726327151,1.87739424E-05,30.0,1.15799999,3
1655116200005297,101336231,2458767.8654514270,58767.362314800000,15.4046879,0.0141243767,0,zg,73.502502500000000,32.986346700000000,0.39199999,-0.00100000005,20191011362315,1655,16,2,19.2800007,25.9793892,0.0464967415,-0.0344316773,5.28617675E-05,30.0,1.26300001,2
