HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2456195.83802,2012-09-25.3333120,ba,1.74,16.455,>16.455,99.990,0.506,0.201,V
2456195.83986,2012-09-25.3351396,ba,1.72,16.528,>16.528,99.990,0.753,0.188,V
2456197.83583,2012-09-27.3311542,ba,1.75,16.124,>16.124,99.990,0.866,0.272,V
2456197.83755,2012-09-27.3328775,ba,1.72,16.074,>16.074,99.990,0.538,0.285,V
2456199.82677,2012-09-29.3221431,ba,2.04,15.780,>15.780,99.990,-0.673,0.374,V
2456199.82843,2012-09-29.3238138,ba,2.02,15.714,>15.714,99.990,0.201,0.397,V
2456200.82937,2012-09-30.3247711,ba,2.01,15.762,>15.762,99.990,-0.132,0.380,V
2456200.83103,2012-09-30.3264333,ba,2.02,15.684,>15.684,99.990,0.347,0.409,V
2456201.83285,2012-10-01.3282800,ba,2.03,16.066,>16.066,99.990,0.030,0.287,V
2456201.83457,2012-10-01.3299996,ba,2.02,16.106,>16.106,99.990,0.021,0.277,V
2456217.78205,2012-10-17.2781127,ba,2.29,17.626,17.287,0.160,0.467,0.068,V
2456217.78418,2012-10-17.2802437,ba,2.28,17.532,17.304,0.178,0.459,0.075,V
2456228.77686,2012-10-28.2735346,bb,1.75,16.601,16.530,0.205,0.938,0.176,V
2456230.81003,2012-10-30.3068490,bb,2.04,16.613,16.414,0.182,1.043,0.174,V
2456230.81183,2012-10-30.3086353,bb,2.05,16.633,>16.633,99.990,0.771,0.170,V
2456233.76226,2012-11-02.2592612,bb,1.99,17.462,>17.462,99.990,0.215,0.079,V
2456235.82139,2012-11-04.3185229,bb,1.99,17.713,17.080,0.122,0.565,0.063,V
2456240.84985,2012-11-09.3473458,bb,2.19,17.498,16.888,0.125,0.675,0.077,V
2456243.84121,2012-11-12.3389137,bb,2.10,17.557,17.233,0.163,0.491,0.073,V
2456247.84767,2012-11-16.3456821,bb,2.03,17.483,17.102,0.154,0.553,0.078,V
2456259.69949,2012-11-28.1984476,bb,2.03,16.446,>16.446,99.990,0.483,0.203,V
2456259.70123,2012-11-28.2001946,bb,2.03,16.625,>16.625,99.990,0.721,0.172,V
2456266.76841,2012-12-05.2679615,bb,1.88,99.990,99.990,99.990,99.990,99.990,V
2456267.73402,2012-12-06.2336548,bb,2.16,99.990,99.990,99.990,99.990,99.990,V
2456267.73554,2012-12-06.2351770,bb,2.08,99.990,99.990,99.990,99.990,99.990,V
2456272.73168,2012-12-11.2317340,bb,1.80,16.004,>16.004,99.990,1.453,0.304,V
2456276.71829,2012-12-15.2186777,bb,2.18,17.514,17.040,0.142,0.586,0.076,V
2456308.71427,2013-01-16.2171629,bb,1.71,17.077,16.756,0.163,0.761,0.113,V
2456309.71462,2013-01-17.2175780,bb,1.80,16.890,>16.890,99.990,0.668,0.135,V
2456317.70680,2013-01-25.2102603,bb,2.03,16.014,>16.014,99.990,0.273,0.302,V
2456317.70839,2013-01-25.2118511,bb,2.00,16.056,>16.056,99.990,0.617,0.290,V
2456393.12827,2013-04-10.6324106,bb,2.14,16.916,>16.916,99.990,0.568,0.131,V
2456393.12974,2013-04-10.6338606,bb,2.13,16.529,>16.529,99.990,0.875,0.188,V
2456398.12660,2013-04-15.6304927,bb,1.99,14.889,>14.889,99.990,1.088,0.850,V
2456398.12805,2013-04-15.6319430,bb,2.02,14.602,>14.602,99.990,0.414,1.107,V
