###MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
57240.458704  16.059  0.021  1369   29 o  0   1.68 335.99587  25.74046  7622.25  8762.99 3.86 3.74 -86.8 -0.460 18.93 20.57 02a57240o0082o
57240.477911  16.221  0.044  1179   51 o  0   1.13 335.99587  25.74046  9088.51  7297.62 3.88 3.32  90.0 -0.461 18.96 20.54 02a57240o0090o
57314.301743  17.306  0.056   434   24 c  0   1.05 335.99587  25.74046  2978.50  1849.16 5.38 3.98 -18.1 -0.460 19.32 21.23 02a57314o0159c
57314.334539  17.388  0.069   402   28 c  0   1.36 335.99587  25.74046  2967.64  1851.52 5.34 3.95 -22.2 -0.457 19.12 20.99 02a57314o0206c
57314.366809  17.218  0.043   471   20 c  0   1.14 335.99587  25.74046  1492.83  3326.78 5.14 3.87 -30.5 -0.431 19.49 21.55 02a57314o0252c
57314.395381  17.288  0.046   442   20 c  0   1.12 335.99587  25.74046  1490.25  3329.83 5.08 3.80 -30.4 -0.441 19.44 21.43 02a57314o0291c
57315.314070  17.381  0.062   405   25 c  0   1.25 335.99587  25.74046  2961.02  1854.06 5.71 4.05 -21.6 -0.459 19.10 20.87 02a57315o0197c
57315.322645  17.386  0.071   403   29 c  0   1.28 335.99587  25.74046  2959.65  1854.56 5.70 4.21 -20.6 -0.442 19.02 20.79 02a57315o0209c
57324.272483  16.095  0.037  1324   48 o  0   1.19 335.99587  25.74046  3071.69  1865.74 5.30 3.88 -17.5 -0.536 18.53 19.76 02a57324o0159o
57324.289631  16.139  0.038  1271   48 o  0   1.05 335.99587  25.74046  3067.00  1864.83 5.42 3.78 -18.6 -0.511 18.54 19.73 02a57324o0185o
57324.299670  16.124  0.035  1289   45 o  0   1.15 335.99587  25.74046  1590.54  3336.01 5.51 3.90 -33.0 -0.498 18.51 19.74 02a57324o0200o
57324.324234  16.158  0.037  1249   46 o  0   1.23 335.99587  25.74046  1580.75  3336.50 5.44 3.94 -38.8 -0.512 18.48 19.69 02a57324o0237o
57327.298622  17.019  0.064   565   36 o  0   1.47 335.99587  25.74046  3092.64  1874.42 6.12 4.21 -21.9 -0.508 18.83 20.41 02a57327o0186o
57327.321265  16.512  0.041   902   37 o  0   1.41 335.99587  25.74046  3088.27  1877.69 6.39 4.31 -20.4 -0.479 18.87 20.51 02a57327o0217o
57327.342850  16.228  0.035  1171   41 o  0   1.22 335.99587  25.74046  1614.20  3351.15 6.13 4.21 -36.7 -0.473 18.77 20.35 02a57327o0245o
57327.380576  16.204  0.038  1197   45 o  0   1.23 335.99587  25.74046  1614.85  3353.01 6.07 4.31 -36.3 -0.471 18.56 20.01 02a57327o0297o
57362.197911  16.084  0.027  1337   36 o  0   1.65 335.99587  25.74046  3553.24  1380.79 4.26 3.49 -27.1 -0.495 18.87 20.31 02a57362o0016o
57362.221718  16.157  0.028  1251   35 o  0   1.47 335.99587  25.74046  2946.63   802.03 5.24 3.76 -24.8 -0.511 19.06 20.71 02a57362o0053o
