MasterID,Mag,Magerr,RA,Dec,MJD,Blend
1126109011088,16.259,0.074,335.99597,25.74051,53470.48888,0
1126109011088,16.229,0.074,335.99593,25.74040,53470.49184,0
1126109011088,16.241,0.074,335.99574,25.74045,53470.49478,0
1126109011088,16.203,0.073,335.99584,25.74048,53470.49772,0
1126109011088,16.293,0.074,335.99572,25.74045,53708.08700,0
1126109011088,16.263,0.071,335.99571,25.74042,53708.09242,0
1126109011088,16.284,0.072,335.99574,25.74042,53708.09785,0
1126109011088,16.241,0.069,335.99573,25.74046,53708.10331,0
1126109011088,16.167,0.070,335.99569,25.74050,53714.07242,0
1126109011088,16.224,0.070,335.99566,25.74048,53714.07900,0
1126109011088,16.206,0.069,335.99572,25.74048,53714.08552,0
1126109011088,16.236,0.070,335.99572,25.74043,53714.09204,0
1126109011088,16.213,0.070,335.99578,25.74049,53678.13897,0
1126109011088,16.227,0.070,335.99574,25.74048,53678.14635,0
1126109011088,16.223,0.070,335.99577,25.74047,53678.15375,0
1126109011088,16.267,0.070,335.99570,25.74047,53678.16115,0
1126109011088,16.225,0.069,335.99572,25.74050,53695.08972,0
1126109011088,16.207,0.069,335.99570,25.74047,53695.09516,0
1126109011088,16.206,0.069,335.99573,25.74047,53695.10060,0
1126109011088,16.241,0.070,335.99576,25.74048,53695.10605,0
1126109011088,16.250,0.070,335.99577,25.74046,53672.11322,0
1126109011088,16.229,0.070,335.99570,25.74049,53672.11962,0
1126109011088,16.228,0.070,335.99577,25.74046,53672.12605,0
1126109011088,16.263,0.070,335.99569,25.74046,53672.13247,0
1126109011088,16.510,0.075,335.99583,25.74039,53616.22957,0
1126109011088,16.285,0.072,335.99581,25.74041,53642.14418,0
1126109011088,16.233,0.072,335.99579,25.74048,53642.15096,0
1126109011088,16.223,0.071,335.99582,25.74044,53642.15763,0
1126109011088,16.225,0.071,335.99577,25.74046,53642.16421,0
1126109011088,16.321,0.135,335.99575,25.74040,53902.39162,0
1126109011088,16.470,0.144,335.99578,25.74034,53902.39265,0
1126109011088,16.395,0.139,335.99580,25.74046,53902.39367,0
1126109011088,16.363,0.137,335.99582,25.74036,53902.39471,0
1126109011088,16.654,0.077,335.99579,25.74047,53878.46031,0
1126109011088,16.685,0.078,335.99576,25.74042,53878.46362,0
1126109011088,16.674,0.077,335.99572,25.74052,53878.46692,0
1126109011088,16.724,0.078,335.99569,25.74045,53878.47021,0
