Gaia16ams
#Date,JD(TCB),averagemag
2014-07-26 15:28:53,2456865.14506,16.20
2014-07-26 19:42:34,2456865.32123,16.18
2014-07-26 21:29:08,2456865.39523,16.21
2014-07-27 01:42:49,2456865.57140,16.24
2014-07-27 03:29:24,2456865.64542,16.22
2014-07-27 07:43:05,2456865.82159,16.26
2014-07-27 09:29:55,2456865.89578,null
2014-07-27 13:43:20,2456866.07176,16.25
2014-11-04 14:29:01,2456966.10348,16.33
2014-11-04 16:15:35,2456966.17749,16.31
2014-11-23 20:27:12,2456985.35222,16.32
2014-12-25 21:39:04,2457017.40213,untrusted
2015-04-25 01:41:44,2457137.57065,null
2015-04-25 03:28:29,2457137.64478,null
2015-04-25 07:42:15,2457137.82101,null
2015-05-18 01:47:58,2457160.57498,16.26
2015-05-18 03:34:33,2457160.64899,16.20
2015-06-19 09:18:26,2457192.88780,null
2015-08-01 00:39:11,2457235.52721,null
2015-08-01 02:25:46,2457235.60123,16.33
2015-08-07 14:31:50,2457242.10544,null
2015-08-07 18:45:35,2457242.28166,null
2015-08-07 20:32:21,2457242.35580,null
2015-08-08 00:45:31,2457242.53161,null
2015-11-14 15:32:04,2457341.14727,16.30
2015-11-14 17:18:38,2457341.22127,16.30
2015-12-07 21:22:03,2457364.39031,16.35
2016-01-05 15:01:06,2457393.12576,16.34
2016-01-05 16:48:00,2457393.20000,null
2016-05-05 02:53:02,2457513.62016,17.51
2016-05-05 04:39:36,2457513.69417,17.60
2016-06-01 14:49:37,2457541.11779,16.45
2016-06-01 16:36:21,2457541.19191,null
2016-06-29 14:41:12,2457569.11194,null
2016-11-23 22:36:57,2457716.44233,16.30
2016-11-24 00:23:30,2457716.51632,16.30
2016-12-21 04:17:58,2457743.67914,16.36
2017-01-15 04:09:51,2457768.67351,16.34
2017-01-15 05:56:25,2457768.74751,16.35
2017-05-16 11:27:14,2457889.97725,16.32
2017-06-16 17:12:01,2457921.21668,16.33
2017-06-16 18:58:36,2457921.29069,16.72
2017-07-10 11:10:34,2457944.96567,16.77
2017-10-17 14:00:38,2458044.08377,16.38
2017-10-17 15:47:12,2458044.15778,16.36
2017-10-17 20:00:52,2458044.33394,16.40
2017-10-17 21:47:25,2458044.40793,16.37
2017-10-26 02:06:23,2458052.58777,null
2017-10-26 03:52:49,2458052.66168,16.36
2017-10-26 08:06:28,2458052.83782,16.37
2017-12-04 13:05:46,2458092.04567,16.58
2017-12-04 14:52:20,2458092.11968,16.64
2018-01-05 00:38:24,2458123.52667,16.35
2018-01-05 02:24:57,2458123.60066,16.35
2018-01-25 12:41:09,2458144.02858,16.37
2018-01-25 14:27:43,2458144.10258,16.35
2018-05-27 20:25:22,2458266.35095,null
2018-07-20 18:15:22,2458320.26067,16.43
2018-07-20 20:01:56,2458320.33468,16.76
2018-10-26 08:57:20,2458417.87315,16.31
2018-10-26 10:43:54,2458417.94715,16.32
2018-11-09 21:01:17,2458432.37589,16.28
2018-11-09 22:47:50,2458432.44988,16.29
2018-12-15 08:13:09,2458467.84247,16.35
2019-01-21 09:26:57,2458504.89372,16.33
