oid,expid,hjd,mjd,mag,magerr,catflags,filtercode,ra,dec,chi,sharp,filefracday,field,ccdid,qid,limitmag,magzp,magzprms,clrcoeff,clrcounc,exptime,airmass,programid
1642116100004227,54648261,2458300.9845211273,58300.482615700000,17.9167023,0.0252146833,0,zg,335.99584480000000,25.7404309,1.597,-0.0920000002,20180701482616,1642,16,1,20.3500004,26.1813793,0.0384200811,-0.0291109513,1.65101337E-05,30.0,1.01999998,2
1642116100004227,54648307,2458300.9849841637,58300.483078700000,17.8700066,0.0245189816,0,zg,335.99583240000000,25.7404367,0.454,0.0359999985,20180701483067,1642,16,1,20.2999992,26.1894703,0.0357100368,-0.0395390727,1.47852634E-05,30.0,1.01999998,2
1642116100004227,57243483,2458326.9385117386,58326.434838000000,17.8614273,0.0243943091,0,zg,335.99586340000000,25.7404447,0.502,-0.0170000009,20180727434792,1642,16,1,20.2700005,26.1911621,0.0404806957,-0.0259748809,1.96761357E-05,30.0,1.02400005,2
1642116100004227,57243528,2458326.9389631670,58326.435289400000,17.8370590,0.0240454283,0,zg,335.99584350000000,25.7404214,0.908,-0.0299999993,20180727435289,1642,16,1,20.2500000,26.1916885,0.0407745503,-0.0256777499,1.96085384E-05,30.0,1.02400005,2
1642116100004227,57941094,2458333.9149977756,58333.410949100000,18.1172466,0.0285564959,0,zg,335.99585020000000,25.7404430,0.788,-0.0529999994,20180803410949,1642,16,1,20.9400005,26.1479435,0.0337464586,-0.0219317470,8.83726261E-06,30.0,1.02199996,2
1642116100004227,57941141,2458333.9154606983,58333.411412000000,18.0768089,0.0278337505,0,zg,335.99587280000000,25.7404428,0.606,0.0370000005,20180803411400,1642,16,1,21.0100002,26.1423073,0.0321689583,-0.0237575043,8.39292716E-06,30.0,1.02199996,2
1642116100004227,58233357,2458336.8377666567,58336.333576400000,17.9366646,0.0255211312,0,zg,335.99584320000000,25.7404521,0.855,0.0170000009,20180806333565,1642,16,1,21.6000004,26.2250481,0.0271351393,-0.0453260913,5.09110396E-06,30.0,1.07799995,2
1642116100004227,58341666,2458337.9209069856,58337.416666700000,17.9655991,0.0259751584,0,zg,335.99586100000000,25.7404555,1.571,-0.0750000030,20180807416667,1642,16,1,21.3199997,26.1822376,0.0291468855,-0.0258377884,5.89492765E-06,30.0,1.03299999,2
1642116100004227,58438480,2458338.8890870620,58338.384803200000,17.9505196,0.0257370584,0,zg,335.99585490000000,25.7404439,1.368,-0.0750000030,20180808384792,1642,16,1,21.6599998,26.1722469,0.0266525615,-0.0369008370,4.93702237E-06,30.0,1.02100003,2
1642116100004227,59038403,2458344.8885683180,58344.384039400000,17.8583355,0.0243496243,0,zg,335.99585520000000,25.7404535,0.694,-0.0450000018,20180814384028,1642,16,1,21.6000004,26.1510639,0.0280141588,-0.0385711491,5.55450970E-06,30.0,1.02400005,2
1642116100004227,59437167,2458348.8763453425,58348.371678200000,17.8825111,0.0247024316,0,zg,335.99586420000000,25.7404460,0.885,-0.0089999996,20180818371667,1642,16,1,21.6599998,26.1584415,0.0269556381,-0.0309742801,4.99210500E-06,30.0,1.02400005,2
1642116100004227,59632836,2458350.8330956325,58350.328368100000,17.9968987,0.0264797267,0,zg,335.99585890000000,25.7404495,1.102,-0.0020000001,20180820328356,1642,16,1,21.6200008,26.1943550,0.0292283408,-0.0484320596,5.85160160E-06,30.0,1.03199995,2
1642116100004227,60637417,2458360.8791362100,58360.374178200000,17.8240318,0.0238620359,0,zg,335.99586270000000,25.7404640,0.869,-0.0370000005,20180830374120,1642,16,1,20.1399994,26.2375660,0.0383892059,-0.0339858942,1.78972896E-05,30.0,1.05499995,2
1642116100004227,60932076,2458363.8257636150,58363.320763900000,17.9201813,0.0252677053,0,zg,335.99584650000000,25.7404481,1.165,-0.0719999969,20180902320752,1642,16,1,21.2199993,26.2040844,0.0287698787,-0.0468813777,5.71366627E-06,30.0,1.01800001,2
1642116100004227,61530662,2458369.8116675560,58369.306620400000,17.9205322,0.0252730530,0,zg,335.99586400000000,25.7404471,1.014,0.0130000003,20180908306609,1642,16,1,21.8299999,26.2154922,0.0246616453,-0.0549108498,4.13335829E-06,30.0,1.01800001,2
1642116100004227,62826567,2458382.7706473700,58382.265671300000,18.0146637,0.0267724469,0,zg,335.99587050000000,25.7404332,1.001,-0.0060000001,20180921265660,1642,16,1,20.8199997,26.2248478,0.0332034566,-0.0553055219,8.66340815E-06,30.0,1.01800001,2
1642116100004227,62928267,2458383.7876340677,58383.282673600000,18.0053997,0.0266192202,0,zg,335.99586180000000,25.7404302,1.676,-0.0659999996,20180922282639,1642,16,1,20.5499992,26.1789341,0.0347620100,-0.0323601291,1.19029710E-05,30.0,1.02400005,2
1642116100004227,63032896,2458384.8339127963,58384.328969900000,17.9168129,0.0252163690,0,zg,335.99587130000000,25.7404408,0.743,0.0610000007,20180923328970,1642,16,1,20.0100002,26.1600151,0.0426165015,-0.0339271054,2.53398757E-05,30.0,1.09500003,2
1642116100004227,63634668,2458390.8515023342,58390.346689800000,17.8664856,0.0244677104,0,zg,335.99584630000000,25.7404420,0.567,-0.0579999983,20180929346597,1642,16,1,20.8999996,26.1770229,0.0310887806,-0.0308991708,7.38213021E-06,30.0,1.20599997,2
1642116100004227,67120508,2458425.7082343650,58425.205081000000,17.9061451,0.0250548255,32768,zg,335.99587080000000,25.7404413,1.662,0.0659999996,20181103205081,1642,16,1,20.8199997,25.8543034,0.0335770063,-0.0987659693,9.05794877E-06,30.0,1.07400000,2
1642116100004227,67422774,2458428.7306908024,58428.227743100000,17.8679199,0.0244885795,0,zg,335.99585850000000,25.7404410,1.246,-0.0370000005,20181106227697,1642,16,1,21.5599995,26.2318592,0.0277498886,-0.0732499063,5.27146676E-06,30.0,1.15499997,2
1642116100004227,91548370,2458669.9858936286,58669.483703700000,17.9643288,0.0259549674,0,zg,335.99585570000000,25.7404370,0.708,-0.0219999999,20190705483704,1642,16,1,20.9099998,26.1832466,0.0324606858,-0.0707402155,8.01836541E-06,30.0,1.01800001,2
1642116100004227,91548415,2458669.9863450625,58669.484155100000,17.9679489,0.0260125436,0,zg,335.99585080000000,25.7404364,0.781,-0.0149999997,20190705484155,1642,16,1,20.8700008,26.1778831,0.0334827825,-0.0684576184,8.47178853E-06,30.0,1.01800001,3
1642116100004227,94140148,2458695.9053614438,58695.401481500000,17.8840942,0.0247258060,0,zg,335.99586660000000,25.7404252,1.072,-0.0170000009,20190731401447,1642,16,1,22.0200005,26.1648903,0.0240473170,-0.0722724497,3.95572260E-06,30.0,1.01800001,2
1642116100004227,94140193,2458695.9058128690,58695.401932900000,17.9225235,0.0253034923,0,zg,335.99584180000000,25.7404267,1.061,-0.0040000002,20190731401933,1642,16,1,21.9400005,26.1634998,0.0245688371,-0.0739606470,4.15624345E-06,30.0,1.01800001,3
1642116100004227,95043641,2458704.9407310030,58704.436412000000,17.8716011,0.0245422665,0,zg,335.99581230000000,25.7404315,1.242,-0.0509999990,20190809436400,1642,16,1,21.1900005,26.1563892,0.0305505097,-0.0569374040,6.55746953E-06,30.0,1.06099999,2
1642116100004227,95043685,2458704.9411709215,58704.436851900000,17.9027176,0.0250032600,0,zg,335.99585760000000,25.7404222,1.344,-0.0140000004,20190809436852,1642,16,1,21.4599991,26.1796532,0.0294842776,-0.0961473957,5.99065515E-06,30.0,1.06200004,3
1642116100004227,96341569,2458717.9204740883,58717.415694400000,17.9266415,0.0253665801,0,zg,335.99587430000000,25.7404292,0.474,-0.0350000001,20190822415683,1642,16,1,21.1599998,26.1376381,0.0303956214,-0.0706141815,6.65456582E-06,30.0,1.09200001,2
1642116100004227,96341614,2458717.9209255017,58717.416145800000,17.9775543,0.0261662211,0,zg,335.99587060000000,25.7404120,0.839,-0.0230000000,20190822416146,1642,16,1,21.1200008,26.1457901,0.0299891680,-0.0751174688,6.58987074E-06,30.0,1.09300005,3
1642116100004227,97132885,2458725.8338077070,58725.328854200000,17.8642750,0.0244355854,0,zg,335.99585780000000,25.7404258,0.725,0.0480000004,20190830328854,1642,16,1,21.9099998,26.1552048,0.0266166665,-0.0780245960,4.86489625E-06,30.0,1.01800001,2
1642116100004227,97132930,2458725.8342591147,58725.329305600000,17.9114094,0.0251343492,0,zg,335.99585450000000,25.7404258,1.241,-0.0280000009,20190830329306,1642,16,1,21.8899994,26.1565628,0.0265032593,-0.0769474506,4.77471076E-06,30.0,1.01800001,3
1642116100004227,100317216,2458757.6769350790,58757.172164400000,17.9728355,0.0260905530,0,zg,335.99584840000000,25.7404285,0.669,0.0370000005,20191001172164,1642,16,1,21.4300003,26.1609592,0.0294791367,-0.1003827527,5.98242241E-06,30.0,1.09399998,2
1642116100004227,100826903,2458762.7736500273,58762.269039400000,17.9211655,0.0252827201,0,zg,335.99584720000000,25.7404394,0.895,-0.0710000023,20191006269039,1642,16,1,21.0699997,26.1242580,0.0313530117,-0.0472466275,7.09244114E-06,30.0,1.04700005,2
1642116100004227,100826949,2458762.7741013123,58762.269490700000,17.9646473,0.0259600431,0,zg,335.99586100000000,25.7404250,0.791,0.0280000009,20191006269491,1642,16,1,21.2700005,26.1339607,0.0300198831,-0.0626135394,6.27368172E-06,30.0,1.04799998,3
1642116100004227,101128114,2458765.7856457540,58765.281145800000,17.9091206,0.0250997283,0,zg,335.99585990000000,25.7404222,0.942,-0.0080000004,20191009281146,1642,16,1,20.6299992,26.1585598,0.0339167379,-0.0863497034,1.01434616E-05,30.0,1.08399999,2
1642116100004227,101128159,2458765.7860971350,58765.281597200000,17.9119339,0.0251422934,0,zg,335.99584410000000,25.7404305,0.843,0.0489999987,20191009281597,1642,16,1,20.6900005,26.1643848,0.0353264473,-0.0808304027,1.05890877E-05,30.0,1.08500004,3
1642116100004227,101227643,2458766.7808960250,58766.276435200000,18.0649529,0.0276267100,0,zg,335.99585250000000,25.7404345,0.423,-0.0659999996,20191010276435,1642,16,1,20.3700008,26.1217422,0.0380906053,-0.0555324778,1.49636508E-05,30.0,1.07900000,2
1642116100004227,101227688,2458766.7813474060,58766.276886600000,18.1804085,0.0297385231,0,zg,335.99584570000000,25.7404296,0.784,-0.0099999998,20191010276887,1642,16,1,20.3199997,26.1287479,0.0371770449,-0.0556418113,1.52790526E-05,30.0,1.08000004,3
1642116100004227,101822925,2458772.7334602870,58772.229259300000,17.9346619,0.0254901368,0,zg,335.99582110000000,25.7404129,0.624,-0.0260000005,20191016229178,1642,16,1,20.1599998,26.1121788,0.0407800749,-0.0389466509,1.98780708E-05,30.0,1.03199995,2
1642116100004227,101826672,2458772.7709237006,58772.266724500000,17.8476448,0.0241960473,0,zg,335.99585240000000,25.7404302,0.588,-0.0410000011,20191016266713,1642,16,1,20.0000000,26.0186348,0.0402222238,-0.0494454280,2.15837990E-05,30.0,1.09399998,3
