oid,expid,hjd,mjd,mag,magerr,catflags,filtercode,ra,dec,chi,sharp,filefracday,field,ccdid,qid,limitmag,magzp,magzprms,clrcoeff,clrcounc,exptime,airmass,programid
645308100017659,52035910,2458274.8589083306,58274.359108800000,15.4267797,0.0121933855,0,zi,335.9958398,25.7404951,1.86199999,-0.0199999996,20180605359097,645,8,1,19.8199997,25.6927795,0.0276156999,0.18245101,9.49870628E-06,30.0,2.125,2
645308100017659,52638275,2458280.8830483705,58280.382754600000,15.4019861,0.0121701751,0,zi,335.9958474,25.7404461,0.73000002,0.0570000000,20180611382743,645,8,1,20.8899994,25.6879864,0.0219276045,0.19261602,5.99932173E-06,30.0,1.561,2
645308100017659,53146487,2458285.9655828415,58285.464872700000,15.4494572,0.0122154672,0,zi,335.9958487,25.7404543,0.92199999,0.0109999999,20180616464873,645,8,1,20.9200001,25.7244568,0.0185561478,0.18908152,4.13715361E-06,30.0,1.075,2
645308100017659,53534079,2458289.8418236026,58289.340798600000,15.4424772,0.0122085828,0,zi,335.9958454,25.7404447,0.33500001,0.0049999999,20180620340787,645,8,1,20.3500004,25.6794777,0.0247074291,0.18630327,7.71144187E-06,30.0,1.759,2
645308100017659,54134148,2458295.8429863323,58295.341481500000,15.4287195,0.0121952416,0,zi,335.9958689,25.7404517,0.69499999,-0.0280000009,20180626341481,645,8,1,20.2999992,25.6937199,0.0225704107,0.19481415,6.33443642E-06,30.0,1.565,2
645308100017659,54531618,2458299.8179960770,58299.316180600000,15.4363050,0.0122025590,0,zi,335.9958634,25.7404470,0.52999997,0.0060000001,20180630316181,645,8,1,19.8799992,25.6533051,0.0260558911,0.18498892,8.53934762E-06,30.0,1.726,2
645308100017659,54938168,2458303.8838156043,58303.381689800000,15.5376940,0.0123094860,0,zi,335.9958261,25.7405667,1.47500002,-0.0780000016,20180704381678,645,8,1,20.0799999,25.6756935,0.0250963401,0.17484902,8.00818816E-06,30.0,1.176,2
645308100017659,55343424,2458307.9366738894,58307.434247700000,15.4509964,0.0122169955,0,zi,335.9958497,25.7404601,1.26499999,-0.0350000001,20180708434213,645,8,1,20.8099995,25.6139965,0.0214624684,0.19085672,5.81638506E-06,30.0,1.028,2
645308100017659,55838711,2458312.8898971600,58312.387118100000,15.4283600,0.0121948980,0,zi,335.9958399,25.7404476,1.26199996,-0.0049999999,20180713387106,645,8,1,20.8600006,25.5183601,0.0247873776,0.19386101,7.65298410E-06,30.0,1.085,2
645308100017659,56248510,2458316.9881616575,58316.485104200000,15.8889790,0.0128313154,32768,zi,335.9958450,25.7404503,1.32700002,-0.0419999994,20180717485104,645,8,1,20.8999996,25.4889793,0.0536282435,0.18156879,3.61926504E-05,30.0,1.034,2
645308100017659,56623387,2458320.7371772830,58320.233877300000,15.5889788,0.0123703470,0,zi,335.9958395,25.7404539,0.72600001,0.0020000001,20180721233877,645,8,1,20.2000008,25.5979786,0.0292565916,0.19571607,1.10753181E-05,30.0,2.133,2
645308100017659,57138039,2458325.8840062707,58325.380393500000,15.4152765,0.0121824956,0,zi,335.9958521,25.7404384,0.40900001,0.0149999997,20180726380382,645,8,1,20.2500000,25.6912766,0.0225216951,0.19523662,6.36692903E-06,30.0,1.034,2
645308100017659,57538114,2458329.8849840364,58329.381145800000,15.5341749,0.0123054814,0,zi,335.9958527,25.7404397,0.54799998,-0.0040000002,20180730381146,645,8,1,20.2199993,25.6651745,0.0291604623,0.18639830,1.05841691E-05,30.0,1.022,2
645308100017659,57936238,2458333.8664305420,58333.362384300000,15.8162680,0.0127016921,0,zi,335.9958657,25.7404311,0.79400003,-0.0060000001,20180803362384,645,8,1,20.8600006,25.6752682,0.0259962995,0.19204164,8.55155304E-06,30.0,1.030,2
645308100017659,58344261,2458337.9468571604,58337.442615700000,15.4833975,0.0122500807,0,zi,335.9958458,25.7404376,0.75500000,-0.0040000002,20180807442616,645,8,1,21.0799999,25.7043972,0.0197655521,0.19483812,4.82104224E-06,30.0,1.057,2
645308100017659,58837530,2458342.8797526390,58342.375300900000,15.4386635,0.0122048547,0,zi,335.9958551,25.7404600,1.89999998,-0.0619999990,20180812375266,645,8,1,20.7999992,25.6706638,0.0213813800,0.18556318,5.62227979E-06,30.0,1.010,2
645308100017659,59250657,2458347.0111790267,58346.506574100000,15.4125786,0.0121799717,32768,zi,335.9958508,25.7404348,1.06700003,-0.0439999998,20180816506551,645,8,1,19.9099998,25.3855782,0.0450026020,0.19842701,2.49687837E-05,30.0,1.424,2
645308100017659,60829177,2458362.7967573158,58362.291770800000,15.4112835,0.0121787656,0,zi,335.9958542,25.7404338,0.79699999,-0.0060000001,20180901291759,645,8,1,21.0300007,25.7302837,0.0212131143,0.19633195,5.63271487E-06,30.0,1.019,2
645308100017659,61229187,2458366.7969045546,58366.291875000000,15.4654589,0.0122315492,0,zi,335.9958502,25.7404456,0.78200001,-0.0010000000,20180905291817,645,8,1,20.8899994,25.7134590,0.0189782437,0.19306681,4.54678684E-06,30.0,1.012,2
645308100017659,61727488,2458371.7799359984,58371.274884300000,15.4226465,0.0121894488,0,zi,335.9958221,25.7404898,1.36399996,-0.0410000011,20180910274826,645,8,1,20.5100002,25.7226467,0.0274052471,0.19611029,9.49433343E-06,30.0,1.014,2
645308100017659,62131958,2458375.8246270516,58375.319583300000,15.4393463,0.0122055206,0,zi,335.9958509,25.7404346,0.70300001,-0.0230000000,20180914319583,645,8,1,21.0000000,25.7233467,0.0251235049,0.19608597,7.82731604E-06,30.0,1.027,2
645308100017659,62132550,2458375.8305530213,58375.325509300000,15.4403200,0.0122064697,0,zi,335.9958552,25.7404300,0.56599998,-0.0320000015,20180914325498,645,8,1,20.9500008,25.7263203,0.0220744926,0.19553427,6.08974096E-06,30.0,1.035,2
645308100017659,62512988,2458379.6348992824,58379.129884300000,15.5226908,0.0122925630,0,zi,335.9958481,25.7404436,0.51899999,0.0219999999,20180918129884,645,8,1,20.5400009,25.7086906,0.0215835869,0.18203443,5.80421874E-06,30.0,1.411,2
645308100017659,63329721,2458387.8020954463,58387.297210600000,15.4245834,0.0121912910,0,zi,335.9958416,25.7404302,0.98000002,-0.0030000000,20180926297211,645,8,1,20.4699993,25.7085838,0.0212050248,0.18726864,5.76053299E-06,30.0,1.041,2
645308100017659,63330861,2458387.8134956960,58387.308611100000,15.4123726,0.0121797798,0,zi,335.9958511,25.7404229,1.19500005,0.0109999999,20180926308600,645,8,1,20.4500008,25.7083721,0.0223667491,0.18926963,6.34881417E-06,30.0,1.060,2
645308100017659,64330574,2458397.8103410940,58397.305740700000,15.4561796,0.0122221718,0,zi,335.9958571,25.7404371,0.92900002,-0.0230000000,20181006305729,645,8,1,20.7600002,25.6761799,0.0223544650,0.19163968,6.06215781E-06,30.0,1.117,2
