Gaia23bao
#Date,JD(TCB),averagemag
2014-08-06 21:26:41,2456876.39353,null
2014-08-07 01:40:27,2456876.56976,null
2014-08-07 03:27:12,2456876.64389,null
2014-08-07 07:40:23,2456876.81971,null
2014-08-07 09:27:09,2456876.89385,null
2014-08-07 13:40:54,2456877.07007,null
2014-08-07 15:27:40,2456877.14421,null
2014-08-07 19:41:25,2456877.32043,null
2014-11-07 08:42:58,2456968.86317,null
2014-11-07 10:29:43,2456968.93730,null
2014-11-25 04:29:16,2456986.68699,untrusted
2014-12-29 09:44:26,2457020.90586,untrusted
2015-02-03 13:28:25,2457057.06140,20.24
2015-02-03 15:14:59,2457057.13541,19.94
2015-02-03 19:29:04,2457057.31185,null
2015-02-22 19:36:45,2457076.31719,null
2015-02-22 21:22:53,2457076.39089,19.93
2015-02-23 01:36:33,2457076.56705,untrusted
2015-02-23 03:23:07,2457076.64105,20.01
2015-04-21 09:12:05,2457133.88339,null
2015-04-21 13:25:34,2457134.05942,untrusted
2015-04-21 15:12:36,2457134.13375,null
2015-05-13 19:34:30,2457156.31563,17.75
2015-05-13 21:21:05,2457156.38964,18.31
2015-06-18 19:15:19,2457192.30230,null
2015-06-18 21:01:29,2457192.37603,null
2015-07-26 12:33:38,2457230.02336,null
2015-07-26 14:20:23,2457230.09749,null
2015-08-12 14:25:54,2457247.10132,null
2015-09-29 17:06:23,2457295.21277,20.99
2015-09-29 18:52:57,2457295.28677,untrusted
2015-09-29 23:06:37,2457295.46293,20.52
2015-09-30 00:53:29,2457295.53714,null
2015-09-30 05:06:51,2457295.71309,untrusted
2015-09-30 06:53:25,2457295.78709,20.83
2015-10-03 00:55:52,2457298.53880,20.61
2015-10-03 05:09:31,2457298.71494,20.08
2015-10-03 06:56:05,2457298.78895,untrusted
2015-10-03 11:09:45,2457298.96510,untrusted
2015-10-03 12:56:19,2457299.03911,20.07
2015-10-03 17:10:05,2457299.21534,null
2015-11-17 15:43:54,2457344.15549,20.30
2015-11-17 17:30:28,2457344.22949,20.30
2015-12-08 17:24:35,2457365.22541,20.61
2015-12-08 21:38:14,2457365.40155,20.75
2016-01-09 15:05:42,2457397.12896,20.28
2016-01-09 16:52:16,2457397.20296,20.73
2016-02-20 22:23:23,2457439.43291,20.28
2016-02-21 02:37:03,2457439.60906,20.62
2016-02-21 04:23:56,2457439.68329,null
2016-02-21 08:37:16,2457439.85921,untrusted
2016-02-21 10:23:50,2457439.93322,20.74
2016-03-05 08:46:41,2457452.86575,20.01
2016-03-05 14:46:55,2457453.11591,untrusted
2016-03-05 16:33:29,2457453.18992,untrusted
2016-03-05 20:47:08,2457453.36606,20.82
2016-03-05 22:33:42,2457453.44007,untrusted
2016-05-02 10:23:36,2457510.93306,untrusted
2016-05-02 14:37:29,2457511.10936,null
2016-05-28 20:39:24,2457537.36069,20.24
2016-06-29 10:10:47,2457568.92416,null
2016-06-29 14:24:33,2457569.10038,null
2016-08-08 19:31:19,2457609.31341,20.39
2016-08-08 21:17:54,2457609.38743,19.94
2016-08-22 01:38:35,2457622.56846,20.28
2016-08-22 03:25:40,2457622.64282,null
2016-10-08 17:59:09,2457670.24941,18.09
2016-10-08 19:45:43,2457670.32341,18.06
2016-10-15 18:04:32,2457677.25315,null
2016-10-15 19:51:17,2457677.32728,null
2016-10-16 00:05:01,2457677.50348,null
2016-11-27 04:46:57,2457719.69927,20.90
2016-12-21 12:20:48,2457744.01444,20.09
2016-12-21 16:34:26,2457744.19058,19.83
2017-01-19 22:14:07,2457773.42647,20.37
2017-03-12 07:02:32,2457824.79343,null
2017-03-12 11:15:45,2457824.96927,20.53
2017-03-12 13:02:19,2457825.04328,20.54
2017-03-12 17:15:59,2457825.21943,untrusted
2017-03-12 19:02:33,2457825.29344,untrusted
2017-03-12 23:16:13,2457825.46959,20.29
2017-03-13 01:02:47,2457825.54360,20.47
2017-03-13 05:16:27,2457825.71976,20.07
2017-03-13 07:03:01,2457825.79376,untrusted
2017-03-13 11:16:41,2457825.96992,19.97
2017-03-13 13:03:16,2457826.04394,null
2017-03-13 17:16:55,2457826.22008,19.92
2017-03-13 19:03:29,2457826.29409,untrusted
2017-03-13 23:17:09,2457826.47024,19.97
2017-03-14 01:03:43,2457826.54425,untrusted
2017-03-14 05:17:23,2457826.72041,20.00
2017-03-14 07:03:57,2457826.79441,19.99
2017-03-14 11:17:55,2457826.97078,null
2017-03-14 17:17:50,2457827.22072,null
2017-03-14 23:18:04,2457827.47088,20.29
2017-03-15 05:18:18,2457827.72104,20.33
2017-03-15 11:18:31,2457827.97119,20.47
2017-03-15 17:19:15,2457828.22170,null
2017-03-15 23:18:59,2457828.47152,20.41
2017-03-16 05:19:39,2457828.72198,null
2017-03-16 11:19:34,2457828.97192,null
2017-03-16 17:20:04,2457829.22227,null
2017-03-16 23:19:54,2457829.47215,20.59
2017-03-17 01:06:44,2457829.54634,null
2017-03-17 05:20:29,2457829.72256,null
2017-03-17 07:06:39,2457829.79628,null
2017-03-17 11:20:21,2457829.97247,20.42
2017-03-17 13:06:55,2457830.04647,20.70
2017-03-17 17:20:35,2457830.22263,20.39
2017-03-17 19:07:09,2457830.29663,untrusted
2017-03-17 23:20:49,2457830.47279,untrusted
2017-03-18 01:07:24,2457830.54681,20.42
2017-03-18 05:21:04,2457830.72296,20.02
2017-03-18 07:07:38,2457830.79697,untrusted
2017-03-18 11:21:18,2457830.97313,19.96
2017-03-18 13:07:52,2457831.04713,20.10
2017-03-18 17:21:32,2457831.22329,20.01
2017-03-18 19:08:06,2457831.29729,19.99
2017-03-19 01:08:21,2457831.54747,untrusted
2017-05-14 11:11:13,2457887.96612,20.51
2017-05-14 12:57:47,2457888.04013,20.43
2017-06-12 23:04:27,2457917.46142,null
2017-06-13 00:50:37,2457917.53515,null
2017-07-10 22:54:49,2457945.45473,20.05
2017-07-11 00:41:43,2457945.52897,null
2017-08-22 15:50:30,2457988.16007,19.82
2017-08-22 17:37:04,2457988.23407,19.84
2017-08-22 21:50:47,2457988.41027,null
2017-08-22 23:37:19,2457988.48425,19.64
2017-09-01 03:58:01,2457997.66529,null
2017-09-01 05:44:11,2457997.73902,untrusted
2017-10-18 14:15:56,2458045.09440,19.99
2017-10-18 16:02:30,2458045.16840,20.28
2017-10-29 08:21:44,2458055.84843,20.00
2017-10-29 10:08:18,2458055.92243,19.91
2017-12-07 19:14:06,2458095.30146,null
2017-12-07 21:00:31,2458095.37536,20.33
2018-01-04 14:41:10,2458123.11192,null
2018-01-04 18:54:30,2458123.28785,20.04
2018-01-31 06:45:37,2458149.78168,20.27
2018-01-31 08:32:11,2458149.85568,20.18
2018-03-28 02:16:52,2458205.59505,17.78
2018-03-28 08:17:06,2458205.84521,17.91
2018-03-28 12:30:47,2458206.02138,17.93
2018-03-28 14:17:21,2458206.09538,17.83
2018-03-28 18:31:01,2458206.27154,17.90
2018-03-28 20:17:35,2458206.34554,17.77
2018-03-29 00:31:16,2458206.52171,17.79
2018-03-29 02:17:50,2458206.59572,17.79
2018-03-29 06:31:30,2458206.77188,17.78
2018-04-06 12:39:21,2458215.02733,null
2018-04-06 18:39:06,2458215.27715,20.13
2018-04-06 20:25:40,2458215.35116,20.35
2018-04-07 00:39:20,2458215.52731,20.32
2018-04-07 02:25:54,2458215.60132,untrusted
2018-04-07 06:39:35,2458215.77749,20.29
2018-04-07 08:26:09,2458215.85149,20.16
2018-04-07 14:26:24,2458216.10167,20.24
2018-05-26 08:08:56,2458264.83954,untrusted
2018-05-26 12:22:55,2458265.01591,null
2018-07-22 06:01:17,2458321.75089,null
2018-09-05 10:47:08,2458366.94940,null
2018-09-05 12:33:18,2458367.02313,null
2018-09-05 16:47:03,2458367.19934,null
2018-09-05 18:33:26,2458367.27322,untrusted
2018-09-06 00:33:41,2458367.52339,20.35
2018-09-10 22:51:51,2458372.45267,null
2018-09-11 00:38:04,2458372.52644,untrusted
2018-09-11 04:51:44,2458372.70259,20.48
2018-09-11 06:38:18,2458372.77660,20.35
2018-10-28 09:12:45,2458419.88385,null
2018-10-28 10:58:55,2458419.95758,20.74
2018-11-11 21:16:29,2458434.38645,20.38
2018-11-11 23:03:33,2458434.46080,null
2018-12-18 16:06:26,2458471.17113,null
2019-01-19 07:54:16,2458502.82935,null
2019-01-19 09:40:39,2458502.90323,untrusted
2019-02-11 13:55:12,2458526.08000,null
2019-02-11 15:41:33,2458526.15385,19.99
2019-02-11 19:55:13,2458526.33001,20.27
2019-04-09 15:28:54,2458583.14507,20.50
2019-04-09 19:42:34,2458583.32123,untrusted
2019-04-09 21:29:09,2458583.39524,20.66
2019-04-10 01:42:49,2458583.57140,20.58
2019-04-26 19:54:22,2458600.32942,17.74
2019-04-26 21:40:57,2458600.40344,19.65
2019-04-27 01:54:37,2458600.57959,17.93
2019-04-27 03:41:12,2458600.65361,18.19
2019-06-07 07:33:50,2458641.81516,null
2019-06-07 09:20:00,2458641.88889,null
2019-07-12 13:04:03,2458677.04448,20.45
2019-07-23 03:04:30,2458687.62813,null
2019-07-23 04:51:06,2458687.70215,20.62
2019-08-16 11:34:27,2458711.98226,20.68
2019-08-16 15:48:08,2458712.15843,20.17
2019-08-16 17:35:04,2458712.23269,null
2019-10-13 23:49:53,2458770.49297,20.16
2019-10-14 01:36:27,2458770.56698,20.26
2019-10-14 05:50:07,2458770.74314,20.24
2019-10-14 07:36:41,2458770.81714,20.29
2019-10-31 06:10:58,2458787.75762,20.30
2019-10-31 07:57:32,2458787.83162,20.24
2019-10-31 12:11:29,2458788.00797,null
2020-01-11 15:23:36,2458860.14139,null
2020-03-16 08:38:15,2458924.85990,20.17
2020-03-16 12:52:08,2458925.03620,null
2020-03-16 14:38:29,2458925.11006,20.27
2020-03-16 18:52:08,2458925.28620,20.35
2020-03-16 20:38:43,2458925.36022,20.25
2020-03-17 00:52:23,2458925.53638,20.21
2020-03-17 02:38:57,2458925.61038,untrusted
2020-03-17 06:53:02,2458925.78683,null
2020-03-17 08:39:12,2458925.86056,null
2020-03-17 12:52:51,2458926.03670,20.25
2020-03-17 14:39:42,2458926.11090,null
2020-03-17 18:53:06,2458926.28688,20.15
2020-03-17 20:39:40,2458926.36088,20.26
2020-03-18 00:53:20,2458926.53704,19.80
2020-03-18 02:39:54,2458926.61104,untrusted
2020-03-18 06:53:34,2458926.78720,19.86
2020-03-18 08:40:09,2458926.86122,20.04
2020-03-18 12:53:49,2458927.03737,untrusted
2020-03-18 14:40:23,2458927.11138,19.97
2020-03-18 18:54:03,2458927.28753,19.79
2020-03-18 20:40:37,2458927.36154,19.75
2020-03-19 00:54:17,2458927.53770,19.87
2020-03-19 02:40:51,2458927.61170,19.75
2020-03-19 06:54:42,2458927.78799,null
2020-03-19 08:41:05,2458927.86186,untrusted
2020-05-05 15:56:40,2458975.16435,null
2020-05-24 12:18:19,2458994.01272,16.42
2020-06-29 18:22:37,2459030.26571,null
2020-06-29 20:09:06,2459030.33965,20.51
2020-09-06 04:44:09,2459098.69733,20.63
2020-09-06 06:30:44,2459098.77134,20.77
2020-09-06 10:44:24,2459098.94750,20.42
2020-09-06 12:30:58,2459099.02150,untrusted
2020-09-06 16:44:39,2459099.19767,20.40
2020-09-06 18:31:20,2459099.27176,null
2020-09-11 06:35:12,2459103.77444,20.67
2020-09-11 10:48:52,2459103.95060,20.44
2020-09-11 12:35:26,2459104.02461,untrusted
2020-09-11 16:49:06,2459104.20076,20.19
2020-09-11 18:36:11,2459104.27513,null
2020-10-28 21:10:10,2459151.38206,20.59
2020-10-28 22:56:44,2459151.45606,20.55
2020-11-12 15:14:17,2459166.13492,null
2020-11-12 17:01:02,2459166.20905,null
2021-01-20 03:38:35,2459234.65179,19.04
2021-01-20 07:52:14,2459234.82794,19.25
2021-02-12 07:53:59,2459257.82916,20.34
2021-02-12 09:40:33,2459257.90316,20.34
2021-04-10 03:27:48,2459314.64431,19.87
2021-04-10 07:41:28,2459314.82046,20.05
2021-04-10 09:28:03,2459314.89448,19.86
2021-04-10 13:41:43,2459315.07064,19.96
2021-04-28 01:53:28,2459332.57880,null
2021-04-28 03:39:59,2459332.65277,untrusted
2021-06-07 21:18:46,2459373.38803,untrusted
2021-07-13 07:02:14,2459408.79322,null
2021-07-13 08:48:22,2459408.86692,untrusted
2021-08-02 14:50:23,2459429.11832,20.25
2021-08-02 19:04:04,2459429.29449,19.90
2021-09-19 05:39:08,2459476.73551,20.08
2021-09-19 11:39:22,2459476.98567,19.98
2021-09-19 13:25:57,2459477.05969,20.16
2021-09-19 17:39:37,2459477.23584,20.03
2021-09-19 19:26:11,2459477.30985,untrusted
2021-09-19 23:40:06,2459477.48618,null
2021-09-20 01:26:25,2459477.56001,19.93
2021-09-20 05:40:05,2459477.73617,19.82
2021-09-20 07:26:39,2459477.81017,19.93
2021-09-20 11:40:19,2459477.98633,19.99
2021-09-20 13:26:53,2459478.06034,19.98
2021-09-20 17:41:01,2459478.23682,null
2021-09-20 19:27:07,2459478.31050,19.92
2021-09-20 23:40:56,2459478.48676,null
2021-09-21 01:27:41,2459478.56089,null
2021-09-21 05:41:26,2459478.73711,null
2021-09-21 07:27:36,2459478.81083,null
2021-09-21 11:41:15,2459478.98698,20.15
2021-09-21 13:27:50,2459479.06100,20.56
2021-09-21 17:41:30,2459479.23715,20.23
2021-09-21 19:28:04,2459479.31116,20.26
2021-09-21 23:41:44,2459479.48731,20.29
2021-09-22 01:28:18,2459479.56132,20.11
2021-09-22 05:42:16,2459479.73769,null
2021-11-07 23:55:49,2459526.49709,19.55
2021-11-26 04:08:53,2459544.67284,19.76
2021-11-26 05:55:27,2459544.74684,20.06
2021-12-30 05:11:46,2459578.71650,null
2022-02-04 20:55:32,2459615.37190,20.22
