###MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
57232.399112  15.375  0.298  2569  766 o  0   0.95 320.69984  49.58791  6780.92  1382.71 3.60 3.41 -75.7 -0.509 15.73 15.73 02a57232o0191o
57232.412660  16.638  1.467   803 1178 o  0   0.81 320.69984  49.58791  6785.20  1382.14 3.59 3.43 -85.9 -0.541 15.22 15.04 02a57232o0209o
57233.431094  16.216  0.043  1185   51 o  0   4.17 320.69984  49.58791  6796.16  1385.89 3.61 3.58 -22.0 -0.468 18.47 19.37 02a57233o0138o
57233.506616  16.174  0.039  1231   48 o  0   3.75 320.69984  49.58791  6960.61   728.83 3.43 3.38 -66.6 -0.507 18.44 19.22 02a57233o0187o
57300.295747  16.039  0.027  1395   38 o  0   9.45 320.69984  49.58791  3825.38  9230.76 4.06 3.40 -67.5 -0.506 18.81 20.40 02a57300o0265o
57300.310314  16.036  0.031  1399   43 o  0   5.50 320.69984  49.58791  3819.48  9230.50 4.06 3.39 -64.8 -0.501 18.76 20.34 02a57300o0309o
57302.290291  16.071  0.028  1354   37 o  0   7.71 320.69984  49.58791  3815.06  9231.18 4.42 3.57 -63.8 -0.497 18.98 20.79 02a57302o0164o
57302.309187  16.026  0.024  1411   34 o  0   9.43 320.69984  49.58791  3802.63  9231.76 4.56 3.70 -62.9 -0.496 18.97 20.84 02a57302o0193o
57305.285609  23.280 12.500     2   22 c  0   4.60 320.69984  49.58791  3789.20  9235.57 4.60 3.87 -63.6 -0.460 19.35 21.40 02a57305o0152c
57305.299568 -20.197  0.706   -30   21 c  0   4.38 320.69984  49.58791  3784.84  9237.72 4.60 3.85 -63.9 -0.463 19.36 21.44 02a57305o0174c
57307.288942 -20.514  1.000   -23   23 c  0   4.01 320.69984  49.58791  3813.71  9233.75 4.29 3.77 -69.6 -0.452 19.43 21.48 02a57307o0072c
57307.302941  20.786  1.143    18   20 c  0   5.42 320.69984  49.58791  3809.69  9236.99 4.42 3.87 -70.1 -0.441 19.40 21.45 02a57307o0094c
57307.324294 -20.673  1.150   -20   22 c  0   4.60 320.69984  49.58791  6849.43   934.69 4.66 3.79   7.7 -0.509 19.42 21.37 02a57307o0125c
57307.366182  20.423  1.167    25   29 c  0   2.69 320.69984  49.58791  6840.58   936.91 4.93 3.85   6.5 -0.485 19.33 21.29 02a57307o0154c
57316.283756 -19.715  0.717   -47   34 c  0   2.60 320.69984  49.58791  3789.17  9241.60 4.61 3.76 -68.0 -0.484 18.91 20.48 02a57316o0121c
57316.303676  21.173  2.500    12   31 c  0   2.66 320.69984  49.58791  3788.26  9244.31 4.60 3.74 -64.9 -0.480 18.91 20.46 02a57316o0151c
57320.283709  16.346  0.053  1051   56 o  0   3.68 320.69984  49.58791  3847.20  9247.49 4.64 3.30 -73.5 -0.480 18.21 19.39 02a57320o0161o
