HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2455937.77321,2012-01-11.2706332,bb,2.08,15.994,12.498,0.010,38.463,0.326,V
2455937.77494,2012-01-11.2723651,bb,2.06,15.992,12.498,0.010,38.428,0.326,V
2455941.78660,2012-01-15.2842649,bb,2.16,15.083,12.478,0.020,39.155,0.728,V
2455946.80785,2012-01-20.3058410,ba,2.50,99.990,99.990,99.990,99.990,99.990,V
2455946.81007,2012-01-20.3080614,bb,2.07,16.196,12.474,0.008,39.294,0.273,V
2455950.81012,2012-01-24.3083807,ba,2.06,16.243,12.510,0.008,38.007,0.262,V
2455953.73724,2012-01-27.2356984,bb,2.48,16.251,12.485,0.008,38.893,0.271,V
2455957.74621,2012-01-31.2449528,bb,1.98,16.079,12.515,0.009,37.835,0.314,V
2455957.74799,2012-01-31.2467358,bb,1.99,16.108,12.505,0.009,38.184,0.300,V
2455968.75016,2012-02-11.2497070,ba,2.31,99.990,99.990,99.990,99.990,99.990,V
2455968.75238,2012-02-11.2519265,ba,2.30,99.990,99.990,99.990,99.990,99.990,V
2455973.73249,2012-02-16.2324033,ba,2.18,99.990,99.990,99.990,99.990,99.990,V
2455973.73474,2012-02-16.2346609,ba,2.17,99.990,99.990,99.990,99.990,99.990,V
2455973.73692,2012-02-16.2368401,bb,2.23,16.173,12.487,0.008,38.805,0.279,V
2455973.73911,2012-02-16.2390281,bb,2.22,16.182,12.480,0.008,39.056,0.285,V
2455988.75012,2012-03-02.2511568,ba,2.04,15.786,12.623,0.018,34.250,0.556,V
2455988.75213,2012-03-02.2531711,ba,2.04,15.733,12.634,0.018,33.918,0.546,V
2455998.75449,2012-03-12.2562281,bb,2.16,15.751,12.462,0.012,39.747,0.435,V
2455998.75644,2012-03-12.2581807,bb,2.20,15.969,12.512,0.010,37.939,0.359,V
2455999.74339,2012-03-13.2451965,ba,1.69,14.760,12.537,0.033,37.086,1.120,V
2455999.74515,2012-03-13.2469607,ba,1.84,14.651,12.535,0.034,37.150,1.163,V
2456003.73233,2012-03-17.2344053,bb,2.46,15.904,12.517,0.012,37.753,0.410,V
2457007.81868,2014-12-16.3144839,ba,1.97,15.831,12.506,0.011,38.169,0.377,V
2457007.82013,2014-12-16.3159248,ba,2.00,15.819,12.501,0.011,38.342,0.388,V
2457007.84205,2014-12-16.3378460,bb,2.14,15.859,12.525,0.011,37.495,0.370,V
2457007.84345,2014-12-16.3392556,bb,2.12,15.830,12.519,0.011,37.704,0.378,V
2457008.82753,2014-12-17.3233621,ba,1.76,15.899,12.494,0.010,38.593,0.355,V
