###MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
57307.441814  12.520  0.002 35634   67 c  0 160.89  38.32342  59.75294  2129.85  1063.10 5.28 3.81 -20.9 -0.487 19.44 21.40 02a57307o0230c
57307.475453  12.539  0.002 35038   69 c  0 128.80  38.32342  59.75294  2137.75  1069.01 5.28 3.81 -18.2 -0.489 19.47 21.43 02a57307o0271c
57307.489094  12.524  0.002 35515   70 c  0 127.33  38.32342  59.75294  3547.91  1132.56 4.89 3.79 -11.3 -0.499 19.42 21.42 02a57307o0285c
57307.514400  12.522  0.002 35585   69 c  0 111.36  38.32342  59.75294  3540.80  1133.18 5.04 3.96 -11.9 -0.488 19.39 21.44 02a57307o0313c
57320.495387  11.999  0.002 57601  102 o  0 118.65  38.32342  59.75294  8502.11  9569.34 4.75 3.65 -86.9 -0.488 18.39 19.54 02a57320o0436o
57320.530754  11.990  0.002 58096  102 o  0 113.83  38.32342  59.75294  8490.94  9570.66 4.63 3.52 -84.6 -0.499 18.40 19.56 02a57320o0491o
57320.550710  11.948  0.002 60340  108 o  0 175.76  38.32342  59.75294  3550.82  1136.22 5.32 3.55  -9.5 -0.515 18.30 19.36 02a57320o0522o
57320.580451  11.940  0.002 60806  116 o  0 137.12  38.32342  59.75294  3552.67  1138.55 5.39 3.57 -12.4 -0.522 18.30 19.40 02a57320o0568o
57328.407460  11.862  0.002 65314  114 o  0 153.68  38.32342  59.75294  2221.71  1096.61 6.91 4.32 -21.9 -0.433 18.71 20.20 02a57328o0355o
57328.449302  11.982  0.002 58495   97 o  0 212.02  38.32342  59.75294  8572.63  9586.54 4.53 3.47  88.5 -0.502 18.68 20.10 02a57328o0415o
57328.472345  11.929  0.002 61440  105 o  0 229.23  38.32342  59.75294  3631.21  1160.46 5.85 3.99 -14.4 -0.510 18.65 20.05 02a57328o0447o
57328.495440  11.928  0.002 61461  104 o  0 163.38  38.32342  59.75294  3623.70  1158.79 5.74 4.21 -15.8 -0.521 18.63 20.07 02a57328o0482o
57344.338032  12.548  0.002 34738   83 c  0  39.77  38.32342  59.75294  2207.83  1101.63 4.97 3.70 -25.0 -0.477 18.88 20.43 02a57344o0247c
57344.361753  12.545  0.002 34842   69 c  0  89.06  38.32342  59.75294  2211.09  1105.64 4.96 3.76 -25.5 -0.477 19.27 20.93 02a57344o0282c
57344.400346  12.600  0.002 33120   60 c  0 201.62  38.32342  59.75294  8566.89  9594.74 3.97 3.69  78.5 -0.408 19.52 21.39 02a57344o0338c
57344.421884  12.604  0.002 32980   61 c  0 123.37  38.32342  59.75294  8556.99  9590.98 3.96 3.72  81.5 -0.409 19.51 21.39 02a57344o0370c
57344.462232  12.604  0.002 32981   61 c  0 114.53  38.32342  59.75294  8541.19  9596.11 4.00 3.83  80.0 -0.400 19.47 21.34 02a57344o0431c
57344.488823  12.597  0.002 33205   62 c  0 142.12  38.32342  59.75294  8534.30  9593.74 4.03 3.82  83.0 -0.401 19.43 21.29 02a57344o0472c
57377.335751  12.588  0.002 33476   73 c  0  27.51  38.32342  59.75294  8895.12  9128.97 4.26 3.82  81.8 -0.396 18.54 19.56 02a57377o0245c
57377.346227  12.617  0.002 32601   79 c  0  58.75  38.32342  59.75294    85.67  9737.22 5.13 4.29 -65.5 -0.394 18.42 19.50 02a57377o0262c
57377.347462  12.604  0.002 33001   73 c  0  10.64  38.32342  59.75294  9166.58  9737.79 4.69 4.28  80.5 -0.365 18.43 19.55 02a57377o0264c
57377.372781  12.584  0.002 33599   75 c  0  27.15  38.32342  59.75294  8332.07  8521.32 4.43 4.00  83.8 -0.410 18.42 19.49 02a57377o0305c
57377.388268  12.547  0.002 34759   84 c  0  36.90  38.32342  59.75294  4626.52   395.52 5.00 3.78  -9.7 -0.509 18.45 19.42 02a57377o0330c
57377.388875  12.589  0.002 33465   75 c  0  26.69  38.32342  59.75294  8052.65 10275.68 4.22 3.89  87.2 -0.393 18.49 19.45 02a57377o0331c
57386.296564  11.971  0.002 59083   92 o  0 359.11  38.32342  59.75294  8843.73  9323.54 4.05 3.33  88.6 -0.493 19.13 20.82 02a57386o0193o
57386.307745  15.392  0.199  2530  503 o  0   0.42  38.32342  59.75294    30.83  9934.23 5.23 3.62 -61.8 -0.429 19.12 20.88 02a57386o0211o
57386.308984  11.980  0.002 58598   91 o  0 392.03  38.32342  59.75294  9117.05  9931.31 4.04 3.49  83.9 -0.497 19.18 20.88 02a57386o0213o
57386.332490  11.972  0.002 59036   92 o  0 597.56  38.32342  59.75294  8277.98  8706.69 3.97 3.18 -89.4 -0.493 19.12 20.78 02a57386o0249o
57386.342532  11.907  0.002 62695  106 o  0 566.74  38.32342  59.75294  4576.77   571.17 4.97 3.25  -6.0 -0.495 19.01 20.54 02a57386o0264o
