HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2455958.73674,2012-02-01.2362285,ba,2.30,16.400,14.011,0.024,9.531,0.213,V
2455958.73856,2012-02-01.2380493,ba,2.29,99.990,99.990,99.990,99.990,99.990,V
2455969.73507,2012-02-12.2353096,ba,2.07,99.990,99.990,99.990,99.990,99.990,V
2455969.73732,2012-02-12.2375530,ba,2.08,99.990,99.990,99.990,99.990,99.990,V
2455973.74754,2012-02-16.2480489,ba,2.23,99.990,99.990,99.990,99.990,99.990,V
2455973.74974,2012-02-16.2502479,ba,2.24,99.990,99.990,99.990,99.990,99.990,V
2457008.80565,2014-12-17.3021152,bc,1.51,16.230,14.061,0.030,9.112,0.251,V
2457009.79915,2014-12-18.2956464,bc,1.46,16.296,14.007,0.027,9.571,0.237,V
2457009.80089,2014-12-18.2973934,bc,1.50,16.331,14.096,0.028,8.821,0.229,V
2457010.79978,2014-12-19.2963230,bc,1.46,15.367,14.174,0.073,8.207,0.548,V
2457010.80125,2014-12-19.2977875,bc,1.48,15.485,14.062,0.059,9.101,0.492,V
2457011.79485,2014-12-20.2914346,bc,1.49,16.410,14.065,0.025,9.076,0.213,V
2457011.79633,2014-12-20.2929134,bc,1.48,16.251,14.029,0.028,9.379,0.246,V
2457012.79818,2014-12-21.2948106,bc,1.59,16.289,14.055,0.029,9.157,0.239,V
2457012.79985,2014-12-21.2964849,bc,1.62,16.326,14.068,0.028,9.055,0.230,V
2457021.77291,2014-12-30.2699689,bc,1.48,16.138,14.006,0.031,9.582,0.273,V
2457021.77454,2014-12-30.2716050,bc,1.44,16.154,14.007,0.030,9.576,0.269,V
2457037.75450,2015-01-15.2524814,bc,1.51,99.990,99.990,99.990,99.990,99.990,V
2457037.75590,2015-01-15.2538751,bc,1.56,16.209,14.069,0.030,9.039,0.256,V
2457043.74236,2015-01-21.2407187,bc,1.51,16.174,14.058,0.031,9.135,0.264,V
2457043.74375,2015-01-21.2421101,bc,1.49,16.349,14.043,0.026,9.260,0.226,V
2457045.72619,2015-01-23.2246913,bc,1.59,16.248,14.070,0.029,9.036,0.247,V
2457045.72760,2015-01-23.2260917,bc,1.52,16.274,14.083,0.029,8.932,0.241,V
