oid,expid,hjd,mjd,mag,magerr,catflags,filtercode,ra,dec,chi,sharp,filefracday,field,ccdid,qid,limitmag,magzp,magzprms,clrcoeff,clrcounc,exptime,airmass,programid
1812107400003140,58250252,2458337.0014575370,58336.502523100000,12.9434748,0.015947612,0,zg,42.798244400000000,57.4193602,0.298000008,-0.0160000008,20180806502488,1812,7,4,20.3299999,26.2058582,0.0306401439,-0.0377955586,8.49530352E-06,30.0,1.148,2
1812107400003140,60938562,2458363.8865949805,58363.385625000000,12.9454775,0.015948562,0,zg,42.798244700000000,57.4193682,0.444000006,-0.0060000001,20180902385625,1812,7,4,20.5100002,26.1725349,0.0287103914,-0.0499179401,7.75131412E-06,30.0,1.245,2
1812107400003140,63034379,2458384.8462604615,58384.343796300000,12.8997278,0.015927004,0,zg,42.798266200000000,57.4193426,0.416999996,0.0350000001,20180923343796,1812,7,4,19.9200001,25.7414951,0.0526717342,-0.0521659553,2.75980165E-05,30.0,1.206,2
1812107400003140,63141571,2458385.9182518530,58385.415717600000,12.9807348,0.015965389,0,zg,42.798257400000000,57.4193437,0.555000007,0.0209999997,20180924415706,1812,7,4,20.4099998,26.2593021,0.0303298626,-0.0882965699,8.67448762E-06,30.0,1.109,2
1812107400003140,63439359,2458388.8963241917,58388.393599500000,13.0925598,0.016020052,0,zg,42.798245400000000,57.4193411,0.584999979,0.0509999990,20180927393576,1812,7,4,20.3600006,26.2192192,0.0296069272,-0.0453508683,8.34419097E-06,30.0,1.118,2
1812107400003140,63540993,2458389.9127188055,58389.409930600000,12.9798365,0.015964959,0,zg,42.798239100000000,57.4193307,0.430999994,0.0240000002,20180928409861,1812,7,4,20.5599995,26.2444687,0.0278802402,-0.0749522448,7.32509625E-06,30.0,1.107,2
1812107400003140,63638981,2458390.8926634905,58390.389814800000,12.9552383,0.015953202,0,zg,42.798247500000000,57.4193367,0.425999999,0.0299999993,20180929389792,1812,7,4,20.8099995,26.2407169,0.0249011032,-0.0734581053,5.81802988E-06,30.0,1.116,2
1812107400003140,67236173,2458426.8661540140,58426.361736100000,13.0012016,0.015975246,0,zg,42.798267800000000,57.4193445,0.365999997,-0.0280000009,20181104361701,1812,7,4,21.2700005,26.1935730,0.0242640376,-0.1219135895,5.53826976E-06,30.0,1.111,2
1812107400003140,67331054,2458427.8149830540,58427.310544000000,12.9591389,0.015955061,0,zg,42.798258500000000,57.4193395,0.307000011,-0.0010000000,20181105310532,1812,7,4,19.3899994,25.7634773,0.0495603867,-0.0804779977,3.23324057E-05,30.0,1.097,2
1812107400003140,67628512,2458430.7896250020,58430.285127300000,12.9971228,0.015973277,0,zg,42.798247800000000,57.4193359,0.361999989,0.0329999998,20181108285093,1812,7,4,21.6499996,26.3074741,0.0224198438,-0.1237625554,4.73978525E-06,30.0,1.105,2
1812107400003140,68220501,2458436.7095910720,58436.205011600000,12.9767342,0.015963471,0,zg,42.798218500000000,57.4193439,0.437000006,-0.0080000004,20181114205012,1812,7,4,19.7800007,26.2341137,0.0431958549,-0.0682740360,1.85320496E-05,30.0,1.192,2
1812107400003140,68923443,2458443.7390481540,58443.234432900000,12.9769773,0.015963586,0,zg,42.798256300000000,57.4193445,0.958999991,0.0619999990,20181121234375,1812,7,4,20.2999992,26.2643642,0.0333427601,-0.0874890536,1.03702114E-05,30.0,1.117,2
1812107400003140,71820619,2458472.7102539850,58472.206192100000,12.9729538,0.015961658,0,zg,42.798255100000000,57.4193454,0.666999996,0.0740000010,20181220206146,1812,7,4,20.1700001,26.2703152,0.0332665816,-0.0787461251,1.00985517E-05,30.0,1.097,2
1812107400003140,72915016,2458483.6537409800,58483.150162000000,12.9541397,0.015952678,0,zg,42.798260900000000,57.4193463,0.162000000,0.0010000000,20181231150162,1812,7,4,20.9599991,26.2465153,0.0257912986,-0.0764050409,6.02281580E-06,30.0,1.100,2
1812107400003140,73318460,2458487.6879743645,58487.184606500000,12.9727583,0.015961567,0,zg,42.798260700000000,57.4193503,0.667999983,0.0089999996,20190104184572,1812,7,4,20.9599991,26.2661572,0.0253972877,-0.0867552161,5.91909975E-06,30.0,1.104,2
1812107400003140,96345486,2458717.9549798416,58717.454861100000,12.9731827,0.015961770,0,zg,42.798242300000000,57.4193449,0.439999998,0.0579999983,20190822454861,1812,7,4,20.6499996,26.1492825,0.0272693746,-0.0770978555,7.10709446E-06,30.0,1.163,2
1812107400003140,96345531,2458717.9554312755,58717.455312500000,12.9811573,0.015965592,0,zg,42.798252000000000,57.4193473,0.358000010,-0.0109999999,20190822455312,1812,7,4,20.6000004,26.1672668,0.0277236812,-0.0908559635,7.38743256E-06,30.0,1.162,3
1812107400003140,97247603,2458726.9768367447,58726.476030100000,12.9976454,0.015973529,0,zg,42.798266900000000,57.4193384,0.513999999,-0.0080000004,20190831475995,1812,7,4,21.5799999,26.1934185,0.0231813751,-0.1079785153,5.23234348E-06,30.0,1.113,2
1812107400003140,97247648,2458726.9772881800,58726.476481500000,12.9762478,0.015963236,0,zg,42.798253400000000,57.4193268,0.263999999,-0.0030000000,20190831476481,1812,7,4,21.5799999,26.1820068,0.0227446239,-0.0982610434,5.02381818E-06,30.0,1.113,3
1812107400003140,97949855,2458733.9998858560,58733.498553200000,12.9940081,0.015971774,0,zg,42.798264700000000,57.4193302,0.224999994,-0.0060000001,20190907498484,1812,7,4,21.2000008,26.2027245,0.0248478986,-0.1260526180,5.99439045E-06,30.0,1.108,2
1812107400003140,97949900,2458734.0003372887,58733.499004600000,12.9966440,0.015973045,0,zg,42.798266400000000,57.4193426,0.612999976,0.0179999992,20190907498993,1812,7,4,21.2600002,26.2013531,0.0236646663,-0.1199006438,5.46180581E-06,30.0,1.108,3
1812107400003140,98046303,2458734.9644361510,58734.463032400000,12.9637508,0.015957262,0,zg,42.798270700000000,57.4193471,0.245000005,-0.0060000001,20190908462963,1812,7,4,21.0300007,26.1692371,0.0253529958,-0.0769403726,6.06091635E-06,30.0,1.109,2
1812107400003140,98046348,2458734.9648875846,58734.463483800000,12.9753199,0.015962793,0,zg,42.798270900000000,57.4193388,0.414999992,-0.0040000002,20190908463484,1812,7,4,20.9099998,26.1828289,0.0264965687,-0.0952674821,6.65327616E-06,30.0,1.109,3
1812107400003140,98340592,2458737.9075444243,58737.405925900000,12.9711428,0.015960792,0,zg,42.798254200000000,57.4193497,0.337000012,0.0130000003,20190911405926,1812,7,4,20.4500008,26.1525822,0.0292397141,-0.0715084225,8.07296510E-06,30.0,1.154,2
1812107400003140,98340818,2458737.9098015890,58737.408182900000,13.0056448,0.015977394,0,zg,42.798252300000000,57.4193438,0.328000009,0.0020000001,20190911408183,1812,7,4,20.2500000,26.2101669,0.0338609070,-0.1294376254,1.09289722E-05,30.0,1.151,3
1812107400003140,98942979,2458743.9318379667,58743.429791700000,12.9781609,0.015964154,0,zg,42.798257300000000,57.4193355,0.481000006,0.0049999999,20190917429792,1812,7,4,19.9400005,26.1617374,0.0376928858,-0.0877950788,1.35053651E-05,30.0,1.113,2
1812107400003140,98943025,2458743.9323008980,58743.430254600000,12.9766750,0.015963441,0,zg,42.798252800000000,57.4193514,0.352999985,0.0020000001,20190917430243,1812,7,4,19.8299999,26.1572590,0.0404790677,-0.0817885026,1.57413979E-05,30.0,1.113,3
1812107400003140,99242712,2458746.9293816660,58746.427129600000,12.9975395,0.015973477,0,zg,42.798240600000000,57.4193357,0.799000025,-0.0340000018,20190920427095,1812,7,4,20.5900002,26.1980629,0.0287791118,-0.1156885847,7.95359301E-06,30.0,1.111,2
1812107400003140,99242758,2458746.9298330955,58746.427581000000,13.0064754,0.015977794,0,zg,42.798252900000000,57.4193445,0.680000007,0.0089999996,20190920427581,1812,7,4,20.5699997,26.2070179,0.0293387584,-0.1212242544,8.36587333E-06,30.0,1.110,3
1812107400003140,99540677,2458749.9092221023,58749.406770800000,12.9838066,0.015966866,0,zg,42.798267700000000,57.4193472,0.389999986,-0.0030000000,20190923406678,1812,7,4,21.1800003,26.1396198,0.0229535904,-0.0871109441,5.06204788E-06,30.0,1.118,2
1812107400003140,99540722,2458749.9096735315,58749.407222200000,12.9802485,0.015965158,0,zg,42.798265200000000,57.4193514,0.108999997,0.0060000001,20190923407222,1812,7,4,21.1399994,26.1290569,0.0230065510,-0.0810274184,5.06634660E-06,30.0,1.117,3
1812107400003140,99640960,2458750.9121235665,58750.409606500000,12.9904680,0.015970068,0,zg,42.798251600000000,57.4193450,0.159999996,0.0040000002,20190924409606,1812,7,4,20.8899994,26.0992012,0.0260326788,-0.0991393328,6.44557986E-06,30.0,1.114,2
1812107400003140,99641005,2458750.9125749950,58750.410057900000,12.9737101,0.015962021,0,zg,42.798289600000000,57.4193455,0.120999999,0.0049999999,20190924410058,1812,7,4,20.9200001,26.0764103,0.0260692202,-0.0747654885,6.43765679E-06,30.0,1.114,3
1812107400003140,99742853,2458751.9311132830,58751.428530100000,12.9530439,0.015952159,0,zg,42.798258800000000,57.4193400,0.558000028,-0.0040000002,20190925428530,1812,7,4,21.2399998,25.9996567,0.0493658260,-0.0910841078,2.34942927E-05,30.0,1.106,2
1812107400003140,99742898,2458751.9315647120,58751.428981500000,12.9732323,0.015961794,32768,zg,42.798277300000000,57.4193351,0.549000025,0.0410000011,20190925428981,1812,7,4,21.2299995,26.0278816,0.0291405469,-0.0785783529,8.16018110E-06,30.0,1.106,3
1812107400003140,100318563,2458757.6885788604,58757.185636600000,12.9933681,0.015971465,0,zg,42.798191100000000,57.4193535,0.765999973,-0.0000000000,20191001185127,1812,7,4,20.5900002,26.0448761,0.0301396269,-0.1168480963,8.78866376E-06,30.0,1.933,2
1812107400003140,100439118,2458758.8941948405,58758.391180600000,12.9629784,0.015956894,0,zg,42.798253600000000,57.4193399,0.541999996,0.0480000004,20191002391181,1812,7,4,21.3999996,26.1574440,0.0228777602,-0.0852898359,4.99486805E-06,30.0,1.112,2
1812107400003140,100439163,2458758.8946461678,58758.391631900000,12.9737625,0.015962046,0,zg,42.798255000000000,57.4193364,0.446999997,0.0199999996,20191002391632,1812,7,4,21.4300003,26.1662407,0.0233746935,-0.0913925990,5.21551146E-06,30.0,1.112,3
1812107400003140,101033262,2458764.8359772856,58764.332627300000,12.9827900,0.015966376,0,zg,42.798239100000000,57.4193408,0.425000012,0.0149999997,20191008332627,1812,7,4,21.1000004,26.1483688,0.0264883619,-0.0905140489,6.65989046E-06,30.0,1.153,2
1812107400003140,101033307,2458764.8364287100,58764.333078700000,12.9825850,0.015966278,0,zg,42.798244900000000,57.4193435,0.446999997,0.0120000001,20191008333079,1812,7,4,21.1499996,26.1441631,0.0245964825,-0.0877017081,5.79736161E-06,30.0,1.153,3
1812107400003140,101148151,2458765.9849273620,58765.481516200000,12.9898129,0.015969751,0,zg,42.798270900000000,57.4193375,0.537000000,0.0010000000,20191009481516,1812,7,4,21.4400005,26.1832352,0.0237796232,-0.1126579419,5.41044528E-06,30.0,1.186,2
1812107400003140,101148196,2458765.9853787850,58765.481967600000,12.9916410,0.015970634,0,zg,42.798270500000000,57.4193420,0.499000013,0.0080000004,20191009481968,1812,7,4,21.4699993,26.1720638,0.0242152028,-0.1047097668,5.60227909E-06,30.0,1.187,3
1812107400003140,101230936,2458766.8128178637,58766.309363400000,12.9740934,0.015962206,0,zg,42.798257000000000,57.4193452,0.133000001,-0.0060000001,20191010309363,1812,7,4,20.1599998,26.1466064,0.0337320566,-0.0809468254,1.09640450E-05,30.0,1.184,2
1812107400003140,101230982,2458766.8132808880,58766.309826400000,12.9679241,0.015959255,0,zg,42.798259300000000,57.4193466,0.204999998,0.0010000000,20191010309815,1812,7,4,20.1000004,26.1394386,0.0341856033,-0.0707918927,1.11344361E-05,30.0,1.183,3
1812107400003140,101330660,2458767.8101145374,58767.306608800000,12.9682169,0.015959395,0,zg,42.798259600000000,57.4193539,0.254999995,-0.0040000002,20191011306609,1812,7,4,18.9599991,26.1195641,0.0469723679,-0.0556839556,3.94819872E-05,30.0,1.184,2
1812107400003140,101330706,2458767.8105659580,58767.307060200000,12.9652243,0.015957965,0,zg,42.798217600000000,57.4194138,0.528999984,-0.0010000000,20191011307060,1812,7,4,18.9799995,26.1285744,0.0477666482,-0.0722131953,4.17520860E-05,30.0,1.183,3
1812107400003140,101428690,2458768.7904648776,58768.286909700000,13.0076237,0.015978353,0,zg,42.798227300000000,57.4193407,0.902000010,-0.0160000008,20191012286910,1812,7,4,19.9699993,26.1929913,0.0415591747,-0.1283191741,1.66716636E-05,30.0,1.221,2
1812107400003140,101428736,2458768.7909163000,58768.287361100000,13.0022707,0.015975764,32768,zg,42.798238100000000,57.4193458,0.563000023,-0.0340000018,20191012287361,1812,7,4,20.0900002,26.1766319,0.0386827067,-0.1087892875,1.43184698E-05,30.0,1.220,3
1812107400003140,101830505,2458772.8088055355,58772.305057900000,12.9706526,0.015960559,0,zg,42.798259800000000,57.4193471,0.481999993,-0.0020000001,20191016305000,1812,7,4,19.6200008,26.1172504,0.0454363152,-0.0663392022,2.20745769E-05,30.0,1.162,2
1812107400003140,101830550,2458772.8092569574,58772.305509300000,12.9622459,0.015956543,0,zg,42.798246900000000,57.4193386,0.088000000,0.0020000001,20191016305509,1812,7,4,19.6800003,26.1038437,0.0412655883,-0.0610902533,1.71684642E-05,30.0,1.162,3
1812107400003140,102139026,2458775.8941500380,58775.390266200000,12.9741850,0.015962251,0,zg,42.798258600000000,57.4193453,0.588000000,0.0089999996,20191019390232,1812,7,4,20.7199993,26.1617279,0.0261358973,-0.0840714350,6.48398782E-06,30.0,1.111,2
1812107400003140,102139071,2458775.8946014570,58775.390717600000,12.9641085,0.015957432,0,zg,42.798262900000000,57.4193433,0.282999992,0.0199999996,20191019390718,1812,7,4,20.6599998,26.1526299,0.0269252323,-0.0689006746,6.93430638E-06,30.0,1.111,3
1812107400003140,103226656,2458786.7708398220,58786.266562500000,12.9562054,0.015953664,0,zg,42.798286300000000,57.4193524,0.193000004,0.0030000000,20191030266562,1812,7,4,20.6200008,26.1196194,0.0338578299,-0.0918275118,1.08787717E-05,30.0,1.163,2
1812107400003140,103226701,2458786.7712912340,58786.267013900000,12.9473839,0.015949469,0,zg,42.798283000000000,57.4193797,0.310999990,-0.0020000001,20191030267014,1812,7,4,20.3799992,26.1217880,0.0372071080,-0.0976280347,1.30863218E-05,30.0,1.162,3
1812107400003140,104120491,2458795.7094103780,58795.204919000000,12.9803181,0.015965190,0,zg,42.798238800000000,57.4193406,0.391999990,0.0419999994,20191108204850,1812,7,4,20.4099998,26.1448021,0.0304806437,-0.0930328071,8.93648121E-06,30.0,1.242,2
1812107400003140,104120537,2458795.7098617847,58795.205370400000,12.9489517,0.015950212,0,zg,42.798257600000000,57.4193592,0.432999998,0.0489999987,20191108205370,1812,7,4,20.3299999,26.0954075,0.0320029184,-0.0461290143,9.73593524E-06,30.0,1.241,3
1812107400003140,104325660,2458797.7611347158,58797.256608800000,13.0037842,0.015976494,0,zg,42.798226800000000,57.4193423,0.521000028,-0.0099999998,20191110256609,1812,7,4,20.1200008,26.1835423,0.0365182944,-0.1247405633,1.28416068E-05,30.0,1.135,2
1812107400003140,104325751,2458797.7620375300,58797.257511600000,12.9695501,0.015960030,0,zg,42.798248900000000,57.4193391,0.340000004,0.0070000002,20191110257512,1812,7,4,20.2399998,26.1272430,0.0332254097,-0.0688437149,1.05165009E-05,30.0,1.134,3
1812107400003140,104826055,2458802.7651423140,58802.260555600000,13.0078259,0.015978450,32768,zg,42.798260100000000,57.4193466,0.735000014,-0.0439999998,20191115260556,1812,7,4,16.5499992,23.4644890,0.1309746057,0.1016512513,3.40102106E-01,30.0,1.119,2
1812107400003140,105724134,2458811.7459538216,58811.241342600000,13.0016327,0.015975453,0,zg,42.798250900000000,57.4193418,0.524999976,0.0099999998,20191124241343,1812,7,4,20.9099998,26.1550274,0.0305679906,-0.1195710003,8.83490247E-06,30.0,1.115,2
1812107400003140,105724180,2458811.7464168207,58811.241805600000,12.9973965,0.015973408,0,zg,42.798298100000000,57.4193434,0.462000012,0.0230000000,20191124241794,1812,7,4,20.8999996,26.1577854,0.0338164344,-0.1230291352,1.09349794E-05,30.0,1.115,3
