oid,expid,hjd,mjd,mag,magerr,catflags,filtercode,ra,dec,chi,sharp,filefracday,field,ccdid,qid,limitmag,magzp,magzprms,clrcoeff,clrcounc,exptime,airmass,programid
686211300145913,46451202,2458219.0111315055,58218.5120255,18.0139351,0.0320218541,0,zr,296.30857250000000,33.491156100000000,1.60500002,0.174999997,20180410511956,686,11,3,20.2999992,26.301096,0.0285546985,0.0948973075,1.60307736E-05,30.0,1.12,1
686211300145913,47645479,2458230.9545819040,58230.4547917,18.5479641,0.0414492302,32768,zr,296.30857840000000,33.491121600000000,0.47400001,-0.034000002,20180422454722,686,11,3,20.2999992,26.181915,0.0162113905,0.0991860628,5.19627656E-06,30.0,1.21,1
686211300145913,49047396,2458244.9745810335,58244.4739699,17.8961182,0.0304820780,32768,zr,296.30848970000000,33.491223200000000,1.25600004,-0.105999999,20180506473958,686,11,3,19.9099998,26.514652,0.0301558170,0.0917715430,1.76557242E-05,30.0,1.04,1
686211300145913,49049193,2458244.9925450855,58244.4919329,17.9319229,0.0309327431,0,zr,296.30847480000000,33.491223500000000,0.72000003,-0.045000002,20180506491898,686,11,3,19.5900002,26.452599,0.0262455977,0.1031877175,1.32984896E-05,30.0,1.02,1
686211300145913,49049238,2458244.9929965124,58244.4923843,17.9831333,0.0316033103,0,zr,296.30845790000000,33.491241100000000,0.73199999,0.018999999,20180506492384,686,11,3,19.6000004,26.496899,0.0381275378,0.0898553953,2.79998203E-05,30.0,1.02,1
686211300145913,49244450,2458246.9452279250,58246.4445023,18.0195255,0.0320990831,0,zr,296.30849550000000,33.491252500000000,0.85100001,0.013000000,20180508444502,686,11,3,19.9300003,26.492987,0.0239713583,0.1080896780,1.11476093E-05,30.0,1.10,1
686211300145913,49848593,2458252.9870099137,58252.4859375,17.9368553,0.0309959855,32768,zr,296.30856050000000,33.491152900000000,0.82700002,-0.052000001,20180514485903,686,11,3,20.4799995,26.496107,0.0187271852,0.0978616774,6.83150483E-06,30.0,1.01,1
686211300145913,50046379,2458254.9649803783,58254.4637963,17.9671135,0.0313901789,32768,zr,296.30850920000000,33.491173800000000,1.53600001,-0.054000001,20180516463762,686,11,3,20.5000000,26.518232,0.0255171433,0.0969173461,1.29420123E-05,30.0,1.02,1
686211300145913,50444328,2458258.9446921377,58258.4432870,17.8518085,0.0299443118,32768,zr,296.30854610000000,33.491236100000000,1.30700004,-0.079999998,20180520443229,686,11,3,20.2399998,26.476921,0.0297451895,0.0991801694,1.72434065E-05,30.0,1.03,1
686211300145913,50544645,2458259.9479182963,58259.4464583,19.5380936,0.0756046921,32768,zr,296.30884730000000,33.491159900000000,0.99400002,-0.086999997,20180521446458,686,11,3,20.0100002,26.222527,0.0202890914,0.1087677702,7.98252677E-06,30.0,1.03,1
