oid,expid,hjd,mjd,mag,magerr,catflags,filtercode,ra,dec,chi,sharp,filefracday,field,ccdid,qid,limitmag,magzp,magzprms,clrcoeff,clrcounc,exptime,airmass,programid
1585104200011657,58230873,2458336.8129794470,58336.308738400000,19.6887932,0.0733411387,0,zg,280.54153080000000,13.089315000000000,1.31200004,0.0439999998,20180806308727,1585,4,2,21.3899994,26.2496929,0.019544594,-0.039365489,5.98103406E-06,30.0,1.15199995,2
1585104200011657,58230918,2458336.8134308290,58336.309189800000,19.8291988,0.0810299516,0,zg,280.54156140000000,13.089338900000000,0.80199999,0.0120000001,20180806309178,1585,4,2,21.3799992,26.2530994,0.019155772,-0.044262994,5.74342130E-06,30.0,1.15300000,2
1585104200011657,81347651,2458567.9760043733,58567.476516200000,19.0662651,0.0477879532,0,zg,280.54153320000000,13.089315900000000,0.66000003,-0.0719999969,20190325476505,1585,4,2,20.0200005,26.1040745,0.031528629,-0.042175863,1.53838755E-05,30.0,1.42100000,1
1585104200011657,85249197,2458606.9944901974,58606.491979200000,19.1610508,0.0508976467,0,zg,280.54155450000000,13.089351100000000,0.89200002,0.0509999990,20190503491968,1585,4,2,20.9799995,26.2222195,0.025372703,-0.073798589,9.97872303E-06,30.0,1.05200005,1
1585104200011657,97820622,2458732.7087306473,58732.206226900000,19.0656605,0.0477688611,0,zg,280.54154540000000,13.089314500000000,0.73100001,-0.0270000007,20190906206215,1585,4,2,20.7999992,26.0756035,0.023523770,-0.033095084,8.45423165E-06,30.0,1.10099995,2
1585104200011657,97820667,2458732.7091819155,58732.206678200000,18.9805145,0.0451790392,0,zg,280.54154960000000,13.089321000000000,0.96300000,0.0769999996,20190906206667,1585,4,2,20.8999996,26.0777493,0.024752349,-0.037413742,9.33562842E-06,30.0,1.10099995,3
1585104200011657,128833214,2459042.8370215977,59042.332141200000,19.8312798,0.0811499804,0,zg,280.54157250000000,13.089319500000000,1.27199996,0.0520000011,20200712332141,1585,4,2,21.2600002,26.2720299,0.020835020,-0.066867664,6.63973560E-06,30.0,1.06400001,3
1585104200011657,158445578,2459338.9583981046,59338.455787000000,19.2802868,0.0551715940,0,zg,280.54156940000000,13.089304600000000,0.68500000,-0.0309999995,20210504455764,1585,4,2,21.0000000,26.2809753,0.022326460,-0.032092020,7.60569310E-06,30.0,1.07700002,2
1585104200011657,158445718,2459338.9597987020,59338.457187500000,19.3123493,0.0563937649,0,zg,280.54155940000000,13.089315900000000,1.15799999,-0.1159999967,20210504457188,1585,4,2,21.1299992,26.2960396,0.021446390,-0.051743507,7.09034202E-06,30.0,1.07500005,3
1585104200011657,161343793,2459367.9421763970,59367.437939800000,19.1541023,0.0506612733,0,zg,280.54157440000000,13.089319700000000,0.75300002,-0.0480000004,20210602437940,1585,4,2,21.0699997,26.3090401,0.022291943,-0.070309475,7.66971425E-06,30.0,1.05999994,2
1585104200011657,161643108,2459370.9354429906,59370.431088000000,19.2089233,0.0525634810,0,zg,280.54155220000000,13.089337600000000,0.53899997,-0.0839999989,20210605431088,1585,4,2,21.5200005,26.3004169,0.018942920,-0.058822028,5.51572839E-06,30.0,1.06099999,2
1585104200011657,161643155,2459370.9359059073,59370.431550900000,19.2017994,0.0523114018,0,zg,280.54155870000000,13.089340600000000,0.44200000,0.0250000004,20210605431551,1585,4,2,21.3899994,26.3002243,0.020050235,-0.057209503,6.16297029E-06,30.0,1.06099999,3
1585104200011657,164637516,2459400.8800825900,59400.375162000000,19.0085602,0.0460117161,0,zg,280.54156190000000,13.089323500000000,0.59700000,-0.0799999982,20210705375150,1585,4,2,21.2700005,26.2772274,0.020868253,-0.052466992,6.71195130E-06,30.0,1.09599996,2
1585104200011657,165036759,2459404.8724995740,59404.367592600000,20.1734142,0.1034871042,0,zg,280.54151180000000,13.089252500000000,1.04299998,0.1669999957,20210709367581,1585,4,2,21.1499996,26.1890755,0.020222561,-0.051760744,6.29486522E-06,30.0,1.10300004,2
1585104200011657,165036806,2459404.8729740684,59404.368067100000,19.8806000,0.0840497538,0,zg,280.54154150000000,13.089300100000000,0.47700000,-0.0820000023,20210709368056,1585,4,2,21.0599995,26.1932545,0.021486018,-0.050483726,7.13229383E-06,30.0,1.10399997,3
1585104200011657,166829995,2459422.8045401310,59422.299953700000,19.1396122,0.0501727276,0,zg,280.54153840000000,13.089312600000000,0.47900000,-0.0579999983,20210727299954,1585,4,2,20.7299995,26.2395210,0.023100812,-0.045680180,8.13882889E-06,30.0,1.07200003,2
