###MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
57230.332182  17.984  0.297   232   69 o  0   4.71 273.91479   5.57278 10308.81  9002.78 4.20 3.63 -89.3 -0.463 18.54 19.65 02a57230o0116o
57230.355282  17.472  0.152   373   57 o  0   4.05 273.91479   5.57278   511.19  1376.84 4.12 3.57 -42.8 -0.457 18.66 19.81 02a57230o0144o
57230.361226  16.921  0.088   619   55 o  0   4.33 273.91479   5.57278 10325.38  1377.04 3.84 3.58  61.5 -0.505 18.67 19.84 02a57230o0151o
57230.374178  16.879  0.091   643   58 o  0   3.50 273.91479   5.57278 10327.72  1382.57 3.80 3.49  66.6 -0.515 18.68 19.84 02a57230o0165o
57230.388255  16.841  0.080   666   53 o  0   3.53 273.91479   5.57278  8849.26  2844.79 3.69 3.35  81.2 -0.489 18.67 19.82 02a57230o0183o
57230.422396  16.692  0.071   764   54 o  0   2.43 273.91479   5.57278  8836.61  2857.12 3.65 3.30  84.5 -0.483 18.59 19.61 02a57230o0221o
57247.313431  18.010  0.225   227   51 c  0   3.68 273.91479   5.57278   261.57  1602.27 4.67 4.02 -35.4 -0.395 18.54 20.50 02a57247o0114c
57248.311734  17.733  0.101   293   30 c  0   8.39 273.91479   5.57278   252.02  1590.18 4.64 3.83 -29.5 -0.419 19.58 21.69 02a57248o0104c
57248.312403  17.408  0.093   395   37 c  0   5.56 273.91479   5.57278 10069.45  1592.31 4.32 3.82  41.1 -0.477 19.58 21.66 02a57248o0105c
57248.339495  17.670  0.096   310   30 c  0   7.08 273.91479   5.57278   248.14  1594.99 4.67 3.79 -34.0 -0.416 19.61 21.71 02a57248o0140c
57248.346059  17.306  0.066   434   28 c  0   8.40 273.91479   5.57278 10059.74  1600.80 4.30 3.85  42.8 -0.468 19.57 21.65 02a57248o0148c
57248.362346  17.400  0.076   398   30 c  0   6.05 273.91479   5.57278  8588.05  3063.12 3.99 3.77  63.5 -0.445 19.54 21.60 02a57248o0168c
57248.393013  17.276  0.068   446   30 c  0   6.11 273.91479   5.57278  8571.07  3065.12 3.91 3.75  52.8 -0.445 19.44 21.50 02a57248o0208c
57250.314902  17.425  0.080   389   31 c  0   6.78 273.91479   5.57278   239.39  1598.87 4.39 3.87 -39.7 -0.420 19.42 21.42 02a57250o0081c
57250.315604  17.336  0.103   422   44 c  0   3.70 273.91479   5.57278 10055.97  1601.01 4.20 3.77  46.2 -0.478 19.29 21.23 02a57250o0082c
57250.341832  17.600  0.096   331   32 c  0   6.73 273.91479   5.57278   235.36  1601.91 4.62 3.87 -34.1 -0.407 19.40 21.37 02a57250o0117c
57250.348304  17.300  0.082   436   36 c  0   4.85 273.91479   5.57278 10044.25  1606.29 4.21 3.79  47.1 -0.479 19.46 21.42 02a57250o0125c
57250.363778  17.309  0.074   433   32 c  0   5.31 273.91479   5.57278  8572.90  3068.91 3.94 3.73  68.4 -0.452 19.43 21.39 02a57250o0145c
57250.394540  17.527  0.121   354   43 c  0   3.49 273.91479   5.57278  8572.02  3073.53 3.93 3.77  51.7 -0.451 18.84 20.69 02a57250o0185c
57277.271313  17.340  0.072   421   30 c  0   6.15 273.91479   5.57278  4061.68  5659.83 3.97 3.58 -64.9 -0.482 19.47 21.47 02a57277o0108c
