oid,expid,hjd,mjd,mag,magerr,catflags,filtercode,ra,dec,chi,sharp,filefracday,field,ccdid,qid,limitmag,magzp,magzprms,clrcoeff,clrcounc,exptime,airmass,programid
686210200033986,44451681,2458199.0147364936,58198.516817100000,14.8611126,0.0150841884,0,zr,298.77003550000000,34.563270500000000,0.77700001,0.0120000001,20180321516794,686,10,2,20.9899998,26.32337,0.0273823813,0.0992146209,6.04546312E-06,30.0,1.33399999,1
686210200033986,44452997,2458199.0278968740,58198.529976900000,14.7414198,0.0150104621,0,zr,298.77003780000000,34.563263100000000,0.41600001,-0.0070000002,20180321529954,686,10,2,20.7900009,26.31354,0.0180320162,0.1033803597,2.59217859E-06,30.0,1.26199996,1
686210200033986,46251178,2458217.0105764815,58216.511782400000,14.7675304,0.0150258038,0,zr,298.77001700000000,34.563326800000000,1.27199996,-0.0260000005,20180408511771,686,10,2,19.6800003,26.20805,0.0301696286,0.1268251687,7.22891673E-06,30.0,1.13800001,1
686210200033986,46348929,2458217.9881401695,58217.489294000000,14.7924376,0.0150408149,0,zr,298.77004110000000,34.563277000000000,0.86500001,-0.0689999983,20180409489282,686,10,2,20.5000000,26.28278,0.0240262132,0.1020591110,4.61603804E-06,30.0,1.21099997,1
686210200033986,46351206,2458218.0109076025,58217.512060200000,14.6288185,0.0149487276,0,zr,298.77004370000000,34.563251300000000,0.80400002,-0.0149999997,20180409511956,686,10,2,20.7399998,26.26395,0.0222742893,0.1105267778,3.96402356E-06,30.0,1.12800002,1
686210200033986,46449571,2458218.9946178150,58218.495717600000,14.4832907,0.0148786940,0,zr,298.77004940000000,34.563266300000000,0.75099999,0.0109999999,20180410495694,686,10,2,20.5799999,26.14237,0.0257729180,0.1075958312,5.35198205E-06,30.0,1.17400002,1
686210200033986,46451202,2458219.0109266050,58218.512025500000,14.5057211,0.0148888221,0,zr,298.77003430000000,34.563261600000000,0.98900002,-0.0130000003,20180410511956,686,10,2,20.4400005,26.06492,0.0269991811,0.1110903919,5.88363400E-06,30.0,1.12000000,1
686210200033986,47445553,2458228.9549853690,58228.455532400000,14.7867069,0.0150373271,0,zr,298.77004210000000,34.563280400000000,1.23500001,-0.0130000003,20180420455509,686,10,2,20.1100006,26.27685,0.0230357461,0.1185378358,4.22309176E-06,30.0,1.22700000,1
686210200033986,47545592,2458229.9554358130,58229.455925900000,14.4805708,0.0148774814,0,zr,298.77003290000000,34.563261400000000,1.07799995,-0.0109999999,20180421455903,686,10,2,20.5799999,26.30168,0.0198834352,0.0978762954,3.15381089E-06,30.0,1.21300006,1
686210200033986,47645479,2458230.9543586546,58230.454791700000,14.8635101,0.0150857558,0,zr,298.77004400000000,34.563272300000000,1.20200002,-0.1250000000,20180422454722,686,10,2,20.3299999,25.96626,0.0255990867,0.1088563502,5.21823631E-06,30.0,1.20700002,1
686210200033986,49047396,2458244.9743480743,58244.473969900000,14.6281834,0.0149483997,0,zr,298.77004180000000,34.563309900000000,1.71000004,-0.0670000017,20180506473958,686,10,2,20.1499996,26.25541,0.0198951662,0.1223945543,3.10019846E-06,30.0,1.04499996,1
686210200033986,49049193,2458244.9923121210,58244.491932900000,14.5731592,0.0149207097,0,zr,298.77004020000000,34.563338900000000,1.42600000,-0.0689999983,20180506491898,686,10,2,19.7399998,26.21522,0.0233687144,0.1246630698,4.28829662E-06,30.0,1.02100003,1
686210200033986,49049238,2458244.9927635496,58244.492384300000,14.5674438,0.0149179222,0,zr,298.77000870000000,34.563340000000000,1.85500002,-0.0850000009,20180506492384,686,10,2,19.7900009,26.21449,0.0237687398,0.1246041581,4.47442062E-06,30.0,1.01999998,1
686210200033986,49244450,2458246.9449946517,58246.444502300000,14.7810049,0.0150338775,0,zr,298.77003030000000,34.563329400000000,1.67799997,-0.0890000015,20180508444502,686,10,2,20.3099995,26.28349,0.0236211456,0.1221052110,4.40198892E-06,30.0,1.09599996,1
686210200033986,49345133,2458247.9518815790,58247.451331000000,14.6269894,0.0149477813,0,zr,298.77003380000000,34.563295800000000,1.39699996,-0.0970000029,20180509451285,686,10,2,20.6599998,26.30074,0.0261279456,0.1200564280,5.51156063E-06,30.0,1.07299995,1
686210200033986,49543297,2458249.9336393364,58249.432974500000,14.8437719,0.0150729548,0,zr,298.77002260000000,34.563430200000000,1.37300003,-0.1089999974,20180511432928,686,10,2,19.9599991,26.24560,0.0275796633,0.1279656291,6.04698153E-06,30.0,1.10500002,1
686210200033986,49547127,2458249.9719401540,58249.471273100000,14.8423109,0.0150720170,0,zr,298.77000650000000,34.563515500000000,1.76400006,0.0989999995,20180511471262,686,10,2,19.7399998,26.30323,0.0391284861,0.1285727620,1.24734215E-05,30.0,1.02900004,1
686210200033986,49848593,2458252.9867773030,58252.485937500000,14.5977144,0.0149328746,0,zr,298.77003450000000,34.563269800000000,0.66900003,-0.0540000014,20180514485903,686,10,2,20.6900005,26.30833,0.0278078374,0.1072993800,6.31341027E-06,30.0,1.00699997,1
686210200033986,50046379,2458254.9647485125,58254.463796300000,14.8494310,0.0150766000,0,zr,298.77002840000000,34.563274200000000,1.20700002,-0.0130000003,20180516463762,686,10,2,20.8899994,26.30242,0.0251555052,0.1171143726,5.06885908E-06,30.0,1.02199996,1
686210200033986,50144539,2458255.9464011774,58255.445393500000,14.6342602,0.0149515523,0,zr,298.77002960000000,34.563268300000000,0.58800000,-0.0350000001,20180517445336,686,10,2,20.8600006,26.32173,0.0289391130,0.1113030016,6.72321539E-06,30.0,1.04299998,1
686210200033986,50243392,2458256.9349868987,58256.433923600000,14.4862814,0.0148800304,0,zr,298.77004120000000,34.563251300000000,0.80900002,-0.0390000008,20180518433912,686,10,2,21.1000004,26.32424,0.0237842407,0.1049664244,4.57489114E-06,30.0,1.05799997,1
686210200033986,50245200,2458256.9530666200,58256.452002300000,14.5169115,0.0148939621,0,zr,298.77003880000000,34.563259400000000,0.32100001,-0.0099999998,20180518451991,686,10,2,21.1299992,26.33594,0.0272439197,0.1073485538,6.02626142E-06,30.0,1.02900004,1
686210200033986,50343427,2458257.9353901300,58257.434270800000,14.9020100,0.0151114585,0,zr,298.77003690000000,34.563276500000000,1.04299998,-0.0130000003,20180519434248,686,10,2,20.9699993,26.28434,0.0247821603,0.1158668026,4.97398287E-06,30.0,1.05299997,1
686210200033986,50345336,2458257.9544885037,58257.453368100000,14.9112463,0.0151177719,0,zr,298.77003280000000,34.563286700000000,1.53199995,-0.0869999975,20180519452755,686,10,2,20.8799992,26.27762,0.0277278032,0.1191755831,6.29788838E-06,30.0,1.02400005,1
686210200033986,50444328,2458258.9444625700,58258.443287000000,14.5340900,0.0149019696,0,zr,298.77001370000000,34.563329600000000,2.29299998,-0.1080000028,20180520443229,686,10,2,20.5799999,26.26817,0.0246816352,0.1214985773,4.89048944E-06,30.0,1.03400004,1
686210200033986,50544645,2458259.9476894870,58259.446458300000,14.5998077,0.0149339270,0,zr,298.77003170000000,34.563317100000000,1.40199995,0.0280000009,20180521446458,686,10,2,20.3700008,26.04830,0.0207166187,0.1181171834,3.43954616E-06,30.0,1.02600002,1
686210200033986,50838572,2458262.8871214770,58262.385729200000,14.5001993,0.0148863075,0,zr,298.77002690000000,34.563356100000000,1.23300004,-0.0700000003,20180524385718,686,10,2,20.1299992,26.28036,0.0223938636,0.1220288128,3.99385863E-06,30.0,1.13900006,1
