HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2457420.66744,2016-02-02.1671520,be,1.45,15.502,12.425,0.014,41.116,0.503,V
2457420.66873,2016-02-02.1684403,be,1.53,15.403,12.423,0.014,41.159,0.543,V
2457420.67002,2016-02-02.1697269,be,1.59,15.478,12.447,0.014,40.283,0.513,V
2457423.80928,2016-02-05.3088121,be,1.54,15.327,12.412,0.016,41.606,0.588,V
2457423.81021,2016-02-05.3097409,be,1.62,15.381,12.400,0.015,42.066,0.562,V
2457423.81115,2016-02-05.3106774,be,1.59,15.349,12.425,0.016,41.114,0.577,V
2457427.72501,2016-02-09.2243160,bf,1.48,15.573,12.451,0.013,40.131,0.485,V
2457427.72629,2016-02-09.2256020,bf,1.52,15.601,12.458,0.013,39.863,0.493,V
2457427.72757,2016-02-09.2268780,bf,1.50,15.582,12.452,0.013,40.094,0.485,V
2457427.74711,2016-02-09.2464174,be,1.61,15.483,12.409,0.014,41.732,0.512,V
2457427.74841,2016-02-09.2477218,be,1.54,15.538,12.435,0.014,40.745,0.489,V
2457427.74970,2016-02-09.2490089,be,1.58,15.502,12.449,0.014,40.186,0.502,V
2457436.79105,2016-02-18.2898694,be,2.13,15.386,12.418,0.015,41.387,0.559,V
2457436.79233,2016-02-18.2911464,be,2.09,15.406,12.396,0.014,42.208,0.544,V
2457436.79362,2016-02-18.2924357,be,2.08,15.413,12.389,0.014,42.481,0.550,V
2457436.81852,2016-02-18.3173329,bf,1.63,15.580,12.443,0.013,40.420,0.490,V
2457437.65346,2016-02-19.1522350,be,1.62,15.331,12.421,0.016,41.276,0.590,V
2457437.65478,2016-02-19.1535486,be,1.55,15.355,12.436,0.016,40.686,0.572,V
2457437.65608,2016-02-19.1548476,be,1.54,15.363,12.416,0.015,41.482,0.572,V
2457437.68499,2016-02-19.1837606,bf,1.50,15.479,12.467,0.015,39.553,0.535,V
2457437.68628,2016-02-19.1850466,bf,1.51,15.490,12.446,0.014,40.316,0.526,V
2457437.68757,2016-02-19.1863375,bf,1.59,15.498,12.455,0.014,39.988,0.516,V
2457440.76617,2016-02-22.2647796,bf,1.62,15.396,12.431,0.015,40.858,0.578,V
2457440.76746,2016-02-22.2660664,bf,1.55,15.274,12.433,0.017,40.802,0.625,V
2457440.76876,2016-02-22.2673716,bf,1.70,15.243,12.441,0.018,40.511,0.647,V
2457440.77636,2016-02-22.2749679,be,1.49,15.252,12.426,0.016,41.041,0.626,V
2457440.77765,2016-02-22.2762543,be,1.48,15.156,12.423,0.018,41.188,0.677,V
2457440.77893,2016-02-22.2775361,be,1.52,15.134,12.421,0.019,41.256,0.697,V
2457445.84168,2016-02-27.3400303,bf,1.56,15.438,12.450,0.015,40.175,0.564,V
2457445.84295,2016-02-27.3413056,bf,1.66,15.444,12.475,0.016,39.239,0.568,V
2457445.84424,2016-02-27.3425935,bf,1.63,15.413,12.459,0.015,39.844,0.567,V
2457445.84556,2016-02-27.3439138,be,1.54,15.445,12.398,0.014,42.159,0.539,V
2457445.84685,2016-02-27.3452048,be,1.58,15.343,12.428,0.016,40.990,0.586,V
2457445.84814,2016-02-27.3464950,be,1.51,15.366,12.407,0.015,41.797,0.576,V
2457447.79866,2016-02-29.2969244,be,1.58,15.399,12.442,0.015,40.470,0.552,V
2457447.79995,2016-02-29.2982142,be,1.63,15.406,12.430,0.014,40.925,0.545,V
2457447.80124,2016-02-29.2995039,be,1.63,15.431,12.412,0.015,41.591,0.536,V
2457448.62429,2016-03-01.1225127,be,1.52,15.445,12.440,0.015,40.557,0.535,V
2457448.62558,2016-03-01.1238006,be,1.46,15.511,12.429,0.014,40.934,0.509,V
2457448.62687,2016-03-01.1250887,be,1.59,15.456,12.424,0.014,41.154,0.527,V
2457448.85371,2016-03-01.3519230,bf,1.49,15.549,12.462,0.014,39.716,0.513,V
2457448.85500,2016-03-01.3532093,bf,1.46,15.525,12.446,0.014,40.315,0.515,V
2457448.85629,2016-03-01.3544958,bf,1.58,15.493,12.440,0.014,40.557,0.524,V
2457449.70994,2016-03-02.2081108,bf,1.56,15.505,12.479,0.015,39.108,0.539,V
2457449.71125,2016-03-02.2094158,bf,1.58,15.534,12.483,0.015,38.980,0.544,V
2457449.71253,2016-03-02.2107025,bf,1.55,15.334,12.509,0.018,38.056,0.635,V
2457452.77896,2016-03-05.2769831,be,2.00,15.387,12.393,0.014,42.319,0.551,V
2457452.78024,2016-03-05.2782700,be,2.01,15.477,12.390,0.013,42.459,0.510,V
2457452.78155,2016-03-05.2795785,be,2.00,15.471,12.407,0.013,41.783,0.510,V
2457452.83254,2016-03-05.3305625,bf,1.70,15.583,12.437,0.014,40.627,0.515,V
