###MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
57300.267309  14.092  0.008  8379   68 o  0  16.34 293.59962  30.69347  1222.78  3322.12 4.33 3.57 -43.1 -0.523 18.43 19.91 02a57300o0177o
57300.283629  14.099  0.007  8324   60 o  0  21.25 293.59962  30.69347  1222.31  3325.14 4.31 3.51 -40.3 -0.525 18.75 20.30 02a57300o0227o
57302.252386  14.087  0.008  8416   64 o  0  15.75 293.59962  30.69347  2698.90  1842.89 4.75 3.59 -22.6 -0.570 18.97 20.69 02a57302o0105o
57302.270306  14.089  0.008  8403   64 o  0  14.30 293.59962  30.69347  1208.38  3324.21 4.75 3.64 -35.1 -0.526 18.99 20.73 02a57302o0133o
57302.286388  14.099  0.007  8325   59 o  0  19.11 293.59962  30.69347  1207.05  3324.46 4.82 3.64 -35.8 -0.527 18.99 20.75 02a57302o0158o
57314.236887  14.325  0.007  6761   48 c  0  14.47 293.59962  30.69347  2698.23  1852.77 5.45 3.82 -15.8 -0.529 19.11 20.88 02a57314o0063c
57314.257993  14.312  0.007  6840   48 c  0  12.61 293.59962  30.69347  2689.76  1852.52 5.59 3.99 -17.4 -0.510 19.06 20.85 02a57314o0095c
57314.277458  14.333  0.008  6709   53 c  0   9.18 293.59962  30.69347  1204.20  3332.60 5.39 4.04 -32.2 -0.478 19.02 20.79 02a57314o0124c
57314.297751  14.346  0.007  6633   49 c  0  11.69 293.59962  30.69347  1204.43  3332.93 5.27 3.91 -32.3 -0.486 19.02 20.76 02a57314o0153c
57315.233985  14.311  0.009  6849   59 c  0   8.31 293.59962  30.69347  2692.43  1855.57 5.42 3.85 -18.3 -0.527 18.73 20.20 02a57315o0075c
57315.252799  14.312  0.009  6841   59 c  0   7.80 293.59962  30.69347  2689.43  1856.26 5.50 3.90 -17.0 -0.521 18.59 20.00 02a57315o0104c
57315.270965  14.323  0.009  6772   64 c  0   6.73 293.59962  30.69347  1197.22  3336.97 5.42 4.01 -32.1 -0.488 18.32 19.66 02a57315o0132c
57315.290934  14.324  0.009  6765   58 c  0   8.59 293.59962  30.69347  1197.77  3336.89 5.32 3.89 -31.9 -0.499 18.67 20.12 02a57315o0162c
57316.258773  14.336  0.008  6691   53 c  0  10.16 293.59962  30.69347  1185.68  3332.73 5.20 3.87 -32.9 -0.504 18.81 20.26 02a57316o0083c
57316.275743  14.331  0.008  6725   55 c  0   8.95 293.59962  30.69347  1183.98  3333.02 5.44 3.99 -34.0 -0.490 18.75 20.24 02a57316o0109c
57319.215520  14.355  0.013  6578   85 o  0   7.21 293.59962  30.69347  2767.83  1862.34 5.50 3.76 -19.5 -0.584 18.37 19.56 02a57319o0058o
57319.234338  14.343  0.013  6653   86 o  0   7.51 293.59962  30.69347  2756.06  1858.50 5.33 3.67 -17.5 -0.588 18.40 19.54 02a57319o0086o
