HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2456220.76579,2012-10-20.2639047,bb,2.15,15.422,10.945,0.005,160.635,0.686,V
2456224.75159,2012-10-24.2500208,bb,2.01,15.579,10.932,0.004,162.569,0.596,V
2456242.77534,2012-11-11.2752628,bb,2.12,15.612,10.993,0.004,153.672,0.536,V
2456259.72271,2012-11-28.2240508,bb,2.03,15.740,11.450,0.005,100.918,0.508,V
2456268.73186,2012-12-07.2339130,bb,1.72,15.400,10.950,0.011,159.957,1.647,V
2456272.75635,2012-12-11.2587042,bb,1.76,15.226,11.527,0.011,93.974,0.937,V
2456369.13777,2013-03-17.6416416,bb,2.31,14.001,11.088,0.020,140.724,2.593,V
2456389.08671,2013-04-06.5893848,bb,2.20,15.385,11.014,0.005,150.849,0.680,V
2456389.08816,2013-04-06.5908357,bb,2.19,15.333,10.959,0.006,158.517,0.890,V
2456396.06590,2013-04-13.5680770,bb,2.14,15.332,10.992,0.005,153.906,0.677,V
2456396.06736,2013-04-13.5695298,bb,2.16,15.358,11.012,0.005,151.086,0.664,V
2456399.12556,2013-04-16.6275040,bb,2.19,15.417,11.034,0.005,148.079,0.637,V
2456399.12701,2013-04-16.6289543,bb,2.18,15.439,11.029,0.005,148.708,0.622,V
2456405.08744,2013-04-22.5889297,bb,2.16,15.453,11.034,0.005,148.008,0.606,V
2456407.07373,2013-04-24.5750535,bb,2.09,15.316,11.003,0.005,152.381,0.711,V
2456407.07551,2013-04-24.5768358,bb,2.08,15.322,10.975,0.005,156.223,0.778,V
2456412.05031,2013-04-29.5512370,bb,2.12,15.368,11.010,0.005,151.322,0.659,V
2456412.05220,2013-04-29.5531275,bb,2.13,15.342,11.012,0.005,151.069,0.677,V
2456435.98920,2013-05-23.4881594,bb,2.02,15.322,10.984,0.005,154.908,0.664,V
2456435.99091,2013-05-23.4898725,bb,2.04,15.324,10.976,0.005,156.081,0.693,V
2456444.02040,2013-05-31.5187267,bb,1.97,15.428,10.969,0.005,157.105,0.616,V
2456444.02213,2013-05-31.5204430,bb,1.99,15.425,10.981,0.005,155.378,0.643,V
2456447.02544,2013-06-03.5235236,bb,1.99,15.316,10.936,0.005,161.961,0.772,V
2456447.02714,2013-06-03.5252228,bb,2.00,15.334,10.950,0.005,159.930,0.658,V
2456449.02308,2013-06-05.5210137,bb,2.17,15.296,11.012,0.005,151.133,0.680,V
2456449.02475,2013-06-05.5226846,bb,2.15,15.296,11.016,0.005,150.494,0.670,V
2456450.99671,2013-06-07.4944971,bb,2.05,15.309,11.014,0.005,150.827,0.668,V
2456450.99811,2013-06-07.4958972,bb,2.04,15.304,11.016,0.005,150.396,0.666,V
2456452.99390,2013-06-09.4915380,bb,1.72,14.785,11.116,0.008,137.345,1.075,V
2456452.99526,2013-06-09.4929062,bb,1.75,14.603,11.070,0.012,143.244,1.680,V
2456454.98664,2013-06-11.4841430,bb,1.76,13.566,10.702,0.025,200.932,4.599,V
2456454.98803,2013-06-11.4855239,bb,1.99,13.134,10.538,0.031,233.814,6.623,V
