HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2455888.71687,2011-11-23.2149103,bb,2.00,99.990,99.990,99.990,99.990,99.990,V
2455888.71881,2011-11-23.2168440,bb,2.01,99.990,99.990,99.990,99.990,99.990,V
2455889.71498,2011-11-24.2130785,bb,2.25,99.990,99.990,99.990,99.990,99.990,V
2455891.71836,2011-11-26.2165842,bb,2.15,99.990,99.990,99.990,99.990,99.990,V
2456589.80944,2013-10-24.3059795,bc,1.56,15.944,>15.944,99.990,-0.157,0.322,V
2456589.81081,2013-10-24.3073497,bc,1.61,16.013,>16.013,99.990,-0.355,0.302,V
2457007.70795,2014-12-16.2071415,ba,2.01,16.747,>16.747,99.990,0.097,0.154,V
2457007.70935,2014-12-16.2085456,ba,2.01,16.733,>16.733,99.990,0.399,0.156,V
2457007.73679,2014-12-16.2359881,bb,1.74,16.457,>16.457,99.990,0.122,0.200,V
2457007.73818,2014-12-16.2373811,bb,1.70,16.426,>16.426,99.990,0.503,0.206,V
2457008.70860,2014-12-17.2078662,ba,2.08,16.633,>16.633,99.990,0.405,0.170,V
2457008.71007,2014-12-17.2093402,ba,2.09,16.660,>16.660,99.990,0.162,0.166,V
2457008.73658,2014-12-17.2358520,bb,2.36,16.565,>16.565,99.990,-0.022,0.181,V
2457008.73801,2014-12-17.2372888,bb,2.33,16.884,>16.884,99.990,-0.067,0.135,V
2457009.70501,2014-12-18.2043517,ba,2.06,16.651,>16.651,99.990,0.174,0.168,V
2457009.70647,2014-12-18.2058034,ba,2.06,16.812,>16.812,99.990,-0.086,0.145,V
2457009.73161,2014-12-18.2309482,bb,1.65,16.657,>16.657,99.990,-0.157,0.167,V
2457009.73308,2014-12-18.2324262,bb,1.78,16.700,>16.700,99.990,0.283,0.160,V
2457010.70292,2014-12-19.2023341,ba,2.07,16.152,>16.152,99.990,-0.307,0.265,V
2457010.70440,2014-12-19.2038134,ba,2.11,16.119,>16.119,99.990,-0.356,0.274,V
2457010.72699,2014-12-19.2264010,bb,2.00,15.972,>15.972,99.990,-0.321,0.313,V
2457010.72840,2014-12-19.2278061,bb,2.04,15.936,>15.936,99.990,0.382,0.324,V
2457011.70050,2014-12-20.1999781,ba,2.23,16.589,>16.589,99.990,0.503,0.178,V
2457011.70195,2014-12-20.2014274,ba,2.19,16.719,>16.719,99.990,-0.135,0.158,V
2457011.72409,2014-12-20.2235717,bb,1.70,16.518,>16.518,99.990,0.246,0.190,V
2457011.72554,2014-12-20.2250217,bb,1.65,16.642,>16.642,99.990,0.212,0.169,V
2457012.69448,2014-12-21.1940325,ba,2.05,15.800,>15.800,99.990,0.422,0.367,V
2457012.69596,2014-12-21.1955053,ba,2.04,15.881,>15.881,99.990,0.114,0.341,V
2457012.72042,2014-12-21.2199687,bb,2.08,16.564,>16.564,99.990,-0.022,0.182,V
2457012.72206,2014-12-21.2216160,bb,2.06,16.393,>16.393,99.990,-0.192,0.213,V
2457021.69998,2014-12-30.2001748,bb,1.66,15.857,>15.857,99.990,-0.110,0.348,V
2457021.70139,2014-12-30.2015844,bb,1.70,15.964,>15.964,99.990,0.225,0.316,V
2457123.13879,2015-04-10.6426240,ba,2.01,14.998,>14.998,99.990,-0.432,0.769,V
2457129.13725,2015-04-16.6409166,ba,1.96,99.990,99.990,99.990,99.990,99.990,V
2457131.13337,2015-04-18.6369796,ba,1.95,15.189,>15.189,99.990,-0.424,0.644,V
2457131.13502,2015-04-18.6386310,ba,1.97,15.072,>15.072,99.990,-1.932,0.718,V
2457132.11237,2015-04-19.6159412,ba,1.66,16.364,>16.364,99.990,-0.306,0.218,V
2457132.11395,2015-04-19.6175281,ba,1.67,16.308,>16.308,99.990,0.166,0.230,V
2457133.11280,2015-04-20.6163425,ba,1.76,16.420,>16.420,99.990,-0.153,0.207,V
2457133.11441,2015-04-20.6179545,ba,1.72,16.280,>16.280,99.990,0.528,0.236,V
2457134.12664,2015-04-21.6301498,ba,1.79,15.793,>15.793,99.990,0.240,0.370,V
2457134.12821,2015-04-21.6317145,ba,1.67,15.528,>15.528,99.990,0.046,0.472,V
2457135.12372,2015-04-22.6271875,ba,2.01,15.936,>15.936,99.990,-0.099,0.324,V
2457135.12545,2015-04-22.6289141,ba,1.74,15.835,>15.835,99.990,0.463,0.355,V
2457136.10728,2015-04-23.6107122,ba,1.67,16.556,>16.556,99.990,-0.116,0.183,V
2457136.10878,2015-04-23.6122155,ba,1.66,16.495,>16.495,99.990,-0.020,0.194,V
2457137.10519,2015-04-24.6085846,ba,1.60,16.452,>16.452,99.990,-0.151,0.201,V
2457137.10681,2015-04-24.6102028,ba,1.61,16.467,>16.467,99.990,-0.091,0.199,V
2457138.10791,2015-04-25.6112679,ba,1.67,16.617,>16.617,99.990,0.178,0.173,V
2457138.10948,2015-04-25.6128434,ba,1.68,16.480,>16.480,99.990,0.644,0.196,V
2457138.12695,2015-04-25.6303075,bb,1.78,15.609,>15.609,99.990,-0.741,0.438,V
2457138.12857,2015-04-25.6319318,bb,1.84,15.396,>15.396,99.990,0.035,0.533,V
2457145.11041,2015-05-02.6134535,bb,2.00,15.826,>15.826,99.990,-0.356,0.359,V
2457145.11196,2015-05-02.6150077,bb,2.02,15.869,>15.869,99.990,-0.438,0.345,V
2457148.09902,2015-05-05.6019262,ba,1.68,15.639,>15.639,99.990,0.254,0.426,V
2457151.08572,2015-05-08.5884796,ba,1.73,16.053,>16.053,99.990,0.707,0.291,V
2457151.08738,2015-05-08.5901406,ba,1.70,15.860,>15.860,99.990,0.850,0.348,V
2457152.10991,2015-05-09.6126269,bb,1.62,14.781,>14.781,99.990,-0.395,0.938,V
2457152.11150,2015-05-09.6142075,bb,1.66,14.734,>14.734,99.990,1.690,0.980,V
2457154.10753,2015-05-11.6101324,bb,1.73,16.156,>16.156,99.990,0.342,0.265,V
2457154.10913,2015-05-11.6117300,bb,1.69,16.228,>16.228,99.990,-0.019,0.247,V
2457157.06214,2015-05-14.5645827,ba,2.10,16.428,>16.428,99.990,0.497,0.206,V
2457157.06378,2015-05-14.5662186,ba,2.13,16.330,>16.330,99.990,0.377,0.225,V
2457158.09366,2015-05-15.5960863,bb,2.08,16.446,>16.446,99.990,0.595,0.203,V
2457158.09523,2015-05-15.5976401,bb,2.07,16.394,>16.394,99.990,0.597,0.213,V
2457161.07514,2015-05-18.5773635,bb,1.70,16.586,>16.586,99.990,-0.209,0.178,V
2457161.07664,2015-05-18.5788583,bb,1.63,16.578,>16.578,99.990,-0.130,0.179,V
2457161.10686,2015-05-18.6090744,bb,1.66,16.595,>16.595,99.990,-0.061,0.177,V
2457161.10841,2015-05-18.6106340,bb,1.72,16.519,>16.519,99.990,-0.327,0.189,V
2457162.08282,2015-05-19.5849846,bb,1.80,16.311,>16.311,99.990,-0.097,0.229,V
2457162.08444,2015-05-19.5866016,bb,1.79,16.183,>16.183,99.990,-0.318,0.258,V
2457164.06723,2015-05-21.5692810,ba,2.02,16.473,>16.473,99.990,-0.085,0.198,V
2457164.06881,2015-05-21.5708556,ba,2.02,16.578,>16.578,99.990,0.081,0.179,V
2457164.09708,2015-05-21.5991240,bb,1.70,16.460,>16.460,99.990,-0.088,0.200,V
2457164.09860,2015-05-21.6006422,bb,1.68,16.619,>16.619,99.990,0.295,0.173,V
2457165.10162,2015-05-22.6036114,bb,1.62,16.461,>16.461,99.990,-0.017,0.200,V
2457165.10312,2015-05-22.6051107,bb,1.64,16.437,>16.437,99.990,0.421,0.204,V
2457172.01978,2015-05-29.5213346,ba,1.73,15.996,>15.996,99.990,-0.162,0.307,V
2457172.02139,2015-05-29.5229464,ba,1.82,16.048,>16.048,99.990,0.325,0.292,V
2457174.06518,2015-05-31.5666119,bb,1.69,16.091,>16.091,99.990,-0.358,0.281,V
2457174.06678,2015-05-31.5682040,bb,1.63,16.103,>16.103,99.990,0.100,0.278,V
2457180.04210,2015-06-06.5431331,ba,2.06,15.922,>15.922,99.990,-0.077,0.328,V
2457180.04364,2015-06-06.5446740,ba,1.98,15.868,>15.868,99.990,0.064,0.345,V
2457180.07424,2015-06-06.5752652,bb,1.66,15.985,>15.985,99.990,0.075,0.310,V
2457180.07578,2015-06-06.5768105,bb,1.69,16.064,>16.064,99.990,0.250,0.288,V
2457184.09137,2015-06-10.5921347,ba,2.03,16.401,>16.401,99.990,0.029,0.211,V
2457184.09297,2015-06-10.5937340,ba,2.01,16.469,>16.469,99.990,-0.213,0.198,V
2457185.01142,2015-06-11.5121271,ba,2.04,16.579,>16.579,99.990,-0.242,0.179,V
2457185.01295,2015-06-11.5136567,ba,2.06,16.466,>16.466,99.990,0.688,0.199,V
2457185.10434,2015-06-11.6050422,bb,1.97,16.523,>16.523,99.990,-0.014,0.189,V
2457185.10587,2015-06-11.6065721,bb,1.70,16.315,>16.315,99.990,0.109,0.229,V
2457190.07641,2015-06-16.5767812,ba,1.76,16.684,>16.684,99.990,0.184,0.163,V
2457190.07796,2015-06-16.5783266,ba,1.75,16.862,>16.862,99.990,0.236,0.138,V
2457190.09140,2015-06-16.5917744,bb,1.65,16.631,>16.631,99.990,0.209,0.171,V
2457193.02003,2015-06-19.5201702,bb,1.74,16.587,>16.587,99.990,0.030,0.178,V
2457193.02152,2015-06-19.5216703,bb,1.73,16.606,>16.606,99.990,0.077,0.175,V
2457194.02661,2015-06-20.5266866,ba,1.74,16.674,>16.674,99.990,-0.031,0.164,V
2457194.02817,2015-06-20.5282493,ba,1.68,16.584,>16.584,99.990,-0.133,0.178,V
2457197.05935,2015-06-23.5592288,bb,2.09,16.412,>16.412,99.990,0.085,0.209,V
2457197.06089,2015-06-23.5607702,bb,2.09,16.640,>16.640,99.990,0.081,0.169,V
2457198.04313,2015-06-24.5429384,ba,2.10,16.817,>16.817,99.990,0.024,0.144,V
2457198.04464,2015-06-24.5444562,ba,2.11,16.680,>16.680,99.990,0.146,0.163,V
2457200.97054,2015-06-27.4701541,bb,1.69,15.973,>15.973,99.990,0.143,0.313,V
2457200.97204,2015-06-27.4716614,bb,1.73,16.129,>16.129,99.990,-0.149,0.271,V
2457201.93831,2015-06-28.4378627,ba,1.66,15.980,>15.980,99.990,-0.647,0.311,V
2457201.93983,2015-06-28.4393861,ba,1.64,15.933,>15.933,99.990,-0.000,0.325,V
2457201.95693,2015-06-28.4564780,ba,1.70,15.893,>15.893,99.990,-0.141,0.337,V
2457201.95846,2015-06-28.4580111,ba,1.64,15.921,>15.921,99.990,-0.098,0.328,V
2457202.10806,2015-06-28.6076046,ba,1.69,16.952,>16.952,99.990,-0.517,0.127,V
2457202.10962,2015-06-28.6091599,ba,1.69,16.777,>16.777,99.990,-0.198,0.149,V
2457202.93043,2015-06-29.4299145,ba,1.69,15.942,>15.942,99.990,0.384,0.322,V
2457202.93197,2015-06-29.4314593,ba,1.66,15.837,>15.837,99.990,-0.440,0.355,V
2457204.95790,2015-07-01.4572240,bb,1.64,15.787,>15.787,99.990,0.204,0.372,V
2457204.95946,2015-07-01.4587875,bb,1.67,15.556,>15.556,99.990,0.225,0.460,V
2457207.01575,2015-07-03.5149335,ba,1.69,15.563,>15.563,99.990,-0.097,0.457,V
2457207.01732,2015-07-03.5165071,ba,1.72,15.670,>15.670,99.990,-0.641,0.414,V
2457209.95637,2015-07-06.4553579,ba,1.70,15.964,>15.964,99.990,-0.064,0.316,V
2457209.95801,2015-07-06.4569967,ba,1.69,16.041,>16.041,99.990,0.759,0.294,V
2457210.06466,2015-07-06.5636390,bb,1.73,16.034,>16.034,99.990,0.408,0.296,V
2457210.06621,2015-07-06.5651847,bb,1.67,16.145,>16.145,99.990,-0.395,0.267,V
2457212.03816,2015-07-08.5370064,ba,1.65,16.333,>16.333,99.990,0.285,0.225,V
2457212.03969,2015-07-08.5385413,ba,1.58,16.605,>16.605,99.990,0.210,0.175,V
2457213.05783,2015-07-09.5566119,bb,1.73,16.385,>16.385,99.990,0.022,0.214,V
2457213.05934,2015-07-09.5581181,bb,1.66,16.655,>16.655,99.990,-0.199,0.167,V
2457217.89711,2015-07-14.3955741,ba,1.69,16.215,>16.215,99.990,0.419,0.250,V
2457217.89861,2015-07-14.3970778,ba,1.67,16.326,>16.326,99.990,0.214,0.226,V
2457217.93879,2015-07-14.4372535,bb,1.71,16.150,>16.150,99.990,0.254,0.266,V
2457217.94032,2015-07-14.4387856,bb,1.70,16.163,>16.163,99.990,-0.201,0.263,V
2457218.95030,2015-07-15.4487017,ba,1.73,16.684,>16.684,99.990,-0.101,0.163,V
2457218.95179,2015-07-15.4501915,ba,1.79,16.784,>16.784,99.990,-0.136,0.148,V
2457218.97900,2015-07-15.4773990,bb,1.70,16.919,>16.919,99.990,-0.053,0.131,V
2457218.98054,2015-07-15.4789333,bb,1.69,16.717,>16.717,99.990,0.451,0.158,V
2457223.04349,2015-07-19.5416363,ba,1.64,16.867,>16.867,99.990,-0.306,0.137,V
2457223.04504,2015-07-19.5431814,ba,1.68,17.052,>17.052,99.990,-0.125,0.116,V
2457227.86751,2015-07-24.3653656,ba,1.65,16.212,>16.212,99.990,-0.238,0.251,V
