###MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
57232.414945  19.069  1.575    86  135 o  0   1.43 337.90608  40.49536  7758.53  9272.36 3.71 3.47 -79.7 -0.487 17.50 18.04 02a57232o0212o
57232.426248  17.488  3.326   367 1222 o  0   1.43 337.90608  40.49536  7762.60  9275.23 3.80 3.39 -84.6 -0.486 15.65 15.59 02a57232o0225o
57232.449058   2.406  4.541 -33302351155 151237745095 o  0   1.53 337.90608  40.49536  9282.79  7786.08 3.88 3.24  89.4 -0.541 -3.89 -3.58 02a57232o0255o
57232.455179 -20.500 11.778   -23  270 o  0   1.27 337.90608  40.49536  9286.44  7786.26 3.89 3.28 -89.9 -0.487 17.38 18.27 02a57232o0263o
57300.320479 -20.132  0.867   -32   28 o  0   1.27 337.90608  40.49536  7773.59  9285.62 4.08 3.43 -78.2 -0.477 18.90 20.54 02a57300o0339o
57300.342115 -21.528  3.111    -9   28 o  0   1.00 337.90608  40.49536  2829.34  1334.92 4.38 3.34 -18.2 -0.546 19.00 20.73 02a57300o0405o
57300.353660 -22.058  4.167    -6   23 o  0   1.21 337.90608  40.49536  1312.87  2825.86 4.27 3.36 -35.1 -0.507 19.02 20.79 02a57300o0441o
57300.381427 -20.249  0.906   -29   26 o  0   0.93 337.90608  40.49536  1305.42  2829.30 4.23 3.39 -35.8 -0.503 18.87 20.70 02a57300o0525o
57302.318294 -18.401  0.159  -158   25 o  0   1.44 337.90608  40.49536  7787.69  9291.13 4.76 3.96 -76.2 -0.479 19.10 21.00 02a57302o0206o
57302.338156 -19.706  0.595   -48   28 o  0   1.20 337.90608  40.49536  2813.86  1332.93 4.96 3.53 -16.1 -0.533 19.16 20.98 02a57302o0236o
57302.352164 -19.470  0.500   -59   30 o  0   0.77 337.90608  40.49536  1300.42  2827.03 4.85 3.61 -33.5 -0.492 19.15 21.02 02a57302o0258o
57302.378281 -19.394  0.365   -63   23 o  0   0.96 337.90608  40.49536  1295.29  2830.28 4.73 3.56 -33.2 -0.485 19.13 20.93 02a57302o0297o
57315.304093 -18.852  0.648  -104   68 c  0   0.91 337.90608  40.49536  2810.14  1347.57 5.46 3.94 -17.4 -0.516 18.27 19.64 02a57315o0182c
57315.329958 -19.429  0.444   -61   27 c  0   1.64 337.90608  40.49536  2798.54  1349.28 5.62 4.00 -17.7 -0.504 18.97 20.68 02a57315o0220c
57316.308349 -19.310  0.431   -68   30 c  0   1.10 337.90608  40.49536  2797.17  1343.05 5.52 3.98 -16.7 -0.498 18.98 20.57 02a57316o0158c
57316.328580 -19.222  0.403   -74   30 c  0   1.24 337.90608  40.49536  2789.83  1343.84 5.59 4.05 -17.9 -0.483 18.98 20.57 02a57316o0188c
57316.354065 -19.770  0.625   -45   28 c  0   1.29 337.90608  40.49536  1276.41  2836.44 5.47 4.04 -28.9 -0.427 18.94 20.53 02a57316o0225c
57316.366535 -19.227  0.406   -74   30 c  0   1.17 337.90608  40.49536  1279.15  2840.52 5.59 4.13 -29.9 -0.412 18.90 20.52 02a57316o0243c
57320.316663 -18.734  0.532  -116   62 o  0   1.01 337.90608  40.49536  2855.01  1350.80 5.82 3.60 -13.5 -0.508 18.31 19.35 02a57320o0211o
57320.343131 -18.662  0.457  -125   57 o  0   1.53 337.90608  40.49536  2846.87  1350.26 6.07 3.87 -14.7 -0.491 18.28 19.35 02a57320o0252o
57320.367591 -18.425  0.367  -155   57 o  0   0.95 337.90608  40.49536  1334.59  2841.72 5.50 3.72 -29.9 -0.528 18.27 19.27 02a57320o0290o
57320.424543  20.344  2.250    26   60 o  0   1.19 337.90608  40.49536  1328.91  2844.83 5.51 3.76 -30.3 -0.524 18.15 19.05 02a57320o0326o
57324.286314 -19.036  0.615   -88   54 o  0   1.10 337.90608  40.49536  2897.77  1358.61 5.35 3.69 -15.9 -0.502 18.51 19.66 02a57324o0180o
57324.304249 -17.904  0.218  -250   55 o  0   1.08 337.90608  40.49536  2892.69  1360.55 5.84 4.05 -17.3 -0.535 18.44 19.64 02a57324o0207o
57324.331361 -18.055  0.227  -218   49 o  0   1.09 337.90608  40.49536  1377.28  2853.65 5.61 4.01 -33.1 -0.491 18.43 19.63 02a57324o0248o
57324.336490 -18.222  0.273  -187   51 o  0   1.29 337.90608  40.49536  1364.39  2850.58 5.83 4.24 -29.7 -0.454 18.40 19.62 02a57324o0256o
57328.288674 -17.957  0.240  -238   57 o  0   1.43 337.90608  40.49536  2920.01  1371.12 6.27 4.28 -20.1 -0.520 18.49 20.10 02a57328o0177o
57328.309540 -18.027  0.193  -224   43 o  0   1.90 337.90608  40.49536  2912.42  1371.20 6.27 4.40 -22.1 -0.509 18.72 20.39 02a57328o0210o
57328.330116 -18.080  0.163  -213   35 o  0   2.01 337.90608  40.49536  1402.68  2861.53 6.23 4.30 -35.2 -0.471 18.87 20.56 02a57328o0242o
57328.351949 -18.413  0.240  -157   38 o  0   1.83 337.90608  40.49536  1390.04  2862.64 6.15 4.33 -33.9 -0.465 18.82 20.46 02a57328o0276o
57364.237345 -19.519  0.442   -56   25 o  0   1.34 337.90608  40.49536  3322.04   887.67 4.71 3.55 -15.3 -0.532 19.16 20.79 02a57364o0107o
57364.244688 -20.166  0.829   -31   26 o  0   0.86 337.90608  40.49536  5198.86 10021.33 3.63 3.50 -86.2 -0.447 19.13 20.76 02a57364o0119o
57364.247787 -20.115  0.818   -33   27 o  0   1.01 337.90608  40.49536  3613.00  1475.14 4.46 3.58 -17.5 -0.516 19.11 20.71 02a57364o0124o
57364.260676 -19.161  0.414   -79   33 o  0   1.31 337.90608  40.49536  2708.32   317.26 5.07 3.58 -18.8 -0.521 19.08 20.64 02a57364o0145o
57364.273685 -22.379  7.250    -4   29 o  0   0.98 337.90608  40.49536  2414.96  2088.94 4.70 3.67 -27.2 -0.472 19.02 20.55 02a57364o0166o
57365.235521 -22.432  7.400    -4   29 o  0   0.86 337.90608  40.49536  5200.36 10019.05 3.67 3.51 -80.8 -0.452 19.05 20.58 02a57365o0105o
57365.237361 -20.253  1.259   -29   36 o  0   0.83 337.90608  40.49536  3326.88   887.99 4.53 3.51 -19.4 -0.530 19.01 20.53 02a57365o0108o
57365.248993 -19.800  0.674   -44   29 o  0   0.96 337.90608  40.49536  3615.88  1474.48 4.52 3.65 -18.6 -0.510 19.04 20.61 02a57365o0127o
57365.262470 -20.359  1.261   -26   33 o  0   1.16 337.90608  40.49536  2704.52   318.56 5.06 3.61 -19.6 -0.524 19.05 20.64 02a57365o0149o
57365.276326 -19.208  0.362   -75   27 o  0   1.38 337.90608  40.49536  2410.48  2089.04 4.91 3.87 -26.5 -0.449 19.03 20.68 02a57365o0171o
57377.220239 -21.086  2.923   -13   39 c  0   1.20 337.90608  40.49536  3310.28   895.62 4.92 3.83 -18.1 -0.499 18.59 19.64 02a57377o0057c
57377.234317 -19.476  0.672   -59   40 c  0   0.95 337.90608  40.49536  3603.52  1486.13 4.85 4.03 -17.6 -0.451 18.53 19.62 02a57377o0080c
57377.249092 -19.741  1.071   -46   49 c  0   0.94 337.90608  40.49536  2694.69   328.79 5.30 3.95 -19.5 -0.475 18.52 19.56 02a57377o0104c
57377.264883 -19.062  0.476   -86   41 c  0   1.10 337.90608  40.49536  2399.36  2102.99 4.96 3.99 -25.7 -0.432 18.45 19.48 02a57377o0130c
57384.242130  20.583  1.185    21   25 o  0   0.83 337.90608  40.49536  5073.99 10223.12 3.68 3.59  16.7 -0.428 19.10 20.76 02a57384o0066o
57384.246532 -19.245  0.394   -73   29 o  0   1.02 337.90608  40.49536  3201.90  1088.56 4.29 3.59 -26.9 -0.512 19.08 20.74 02a57384o0073o
57384.256437 -20.878  1.647   -16   27 o  0   1.13 337.90608  40.49536  3500.92  1668.45 4.18 3.62 -25.8 -0.501 19.09 20.76 02a57384o0089o
57384.268683 -20.684  1.706   -19   33 o  0   1.21 337.90608  40.49536  2596.91   506.03 4.82 3.66 -22.8 -0.520 18.83 20.30 02a57384o0106o
57384.282601 -19.116  0.412   -82   34 o  0   1.28 337.90608  40.49536  2304.50  2273.61 4.49 3.73 -32.0 -0.466 18.55 19.76 02a57384o0128o
57385.242049 -19.835  0.875   -42   37 o  0   0.67 337.90608  40.49536  3205.55  1090.01 4.18 3.54 -34.4 -0.476 18.97 20.50 02a57385o0106o
57385.246971  19.524  0.493    56   28 o  0   1.07 337.90608  40.49536  5074.05 10226.51 3.85 3.59 -75.4 -0.458 18.95 20.56 02a57385o0114o
57385.252543  19.222  0.429    74   32 o  0   0.87 337.90608  40.49536  3503.62  1670.10 4.06 3.48 -30.7 -0.517 18.98 20.48 02a57385o0123o
57385.262471 -19.430  0.630   -61   39 o  0   0.94 337.90608  40.49536  2600.81   507.86 4.65 3.51 -24.4 -0.481 18.92 20.41 02a57385o0139o
57385.274965 -20.764  1.824   -18   33 o  0   0.97 337.90608  40.49536  2307.70  2272.72 4.47 3.54 -36.1 -0.540 18.91 20.35 02a57385o0159o
57395.212035 -19.715  0.576   -47   27 c  0   1.30 337.90608  40.49536  3304.65   987.23 4.48 3.68 -19.6 -0.527 19.25 20.95 02a57395o0036c
57395.222942 -21.938  4.308    -6   26 c  0   0.74 337.90608  40.49536  3620.64  1575.88 4.38 3.73 -18.1 -0.484 19.34 21.13 02a57395o0052c
57395.232737 -23.400 14.000    -2   22 c  0   0.82 337.90608  40.49536  5205.62 10136.99 3.92 3.86  33.6 -0.411 19.34 21.20 02a57395o0068c
57395.234575 -19.138  0.270   -80   22 c  0   1.25 337.90608  40.49536  2743.19   421.01 5.01 3.86 -20.6 -0.481 19.31 21.16 02a57395o0071c
57395.249296 -20.157  0.625   -31   20 c  0   1.38 337.90608  40.49536  2480.55  2196.53 4.54 3.82 -28.2 -0.445 19.28 21.09 02a57395o0095c
57402.231549  21.888  4.133     6   26 c  0   1.16 337.90608  40.49536  5061.90 10219.38 3.99 3.90   6.4 -0.421 18.95 20.51 02a57402o0070c
57403.231673  20.936  2.105    15   32 c  0   1.08 337.90608  40.49536  5065.15 10218.76 3.83 3.73  71.6 -0.454 18.83 20.19 02a57403o0070c
57513.620110  21.565  4.389     9   38 c  0   0.86 337.90608  40.49536  5410.90   489.97 4.67 3.58  -0.6 -0.487 18.87 20.22 02a57513o0760c
57515.571687  20.065  3.000    34  103 c  0   1.01 337.90608  40.49536  7259.36  7652.40 3.89 3.45  87.8 -0.459 17.46 19.13 02a57515o0710c
57515.581572 -20.538  0.897   -22   20 c  0   0.90 337.90608  40.49536  7274.45  7692.56 3.87 3.51  85.6 -0.455 19.32 21.15 02a57515o0730c
57515.589841  20.845  1.273    17   21 c  0   0.76 337.90608  40.49536  7214.68  7615.95 3.82 3.35  87.6 -0.461 19.30 21.11 02a57515o0747c
