oid,expid,hjd,mjd,mag,magerr,catflags,filtercode,ra,dec,chi,sharp,filefracday,field,ccdid,qid,limitmag,magzp,magzprms,clrcoeff,clrcounc,exptime,airmass,programid
1771203300026115,54742445,2458301.9253894514,58301.424456000000,20.5393982,0.145442247,0,zr,337.90580060000000,40.495373300000000,0.49000001,-0.143999994,20180702424444,1771,3,3,20.5499992,26.1311722,0.0258036684,0.0831024125,1.17312811E-05,30.0,1.07299995,2
1771203300026115,54742490,2458301.9258408660,58301.424907400000,20.2056332,0.115025684,0,zr,337.90597490000000,40.495465400000000,0.41100001,0.052999999,20180702424896,1771,3,3,20.4599991,26.1314011,0.0226063076,0.0834025368,9.08801212E-06,30.0,1.07200003,2
1771203300026115,56549351,2458319.9956218647,58319.493518500000,20.4381237,0.136345416,0,zr,337.90591790000000,40.495446400000000,0.87300003,-0.321000010,20180720493102,1771,3,3,20.3400002,26.1834717,0.0217374843,0.0860942453,8.23556547E-06,30.0,1.04999995,2
1771203300026115,57236876,2458326.8712689680,58326.368761600000,20.4351368,0.136052117,0,zr,337.90591260000000,40.495476400000000,0.47499999,-0.071000002,20180727368762,1771,3,3,20.4699993,26.1665497,0.0208144505,0.0765805095,7.63752996E-06,30.0,1.05200005,2
1771203300026115,57638843,2458330.8911670404,58330.388437500000,20.6856117,0.156328559,0,zr,337.90586010000000,40.495350200000000,0.88800001,-0.078000002,20180731388426,1771,3,3,20.6000004,26.1489983,0.0189176742,0.0776583925,6.37425001E-06,30.0,1.02199996,2
1771203300026115,57638888,2458330.8916184525,58330.388888900000,20.8580322,0.169165969,0,zr,337.90612350000000,40.495394600000000,0.80699998,-0.189999998,20180731388889,1771,3,3,20.7199993,26.1514187,0.0226240736,0.0750411078,8.99740007E-06,30.0,1.02199996,2
1771203300026115,57837817,2458332.8810065784,58332.378171300000,20.5362358,0.145206809,0,zr,337.90592520000000,40.495325900000000,0.44200000,0.009000000,20180802378148,1771,3,3,20.9500008,26.1386890,0.0193801969,0.0743573904,6.86306657E-06,30.0,1.02499998,2
1771203300026115,57837862,2458332.8814579956,58332.378622700000,20.9691143,0.177436471,0,zr,337.90600530000000,40.495374400000000,0.84600002,-0.128000006,20180802378623,1771,3,3,20.9799995,26.1365681,0.0236060843,0.0731279403,1.01640444E-05,30.0,1.02499998,2
1771203300026115,57934697,2458333.8498648850,58333.346979200000,20.2821274,0.121703029,0,zr,337.90595030000000,40.495400200000000,0.64600003,-0.071000002,20180803346956,1771,3,3,20.8999996,26.1265736,0.0176240541,0.0744501129,5.63830463E-06,30.0,1.05599999,2
1771203300026115,57934743,2458333.8503163120,58333.347430600000,20.6847992,0.156268001,0,zr,337.90598780000000,40.495345200000000,0.52899998,-0.179000005,20180803347431,1771,3,3,21.0799999,26.1282578,0.0196897760,0.0715193674,7.08826246E-06,30.0,1.05499995,2
1771203300026115,58039946,2458334.9024072590,58334.399467600000,20.4144382,0.134033620,0,zr,337.90597110000000,40.495359700000000,1.07500005,-0.149000004,20180804399410,1771,3,3,21.2900009,26.1671677,0.0181234572,0.0778961554,5.74957721E-06,30.0,1.01600003,2
1771203300026115,58039991,2458334.9028586824,58334.399919000000,20.3241692,0.125513792,0,zr,337.90596740000000,40.495354700000000,0.52200001,0.072999999,20180804399919,1771,3,3,21.2700005,26.1689053,0.0187095068,0.0755381063,6.23930691E-06,30.0,1.01600003,2
1771203300026115,58237217,2458336.8752143640,58336.372175900000,20.6534710,0.153935552,0,zr,337.90590380000000,40.495395600000000,1.04600000,0.215000004,20180806372141,1771,3,3,21.4799995,26.2107601,0.0168065540,0.0759897083,5.05546723E-06,30.0,1.02199996,2
1771203300026115,59044699,2458344.9503994600,58344.446990700000,20.2912903,0.122524992,0,zr,337.90595740000000,40.495378100000000,0.61600000,0.055000000,20180814446979,1771,3,3,21.5799999,26.1295204,0.0202151127,0.0743397698,7.78084632E-06,30.0,1.08599997,2
1771203300026115,59931791,2458353.8216625988,58353.317916700000,21.0706367,0.184995174,0,zr,337.90603530000000,40.495412400000000,0.48899999,-0.103000000,20180823317894,1771,3,3,20.9899998,26.1796780,0.0199074876,0.0737152919,7.15732767E-06,30.0,1.02600002,2
1771203300026115,60028197,2458354.7857570183,58354.281979200000,19.9750557,0.096855372,0,zr,337.90594850000000,40.495393700000000,0.49100000,-0.063000001,20180824281956,1771,3,3,20.9099998,26.1657715,0.0244144499,0.0745740756,1.06732150E-05,30.0,1.06700003,2
1771203300026115,60130924,2458355.8130584974,58355.309247700000,20.5629044,0.147192478,0,zr,337.90593000000000,40.495347700000000,0.79900002,-0.204999998,20180825309225,1771,3,3,20.6599998,26.1904583,0.0212543122,0.0746430606,8.11576047E-06,30.0,1.02900004,2
1771203300026115,60333864,2458357.8425185020,58357.338645800000,20.1995621,0.114509888,0,zr,337.90595900000000,40.495317800000000,1.47300005,0.523000002,20180827338623,1771,3,3,20.4400005,26.2132111,0.0171421953,0.0774056315,5.26351778E-06,30.0,1.01499999,2
1771203300026115,60732155,2458361.8255323768,58361.321550900000,20.2419891,0.118158229,0,zr,337.90591710000000,40.495360500000000,0.55699998,0.048999999,20180831321551,1771,3,3,21.1399994,26.2005844,0.0174030233,0.0783281401,5.46965111E-06,30.0,1.01800001,2
1771203300026115,61432131,2458368.8254498024,58368.321319400000,20.5612316,0.147067904,0,zr,337.90593700000000,40.495355100000000,1.12300003,-0.052000001,20180907321273,1771,3,3,21.6299992,26.1758862,0.0171983149,0.0726661161,5.28864211E-06,30.0,1.01999998,2
1771203300026115,62426440,2458378.7686546645,58378.264409700000,20.6177864,0.151278615,0,zr,337.90593650000000,40.495371600000000,0.81999999,0.086999997,20180917264363,1771,3,3,21.3600006,26.1873665,0.0162943508,0.0778963864,4.80466997E-06,30.0,1.02100003,2
1771203300026115,62526729,2458379.7715417496,58379.267291700000,20.3667145,0.129471809,0,zr,337.90596150000000,40.495357000000000,0.67000002,0.032000002,20180918267292,1771,3,3,21.4400005,26.1943359,0.0228575356,0.0732819736,9.54313691E-06,30.0,1.01900005,2
1771203300026115,63128953,2458385.7937924205,58385.289537000000,17.1249657,0.016629715,0,zr,337.90595890000000,40.495385100000000,0.96499997,-0.009000000,20180924289421,1771,3,3,20.4899998,26.1671143,0.0201606378,0.0779085085,7.20918433E-06,30.0,1.02800000,2
1771203300026115,63228957,2458386.7938239350,58386.289571800000,17.7392960,0.021720367,0,zr,337.90595090000000,40.495366300000000,0.52200001,-0.003000000,20180925289479,1771,3,3,20.2700005,26.1568565,0.0191898532,0.0825123787,6.54963151E-06,30.0,1.02999997,2
1771203300026115,67126055,2458425.7637831983,58425.260555600000,20.2424183,0.118195653,0,zr,337.90601430000000,40.495343500000000,0.81500000,0.158000007,20181103260544,1771,3,3,20.6499996,25.8506508,0.0249731205,0.0681137666,1.08815539E-05,30.0,1.17799997,2
1771203300026115,68907054,2458443.5728026060,58443.070544000000,20.2871857,0.122156307,0,zr,337.90595080000000,40.495465200000000,0.54900002,-0.282000005,20181121070521,1771,3,3,20.5499992,26.1830425,0.0186752658,0.0679373518,6.03674243E-06,30.0,1.02800000,2
1771203300026115,91848346,2458672.9847831167,58672.483460600000,20.3102112,0.124237411,0,zr,337.90591500000000,40.495366500000000,1.06700003,0.152999997,20190708483461,1771,3,3,21.4500008,26.1206264,0.0177028365,0.0760029778,5.74062824E-06,30.0,1.01900005,2
1771203300026115,91848391,2458672.9852345410,58672.483912000000,20.2950802,0.122866459,0,zr,337.90598450000000,40.495392400000000,0.56300002,-0.037000000,20190708483912,1771,3,3,21.4400005,26.1174946,0.0176961832,0.0751095712,5.73695570E-06,30.0,1.01900005,3
1771203300026115,92839479,2458682.8967505260,58682.394791700000,20.6454544,0.153338671,0,zr,337.90595710000000,40.495346400000000,1.02300000,-0.232999995,20190718394780,1771,3,3,20.7900009,26.1237431,0.0185041837,0.0756271183,6.19897992E-06,30.0,1.05299997,2
1771203300026115,93143361,2458685.9357559590,58685.433611100000,20.2027817,0.114783131,0,zr,337.90596960000000,40.495337400000000,0.81000000,0.020000000,20190721433553,1771,3,3,21.0900002,26.1292801,0.0191202834,0.0767796561,6.57038390E-06,30.0,1.01900005,2
1771203300026115,93143406,2458685.9362073815,58685.434062500000,20.2080364,0.115230456,0,zr,337.90594300000000,40.495413600000000,0.56599998,-0.010000000,20190721434062,1771,3,3,21.1100006,26.1265335,0.0189172961,0.0723244920,6.44521651E-06,30.0,1.01900005,3
1771203300026115,94134607,2458695.8487901970,58695.346076400000,20.5349884,0.145113945,32768,zr,337.90591320000000,40.495340000000000,0.94300002,0.004000000,20190731346065,1771,3,3,21.2999992,25.9634285,0.0198862273,0.0740296096,7.09667756E-06,30.0,1.07400000,2
1771203300026115,94134652,2458695.8492416190,58695.346527800000,20.2797298,0.121488668,0,zr,337.90594010000000,40.495359600000000,0.63599998,-0.052999999,20190731346528,1771,3,3,21.3199997,25.9421711,0.0196861401,0.0749587715,6.93852235E-06,30.0,1.07299995,3
1771203300026115,94643628,2458700.9392641927,58700.436284700000,20.0261726,0.100635760,0,zr,337.90595110000000,40.495369600000000,0.69199997,-0.090999998,20190805436285,1771,3,3,21.6599998,26.0941868,0.0197928697,0.0754101202,6.97178393E-06,30.0,1.03600001,2
1771203300026115,94643673,2458700.9397156164,58700.436736100000,20.0961208,0.106034838,0,zr,337.90591030000000,40.495365200000000,0.84600002,-0.013000000,20190805436736,1771,3,3,21.6000004,26.1011658,0.0163107850,0.0758147240,4.81805728E-06,30.0,1.03699994,3
1771203300026115,95235013,2458706.8534009450,58706.350138900000,21.6815376,0.230479360,0,zr,337.90579270000000,40.495117100000000,0.52300000,-0.128000006,20190811350139,1771,3,3,21.2299995,26.1214314,0.0194440037,0.0721044615,6.79569348E-06,30.0,1.03100002,3
1771203300026115,95732903,2458711.8325156095,58711.329039400000,20.3081760,0.124052376,0,zr,337.90590110000000,40.495317800000000,0.76999998,-0.068000004,20190816329039,1771,3,3,20.4599991,26.1182346,0.0199174173,0.0801425278,7.18657293E-06,30.0,1.03799999,2
1771203300026115,95732949,2458711.8329669214,58711.329490700000,20.1762733,0.112550102,0,zr,337.90595840000000,40.495382700000000,0.94599998,-0.291000009,20190816329491,1771,3,3,20.4599991,26.1203671,0.0196248386,0.0820966363,6.98107260E-06,30.0,1.03699994,3
1771203300026115,95839002,2458712.8935419964,58712.390023100000,20.5759125,0.148160934,0,zr,337.90585960000000,40.495391800000000,0.65399998,-0.008000000,20190817390023,1771,3,3,20.6299992,26.1260147,0.0164312981,0.0745286122,4.90364846E-06,30.0,1.02600002,2
1771203300026115,95839047,2458712.8939934056,58712.390474500000,20.4032402,0.132951632,0,zr,337.90583440000000,40.495502800000000,0.47299999,0.094999999,20190817390475,1771,3,3,20.5599995,26.1273422,0.0158342030,0.0759659633,4.56151838E-06,30.0,1.02600002,3
1771203300026115,96140932,2458715.9129631924,58715.409328700000,20.5753155,0.148116469,0,zr,337.90593660000000,40.495371900000000,0.51700002,-0.167999998,20190820409294,1771,3,3,20.6499996,26.1148777,0.0167068690,0.0815836117,5.04308900E-06,30.0,1.05200005,2
1771203300026115,96240775,2458716.9114253633,58716.407754600000,20.5801315,0.148475051,0,zr,337.90601840000000,40.495366200000000,0.75999999,0.108999997,20190821407743,1771,3,3,21.1700001,26.1217728,0.0192296691,0.0734937191,6.63556921E-06,30.0,1.05400002,3
1771203300026115,96539248,2458719.8962616404,58719.392488400000,20.9007702,0.172347903,0,zr,337.90604370000000,40.495365500000000,0.47600001,0.216000006,20190824392477,1771,3,3,21.1200008,26.0642929,0.0156266559,0.0773871318,4.43496583E-06,30.0,1.04499996,2
1771203300026115,97231701,2458726.8209891160,58726.317013900000,20.3187523,0.125017181,0,zr,337.90591670000000,40.495313600000000,0.52999997,-0.056000002,20190831317014,1771,3,3,21.2900009,26.0923290,0.0194031596,0.0802851245,6.88115006E-06,30.0,1.01999998,2
1771203300026115,97231746,2458726.8214405216,58726.317465300000,20.2857418,0.122026719,0,zr,337.90594690000000,40.495395600000000,0.81300002,-0.112999998,20190831317465,1771,3,3,21.5900002,26.0982838,0.0193479266,0.0750388652,6.75051115E-06,30.0,1.01999998,3
1771203300026115,97426379,2458728.7678189287,58728.263796300000,20.4988441,0.142414659,0,zr,337.90588250000000,40.495299200000000,0.44999999,0.097000003,20190902263773,1771,3,3,21.2399998,26.0177479,0.0150204152,0.0758572295,4.06946265E-06,30.0,1.06099999,2
1771203300026115,97426425,2458728.7682819334,58728.264259300000,20.6786118,0.155807376,0,zr,337.90593870000000,40.495383000000000,1.04400003,0.048000000,20190902264248,1771,3,3,21.2999992,26.0144958,0.0155330813,0.0773006454,4.36920072E-06,30.0,1.06099999,3
1771203300026115,98536353,2458739.8677411815,58739.363530100000,20.1161766,0.107631870,0,zr,337.90604040000000,40.495411200000000,1.34500003,-0.386000007,20190913363507,1771,3,3,20.3299999,26.0897064,0.0189621784,0.0763628632,6.48842661E-06,30.0,1.08399999,2
1771203300026115,98536398,2458739.8681925903,58739.363981500000,19.8634415,0.089071944,0,zr,337.90597150000000,40.495335600000000,0.71100003,0.064000003,20190913363982,1771,3,3,20.4099998,26.0840130,0.0170463584,0.0787182152,5.23169092E-06,30.0,1.08500004,3
1771203300026115,98737061,2458741.8748433780,58741.370613400000,20.2236099,0.116565309,0,zr,337.90608850000000,40.495263500000000,0.52999997,-0.210999995,20190915370602,1771,3,3,20.3500004,26.0790215,0.0171401184,0.0725828856,5.24773350E-06,30.0,1.11099994,2
1771203300026115,98737106,2458741.8752947710,58741.371064800000,20.0765705,0.104499161,0,zr,337.90602400000000,40.495397700000000,0.14100000,-0.024000000,20190915371065,1771,3,3,20.3999996,26.0719585,0.0192724057,0.0764554143,6.79042478E-06,30.0,1.11199999,3
1771203300026115,99040718,2458744.9114370183,58744.407187500000,20.1376801,0.109368667,0,zr,337.90594650000000,40.495387900000000,0.45100001,-0.175999999,20190918407188,1771,3,3,20.2299995,26.0708370,0.0159737449,0.0835415125,4.62924481E-06,30.0,1.25699997,2
1771203300026115,99137188,2458745.8761400860,58745.371886600000,20.0697708,0.103969909,0,zr,337.90590710000000,40.495265100000000,0.93199998,0.326000005,20190919371794,1771,3,3,20.4200001,26.0949383,0.0152900638,0.0763712227,4.22573385E-06,30.0,1.14199996,2
1771203300026115,99137233,2458745.8765914750,58745.372338000000,20.1234913,0.108219825,0,zr,337.90580260000000,40.495409900000000,0.56699997,-0.009000000,20190919372338,1771,3,3,20.4200001,26.0946503,0.0152185503,0.0748310387,4.20954666E-06,30.0,1.14400005,3
1771203300026115,99434064,2458748.8449067753,58748.340648100000,20.1712551,0.112131730,0,zr,337.90600540000000,40.495348600000000,0.68500000,-0.097000003,20190922340637,1771,3,3,21.1299992,26.0864391,0.0148084424,0.0766782835,3.94247263E-06,30.0,1.08800006,2
1771203300026115,99434109,2458748.8453581748,58748.341099500000,20.1295452,0.108708620,0,zr,337.90593640000000,40.495320700000000,0.83800000,-0.170000002,20190922341100,1771,3,3,21.1299992,26.0757637,0.0178771801,0.0831370726,5.75680451E-06,30.0,1.08899999,3
1771203300026115,100532039,2458759.8245795930,58759.320393500000,17.3496284,0.018164940,0,zr,337.90593450000000,40.495368600000000,0.59500003,0.004000000,20191003320347,1771,3,3,21.0599995,26.0835609,0.0158556700,0.0793460757,4.43624913E-06,30.0,1.10899997,2
1771203300026115,100532084,2458759.8250309876,58759.320844900000,17.3307228,0.018022968,0,zr,337.90595690000000,40.495366500000000,1.14600003,0.016000001,20191003320845,1771,3,3,21.1900005,26.0836430,0.0156282410,0.0793778673,4.36106939E-06,30.0,1.11000001,3
