HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2456040.10974,2012-04-22.6086219,ba,2.12,99.990,99.990,99.990,99.990,99.990,V
2456040.11185,2012-04-22.6107331,ba,2.12,17.132,16.078,0.083,1.421,0.108,V
2456040.11369,2012-04-22.6125677,ba,2.12,17.003,16.170,0.102,1.307,0.121,V
2456040.11583,2012-04-22.6147072,ba,2.14,16.995,16.131,0.099,1.354,0.122,V
2456195.83003,2012-09-25.3294765,ba,1.67,16.166,>16.166,99.990,0.729,0.262,V
2456195.83192,2012-09-25.3313616,ba,1.75,16.149,>16.149,99.990,0.832,0.266,V
2456196.82567,2012-09-26.3251771,ba,1.72,16.083,>16.083,99.990,0.022,0.283,V
2456196.82753,2012-09-26.3270305,ba,1.70,15.985,>15.985,99.990,1.100,0.310,V
2456197.83771,2012-09-27.3372693,ba,1.64,15.796,>15.796,99.990,1.050,0.369,V
2456197.83952,2012-09-27.3390745,ba,1.60,15.790,>15.790,99.990,1.108,0.371,V
2456215.76307,2012-10-15.2636121,ba,2.36,17.209,17.065,0.193,0.572,0.100,V
2456215.76534,2012-10-15.2658857,ba,2.36,17.105,17.061,0.211,0.575,0.110,V
2456219.78602,2012-10-19.2867828,ba,2.50,17.148,16.302,0.101,1.157,0.107,V
2456593.70664,2013-10-28.2078642,bb,2.01,16.754,16.289,0.143,1.170,0.153,V
2456593.70803,2013-10-28.2092452,bb,1.98,16.703,16.551,0.191,0.919,0.160,V
2456595.70316,2013-10-30.2044789,bb,1.70,16.936,16.315,0.124,1.143,0.129,V
2456595.70452,2013-10-30.2058442,bb,1.71,16.800,16.421,0.155,1.037,0.146,V
2456597.70214,2013-11-01.2035574,bb,1.74,16.968,16.324,0.121,1.133,0.125,V
2456597.70351,2013-11-01.2049259,bb,1.62,16.791,16.484,0.165,0.978,0.147,V
2456601.69246,2013-11-05.1940800,bb,2.03,16.649,>16.649,99.990,0.655,0.168,V
2456601.69384,2013-11-05.1954594,bb,2.05,16.644,16.308,0.161,1.150,0.169,V
2456735.06090,2014-03-18.5613116,bb,1.70,16.078,>16.078,99.990,0.534,0.284,V
2456735.06220,2014-03-18.5626064,bb,1.69,16.111,>16.111,99.990,0.460,0.276,V
2456735.09083,2014-03-18.5912402,bb,1.69,16.311,>16.311,99.990,1.144,0.229,V
2456735.09213,2014-03-18.5925372,bb,1.71,16.404,>16.404,99.990,0.967,0.211,V
2456735.12002,2014-03-18.6204266,bb,1.76,16.400,16.338,0.208,1.118,0.211,V
2456735.12132,2014-03-18.6217262,bb,1.73,16.397,16.337,0.208,1.120,0.212,V
2456735.13915,2014-03-18.6395538,bb,1.71,16.464,16.351,0.198,1.105,0.199,V
2456735.14045,2014-03-18.6408589,bb,1.66,16.546,16.468,0.205,0.992,0.185,V
2456736.10601,2014-03-19.6063648,bb,1.66,16.491,>16.491,99.990,0.663,0.194,V
2456736.10734,2014-03-19.6076914,bb,1.74,16.373,>16.373,99.990,0.724,0.217,V
2456736.11930,2014-03-19.6196577,bb,1.66,16.403,>16.403,99.990,0.811,0.211,V
2456736.12064,2014-03-19.6209965,bb,1.70,16.536,16.511,0.214,0.954,0.186,V
2456736.13675,2014-03-19.6371008,bb,1.62,16.449,16.341,0.199,1.115,0.202,V
2456736.13807,2014-03-19.6384281,bb,1.65,16.406,16.206,0.183,1.263,0.210,V
2456737.02786,2014-03-20.5281653,bb,2.04,16.246,>16.246,99.990,0.912,0.244,V
2456737.02916,2014-03-20.5294662,bb,2.04,16.163,16.162,0.219,1.316,0.263,V
2456737.06413,2014-03-20.5644334,bb,2.06,16.355,>16.355,99.990,0.578,0.220,V
2456737.06543,2014-03-20.5657303,bb,2.06,16.357,>16.357,99.990,1.062,0.220,V
2456737.06673,2014-03-20.5670344,bb,2.04,16.447,>16.447,99.990,0.466,0.202,V
2456737.06803,2014-03-20.5683328,bb,2.06,16.412,>16.412,99.990,0.818,0.209,V
2456741.03120,2014-03-24.5312943,bb,2.34,16.603,16.209,0.153,1.260,0.175,V
2456741.03252,2014-03-24.5326060,bb,2.28,16.550,16.184,0.157,1.290,0.184,V
2456742.03786,2014-03-25.5378905,bb,1.67,16.804,16.538,0.172,0.931,0.146,V
2456742.03917,2014-03-25.5392023,bb,1.65,16.842,>16.842,99.990,0.295,0.141,V
2456756.01944,2014-04-08.5186969,bb,2.08,16.106,>16.106,99.990,0.321,0.277,V
2456756.02078,2014-04-08.5200375,bb,2.07,16.449,>16.449,99.990,0.804,0.202,V
2456757.00540,2014-04-09.5046060,bb,1.77,16.756,16.487,0.171,0.975,0.152,V
2456757.00672,2014-04-09.5059175,bb,1.68,16.785,>16.785,99.990,0.679,0.148,V
2456757.96960,2014-04-10.4687461,bb,1.79,16.180,16.161,0.216,1.317,0.259,V
2456757.97091,2014-04-10.4700667,bb,1.70,16.331,16.255,0.205,1.208,0.225,V
2456758.97965,2014-04-11.4787408,bb,2.05,16.351,>16.351,99.990,0.739,0.221,V
2456758.98094,2014-04-11.4800406,bb,2.07,16.390,>16.390,99.990,0.538,0.213,V
2456765.04365,2014-04-17.5424190,bb,2.33,16.258,15.980,0.170,1.555,0.241,V
2456765.04507,2014-04-17.5438391,bb,2.30,16.295,>16.295,99.990,1.021,0.233,V
2456767.04755,2014-04-19.5462113,bb,2.01,16.594,16.340,0.174,1.116,0.177,V
2456767.04886,2014-04-19.5475200,bb,2.01,16.519,16.333,0.185,1.124,0.189,V
2456768.05652,2014-04-20.5551296,bb,2.06,99.990,99.990,99.990,99.990,99.990,V
2456771.01327,2014-04-23.5117208,bb,2.18,16.637,>16.637,99.990,0.778,0.170,V
2456771.01463,2014-04-23.5130880,bb,2.21,16.562,16.511,0.210,0.954,0.182,V
2456778.05461,2014-04-30.5527056,bb,1.74,16.893,16.619,0.170,0.864,0.134,V
2456778.05594,2014-04-30.5540383,bb,1.69,16.904,16.481,0.149,0.981,0.133,V
2456782.00115,2014-05-04.4990570,bb,2.03,16.797,16.668,0.195,0.825,0.147,V
2456782.00251,2014-05-04.5004200,bb,2.06,16.704,16.092,0.125,1.403,0.160,V
2456784.00857,2014-05-06.5063824,bb,1.66,17.037,16.539,0.139,0.929,0.118,V
2456784.00997,2014-05-06.5077798,bb,1.69,17.193,16.544,0.121,0.925,0.102,V
2456784.99702,2014-05-07.4947814,bb,1.77,17.061,16.467,0.127,0.993,0.115,V
2456784.99836,2014-05-07.4961253,bb,1.74,17.248,16.506,0.111,0.958,0.097,V
2456786.00397,2014-05-08.5016964,bb,1.66,17.025,16.596,0.148,0.882,0.119,V
2456786.00639,2014-05-08.5041121,bb,1.67,17.039,16.515,0.135,0.950,0.117,V
2456787.00621,2014-05-09.5038839,bb,1.67,16.731,16.486,0.175,0.977,0.156,V
2456787.00755,2014-05-09.5052193,bb,1.68,16.647,>16.647,99.990,0.718,0.168,V
2456787.98942,2014-05-10.4870491,bb,1.66,16.754,>16.754,99.990,0.735,0.153,V
2456787.99075,2014-05-10.4883809,bb,1.70,16.616,>16.616,99.990,0.541,0.173,V
2456788.99251,2014-05-11.4900946,bb,2.16,16.499,>16.499,99.990,0.878,0.193,V
2456788.99384,2014-05-11.4914299,bb,2.16,16.501,16.240,0.173,1.225,0.193,V
2456794.98372,2014-05-17.4810600,bb,1.69,16.350,>16.350,99.990,0.910,0.221,V
2456794.98511,2014-05-17.4824422,bb,1.84,16.362,>16.362,99.990,0.521,0.219,V
2456796.02511,2014-05-18.5224121,bb,1.63,16.484,16.401,0.203,1.056,0.196,V
2456796.02646,2014-05-18.5237559,bb,1.70,16.718,>16.718,99.990,0.616,0.158,V
2456798.07928,2014-05-20.5764978,bb,1.77,16.889,16.289,0.127,1.169,0.135,V
2456798.08065,2014-05-20.5778748,bb,1.67,16.792,16.541,0.174,0.928,0.147,V
2456799.07246,2014-05-21.5696400,bb,1.72,16.920,16.432,0.140,1.026,0.131,V
2456799.07385,2014-05-21.5710307,bb,1.66,16.971,16.666,0.166,0.827,0.125,V
2456802.10746,2014-05-24.6045346,bb,2.01,17.067,16.582,0.140,0.894,0.114,V
2456802.11296,2014-05-24.6100328,bb,2.00,17.136,17.048,0.202,0.582,0.107,V
2456803.05959,2014-05-25.5566310,bb,1.63,17.016,16.586,0.148,0.890,0.120,V
2456803.06097,2014-05-25.5580083,bb,1.70,16.945,16.408,0.134,1.049,0.128,V
2456804.00320,2014-05-26.5002042,bb,1.68,17.037,16.465,0.130,0.996,0.118,V
2456804.00458,2014-05-26.5015913,bb,1.69,17.124,16.431,0.116,1.027,0.109,V
2456805.00035,2014-05-27.4973262,bb,1.99,17.369,16.567,0.105,0.906,0.087,V
2456805.00179,2014-05-27.4987645,bb,1.99,17.120,16.357,0.109,1.099,0.109,V
2456806.00175,2014-05-28.4986915,bb,2.08,17.117,16.427,0.116,1.031,0.109,V
2456806.00317,2014-05-28.5001114,bb,2.08,17.202,16.376,0.103,1.080,0.101,V
2456807.99250,2014-05-30.4893723,bb,2.10,17.069,16.226,0.101,1.241,0.114,V
2456807.99395,2014-05-30.4908256,bb,2.12,17.099,16.373,0.112,1.083,0.111,V
2456808.97627,2014-05-31.4731210,bb,2.08,16.064,>16.064,99.990,0.479,0.288,V
2456808.97764,2014-05-31.4744866,bb,2.04,16.175,16.080,0.201,1.418,0.260,V
2456809.98684,2014-06-01.4836596,bb,2.12,16.986,16.429,0.131,1.029,0.123,V
2456809.98819,2014-06-01.4850078,bb,2.07,17.106,16.335,0.108,1.122,0.110,V
2456810.95953,2014-06-02.4563173,bb,2.19,16.990,16.223,0.108,1.244,0.123,V
2456810.96092,2014-06-02.4577096,bb,2.20,17.080,16.194,0.097,1.277,0.113,V
2456811.96694,2014-06-03.4637023,bb,2.05,17.093,16.264,0.102,1.198,0.112,V
2456811.96831,2014-06-03.4650793,bb,2.03,17.085,16.355,0.112,1.101,0.113,V
2456812.96824,2014-06-04.4649694,bb,2.03,17.301,16.348,0.091,1.108,0.092,V
2456812.96957,2014-06-04.4662988,bb,2.00,17.165,16.344,0.103,1.113,0.104,V
2456813.96866,2014-06-05.4653652,bb,1.59,16.382,>16.382,99.990,1.021,0.215,V
2456813.97002,2014-06-05.4667271,bb,1.76,16.403,>16.403,99.990,0.488,0.211,V
2456814.91614,2014-06-06.4128266,bb,2.07,16.725,16.505,0.179,0.959,0.157,V
2456814.91756,2014-06-06.4142368,bb,2.05,16.561,16.360,0.182,1.097,0.182,V
2456815.95192,2014-06-07.4485815,bb,2.00,16.928,16.429,0.139,1.028,0.130,V
2456815.95331,2014-06-07.4499668,bb,2.01,16.898,16.241,0.120,1.223,0.134,V
2456816.84008,2014-06-08.3367260,bb,1.76,16.672,16.176,0.139,1.299,0.165,V
2456816.84148,2014-06-08.3381184,bb,1.77,16.573,>16.573,99.990,0.684,0.180,V
2456816.95080,2014-06-08.4474319,bb,2.02,16.859,16.355,0.138,1.102,0.138,V
2456816.95225,2014-06-08.4488878,bb,2.01,16.750,16.562,0.185,0.911,0.153,V
2456817.96119,2014-06-09.4577958,bb,2.03,16.574,16.248,0.163,1.215,0.180,V
2456817.96258,2014-06-09.4591893,bb,2.08,16.549,>16.549,99.990,0.873,0.184,V
2456818.94914,2014-06-10.4457325,bb,1.61,16.452,16.367,0.203,1.089,0.202,V
2456818.95054,2014-06-10.4471321,bb,1.73,16.628,16.459,0.188,1.000,0.171,V
2456819.94492,2014-06-11.4414910,bb,1.75,16.341,>16.341,99.990,0.972,0.223,V
2456819.94633,2014-06-11.4428974,bb,1.77,16.433,>16.433,99.990,0.843,0.205,V
2456820.94770,2014-06-12.4442458,bb,2.02,16.095,>16.095,99.990,0.804,0.280,V
2456820.94911,2014-06-12.4456596,bb,2.04,16.298,>16.298,99.990,0.814,0.232,V
2456821.96045,2014-06-13.4569789,bb,2.00,15.932,>15.932,99.990,1.302,0.325,V
2456821.96185,2014-06-13.4583825,bb,2.02,16.004,>16.004,99.990,0.883,0.304,V
2456822.95360,2014-06-14.4501057,bb,2.13,16.103,>16.103,99.990,1.049,0.278,V
2456822.95500,2014-06-14.4515115,bb,2.16,16.044,>16.044,99.990,0.772,0.293,V
2456823.96028,2014-06-15.4567783,bb,2.25,16.323,16.071,0.174,1.431,0.227,V
2456823.96216,2014-06-15.4586510,bb,2.11,16.374,16.218,0.190,1.250,0.217,V
2456824.95448,2014-06-16.4509504,bb,2.01,16.375,>16.375,99.990,0.997,0.216,V
2456824.95598,2014-06-16.4524527,bb,2.03,16.399,16.176,0.179,1.300,0.212,V
2456825.94957,2014-06-17.4460284,bb,1.95,15.727,>15.727,99.990,1.137,0.393,V
2456825.95099,2014-06-17.4474495,bb,2.08,16.159,>16.159,99.990,0.864,0.264,V
2456827.09189,2014-06-18.5883319,bb,2.33,16.740,16.243,0.139,1.221,0.155,V
2456827.94447,2014-06-19.4408972,bb,2.22,16.763,16.251,0.137,1.213,0.151,V
2456827.94589,2014-06-19.4423182,bb,2.18,16.838,16.195,0.121,1.276,0.141,V
2456828.11009,2014-06-19.6065210,bb,2.37,99.990,99.990,99.990,99.990,99.990,V
