oid,expid,hjd,mjd,mag,magerr,catflags,filtercode,ra,dec,chi,sharp,filefracday,field,ccdid,qid,limitmag,magzp,magzprms,clrcoeff,clrcounc,exptime,airmass,programid
683105100002960,45042829,2458204.9281400885,58204.428298600000,17.9811382,0.0254204702,0,zg,278.20091730000000,33.026468700000000,0.741999984,-0.0120000001,20180327428275,683,5,1,19.6900005,26.2018929,0.0280756969,-0.0941745043,1.66025675E-05,30.0,1.37800002,2
683105100002960,45044803,2458204.9478749908,58204.448032400000,18.0127087,0.0258740820,0,zg,278.20094420000000,33.026463400000000,1.305999994,0.2380000055,20180327448009,683,5,1,19.7299995,26.2216206,0.0286229849,-0.0793785155,1.72304408E-05,30.0,1.26400006,2
683105100002960,45047503,2458204.9748788043,58204.475034700000,18.0787373,0.0268668644,0,zg,278.20088110000000,33.026432100000000,0.824999988,0.0000000000,20180327475012,683,5,1,20.8700008,26.2541103,0.0184743889,-0.0838524103,7.26461894E-06,30.0,1.15199995,2
683105100002960,45048451,2458204.9843585347,58204.484513900000,18.0403442,0.0262822397,0,zg,278.20086410000000,33.026437700000000,0.902999997,-0.0179999992,20180327484491,683,5,1,20.8999996,26.2494793,0.0216011573,-0.0627001226,9.90794706E-06,30.0,1.12199998,2
683105100002960,45049124,2458204.9910950080,58204.491250000000,18.0587711,0.0265602358,0,zg,278.20088970000000,33.026450700000000,0.874000013,-0.0020000001,20180327491192,683,5,1,21.0300007,26.2540073,0.0195749458,-0.0617270507,8.23351093E-06,30.0,1.10300004,1
683105100002960,45051049,2458205.0103437793,58204.510497700000,18.0363464,0.0262225401,0,zg,278.20088660000000,33.026444700000000,1.342000008,-0.0410000011,20180327510474,683,5,1,21.1000004,26.2604542,0.0192741193,-0.0582703799,7.90043578E-06,30.0,1.05900002,2
683105100002960,45052575,2458205.0255992270,58204.525752300000,18.0124397,0.0258701723,0,zg,278.20088100000000,33.026438800000000,0.583999991,-0.0109999999,20180327525729,683,5,1,20.9400005,26.2644920,0.0177318212,-0.0532946885,6.48762625E-06,30.0,1.03299999,2
683105100002960,45052670,2458205.0265483796,58204.526701400000,18.0177040,0.0259470977,0,zg,278.20088060000000,33.026436900000000,0.684000015,-0.0450000018,20180327526678,683,5,1,20.9099998,26.2637882,0.0197034404,-0.0519006364,8.14567920E-06,30.0,1.03199995,1
683105100002960,45144508,2458205.9449785800,58205.445081000000,18.0221863,0.0260128900,0,zg,278.20088250000000,33.026422700000000,0.374000013,-0.0219999999,20180328445058,683,5,1,19.9699993,26.1213875,0.0264503546,-0.0538801253,1.45324248E-05,30.0,1.26499999,2
683105100002960,45146682,2458205.9667274957,58205.466828700000,17.9987144,0.0256713666,0,zg,278.20089240000000,33.026442200000000,0.671999991,0.0189999994,20180328466806,683,5,1,20.4799995,26.2007694,0.0212963857,-0.0485585630,9.22909840E-06,30.0,1.17100000,2
683105100002960,45149268,2458205.9925854364,58205.492685200000,17.9719696,0.0252912156,0,zg,278.20093200000000,33.026429900000000,1.623999953,-0.0359999985,20180328492662,683,5,1,20.2800007,26.2288704,0.0284509305,-0.0474809557,1.65779747E-05,30.0,1.09200001,2
683105100002960,45151502,2458206.0149245830,58205.515023100000,18.0460453,0.0263677407,0,zg,278.20090190000000,33.026449000000000,0.940999985,-0.0280000009,20180328515000,683,5,1,21.2199993,26.2263756,0.0181899052,-0.0463556983,6.66211781E-06,30.0,1.04600000,2
683105100002960,45242504,2458206.9249979835,58206.425046300000,17.9877663,0.0255146027,0,zg,278.20087200000000,33.026452600000000,0.501999974,-0.0199999996,20180329425023,683,5,1,19.9599991,26.2239666,0.0237856936,-0.0761177242,1.16060828E-05,30.0,1.36399996,2
683105100002960,45244452,2458206.9444782767,58206.444525500000,17.9866028,0.0254980344,0,zg,278.20087080000000,33.026474000000000,0.672999978,-0.0419999994,20180329444502,683,5,1,20.3099995,26.2457294,0.0200285669,-0.0621730238,8.27387703E-06,30.0,1.25399995,2
683105100002960,45246716,2458206.9671184425,58206.467164400000,17.9311180,0.0247285590,0,zg,278.20089990000000,33.026441400000000,0.619000018,-0.0329999998,20180329467141,683,5,1,20.4500008,26.2579021,0.0199272297,-0.0512257554,8.06737717E-06,30.0,1.15999997,2
683105100002960,45249391,2458206.9938675384,58206.493912000000,17.9552689,0.0250585880,0,zg,278.20088630000000,33.026463500000000,1.149999976,-0.0989999995,20180329493889,683,5,1,20.5699997,26.1681519,0.0216531176,-0.0404261015,9.51113543E-06,30.0,1.08200002,2
683105100002960,45251526,2458207.0152229290,58206.515266200000,17.9771061,0.0253634956,0,zg,278.20088450000000,33.026460200000000,0.945999980,-0.0909999982,20180329515243,683,5,1,20.6100006,26.1251431,0.0197474509,-0.0389934964,8.04514093E-06,30.0,1.04100001,2
