oid,expid,hjd,mjd,mag,magerr,catflags,filtercode,ra,dec,chi,sharp,filefracday,field,ccdid,qid,limitmag,magzp,magzprms,clrcoeff,clrcounc,exptime,airmass,programid
683305100004919,47450407,2458229.0052332683,58228.504074100000,16.4896049,0.0152721871,0,zi,278.20089370000000,33.026492000000000,1.176,-0.0500000007,20180420504028,683,5,1,20.1599998,25.6676064,0.0177663062,0.206953242,2.73075457E-05,30.0,1.0,2
683305100004919,48848312,2458242.9849869944,58242.483125000000,16.4769020,0.0152081642,0,zi,278.20089330000000,33.026448400000000,1.227,-0.0419999994,20180504483079,683,5,1,20.4200001,25.6689014,0.0134665444,0.193394661,1.51374043E-05,30.0,1.002,2
683305100004919,49227868,2458246.7807185540,58246.278680600000,16.8496971,0.0175137967,0,zi,278.20087930000000,33.026462900000000,0.772,-0.0080000004,20180508278669,683,5,1,19.9500008,25.6116962,0.0184498373,0.186835483,2.85200585E-05,30.0,1.682,2
683305100004919,50727883,2458261.7814828680,58261.278831000000,16.4522400,0.0150864637,0,zi,278.20088560000000,33.026434400000000,0.629,0.0020000001,20180523278808,683,5,1,20.2099991,25.5802402,0.0171351843,0.192970231,2.54117112E-05,30.0,1.339,2
683305100004919,51326824,2458267.7710951394,58267.268240700000,16.4975548,0.0153127257,0,zi,278.20088780000000,33.026460500000000,1.030,-0.0390000008,20180529268241,683,5,1,19.8199997,25.6195545,0.0171607304,0.194159433,2.59132557E-05,30.0,1.306,2
683305100004919,52036076,2458274.8638229975,58274.360763900000,16.4736137,0.0151917422,0,zi,278.20092920000000,33.026460300000000,0.693,-0.0140000004,20180605360556,683,5,1,20.5699997,25.6546135,0.0213801954,0.193166956,4.14152673E-05,30.0,1.007,2
683305100004919,52638634,2458280.8895434550,58280.386342600000,16.4999962,0.0153252454,0,zi,278.20091710000000,33.026479900000000,0.571,-0.0130000003,20180611386157,683,5,1,20.6599998,25.6439972,0.0206301399,0.196568936,3.60527301E-05,30.0,1.005,2
683305100004919,53147086,2458285.9741643434,58285.470868100000,16.4706001,0.0151767433,0,zi,278.20090010000000,33.026450200000000,1.014,-0.0710000023,20180616470856,683,5,1,20.6599998,25.6326008,0.0162889957,0.202590689,2.21286300E-05,30.0,1.225,2
683305100004919,54034238,2458294.8457920235,58294.342384300000,16.4725113,0.0151862465,0,zi,278.20088110000000,33.026446700000000,0.595,-0.0260000005,20180625342361,683,5,1,20.3299999,25.6565113,0.0174093619,0.191854462,2.66266616E-05,30.0,1.003,2
683305100004919,54532311,2458299.8265524880,58299.323113400000,16.4547958,0.0150989182,0,zi,278.20089980000000,33.026478000000000,0.876,0.0070000002,20180630323079,683,5,1,20.0300007,25.6127968,0.0177781247,0.196640894,2.82061083E-05,30.0,1.001,2
683305100004919,55342501,2458307.9284531036,58307.425011600000,16.4554634,0.0151021779,0,zi,278.20088450000000,33.026469000000000,2.293,-0.0560000017,20180708424988,683,5,1,20.5900002,25.5294628,0.0167315230,0.188625619,2.33352257E-05,30.0,1.296,2
683305100004919,55817890,2458312.6823152816,58312.178900500000,16.5242062,0.0154512953,0,zi,278.20086880000000,33.026427400000000,1.053,-0.0740000010,20180713178889,683,5,1,20.2900009,25.5172062,0.0214887764,0.198484376,3.80231722E-05,30.0,1.157,2
683305100004919,56249089,2458316.9942636895,58316.490891200000,16.5057392,0.0153548401,0,zi,278.20088240000000,33.026434000000000,1.153,-0.0070000002,20180717490880,683,5,1,19.9799995,25.3947392,0.0173833165,0.209711120,2.54218721E-05,30.0,2.39,2
683305100004919,56623675,2458320.7400816265,58320.236759300000,16.5026970,0.0153391408,0,zi,278.20090600000000,33.026480300000000,1.791,-0.0839999989,20180721236748,683,5,1,20.2800007,25.6066971,0.0236337055,0.196133539,4.77564972E-05,30.0,1.006,2
