oid,expid,hjd,mjd,mag,magerr,catflags,filtercode,ra,dec,chi,sharp,filefracday,field,ccdid,qid,limitmag,magzp,magzprms,clrcoeff,clrcounc,exptime,airmass,programid
684208200004773,46238820,2458216.8887088570,58216.388206000000,16.9304047,0.0161924548,0,zr,278.20088460000000,33.026476600000000,1.06200004,-0.0489999987,20180408388183,684,8,2,20.3899994,26.1255093,0.0171051677,0.0883055627,5.90596483E-06,30.0,1.61800003,2
684208200004773,46250413,2458217.0046412232,58216.504131900000,16.9079475,0.0160818249,0,zr,278.20086930000000,33.026542600000000,0.82800001,-0.0049999999,20180408504120,684,8,2,20.0200005,26.2423534,0.0205414500,0.0892743170,8.45616705E-06,30.0,1.04999995,2
684208200004773,46250508,2458217.0055903755,58216.505081000000,16.9219761,0.0161506366,0,zr,278.20087040000000,33.026551800000000,1.13300002,0.0379999988,20180408505058,684,8,2,20.1299992,26.2460899,0.0206112601,0.0923320502,8.34152343E-06,30.0,1.04799998,1
684208200004773,46442149,2458218.9221078707,58218.421493100000,16.9424171,0.0162526891,0,zr,278.20088430000000,33.026440000000000,0.64600003,-0.0130000003,20180410421482,684,8,2,20.9500008,26.1936626,0.0163890645,0.0838656500,5.33045295E-06,30.0,1.31799996,2
684208200004773,46549103,2458219.9917035620,58219.491030100000,16.9320526,0.0162006710,0,zr,278.20088030000000,33.026486300000000,1.62800002,-0.1099999994,20180411490984,684,8,2,20.4799995,26.1918449,0.0170021169,0.0874603316,5.79782954E-06,30.0,1.05900002,1
684208200004773,46550934,2458220.0100147696,58219.509340300000,16.9241714,0.0161614902,32768,zr,278.20088210000000,33.026485200000000,1.19799995,-0.0700000003,20180411509167,684,8,2,20.4200001,26.1097145,0.0254404191,0.0822080448,1.30915041E-05,30.0,1.02999997,1
684208200004773,46840568,2458222.9065152565,58222.405682900000,16.9210129,0.0161458794,0,zr,278.20089000000000,33.026441900000000,0.67299998,-0.0060000001,20180414405625,684,8,2,20.3199997,26.2037392,0.0188596826,0.0846878886,7.19586797E-06,30.0,1.34700000,2
684208200004773,46842651,2458222.9273497015,58222.426516200000,16.9383774,0.0162323471,0,zr,278.20090210000000,33.026451000000000,0.66600001,0.0099999998,20180414426470,684,8,2,20.7399998,26.2165833,0.0159395300,0.0817572325,5.11288999E-06,30.0,1.23599994,2
684208200004773,46844502,2458222.9458576200,58222.445023100000,16.9650383,0.0163681377,0,zr,278.20087440000000,33.026451600000000,0.85500002,-0.0540000014,20180414444965,684,8,2,21.0400009,26.2127647,0.0164628066,0.0833027214,5.38618042E-06,30.0,1.16100001,2
684208200004773,46846516,2458222.9659976223,58222.465162000000,16.9528923,0.0163058154,0,zr,278.20087980000000,33.026459900000000,0.43399999,-0.0130000003,20180414465116,684,8,2,20.9799995,26.2280750,0.0164017659,0.0825395510,5.43144597E-06,30.0,1.09899998,2
684208200004773,46846799,2458222.9688334777,58222.467997700000,16.9689293,0.0163882673,0,zr,278.20088020000000,33.026454000000000,0.48100001,0.0099999998,20180414467975,684,8,2,20.9799995,26.2271595,0.0155350063,0.0838907063,4.76026707E-06,30.0,1.09200001,1
684208200004773,46849452,2458222.9953627284,58222.494525500000,16.9367752,0.0162243061,0,zr,278.20085690000000,33.026463900000000,0.34200001,-0.0020000001,20180414494479,684,8,2,20.4200001,26.2424202,0.0184527040,0.0863065049,6.89610170E-06,30.0,1.03900003,2
684208200004773,46849642,2458222.9972609310,58222.496423600000,16.9635086,0.0163602494,0,zr,278.20086410000000,33.026463400000000,1.32799995,0.0199999996,20180414496400,684,8,2,20.8999996,26.2321987,0.0157457944,0.0880645961,4.96272833E-06,30.0,1.03600001,1
684208200004773,47241252,2458226.9135712090,58226.412523100000,16.9284706,0.0161828287,0,zr,278.20087150000000,33.026440900000000,0.81599998,-0.0329999998,20180418412512,684,8,2,20.8600006,26.2207375,0.0147113074,0.0826199949,4.34088906E-06,30.0,1.25000000,2
684208200004773,47244401,2458226.9450660087,58226.444016200000,16.9417477,0.0162493065,0,zr,278.20087340000000,33.026454600000000,0.28999999,-0.0089999996,20180418443993,684,8,2,21.1100006,26.2205944,0.0160587858,0.0817200318,5.08456242E-06,30.0,1.12800002,2
