oid,expid,hjd,mjd,mag,magerr,catflags,filtercode,ra,dec,chi,sharp,filefracday,field,ccdid,qid,limitmag,magzp,magzprms,clrcoeff,clrcounc,exptime,airmass,programid
1842102100005068,61143766,2458365.937912717,58365.437662000000,18.1512108,0.0353937186,0,zg,56.570694500000000,63.461975600000000,1.37800002,-0.0140000004,20180904437650,1842,2,1,21.1499996,26.3345833,0.0186354369,-0.0918162689,5.37676306E-06,30.0,1.25199997,2
1842102100005068,63034615,2458384.847758344,58384.346157400000,18.6920357,0.0479032025,0,zg,56.570779500000000,63.461921300000000,1.24399996,-0.0399999991,20180923346134,1842,2,1,20.3899994,26.2211857,0.0223934166,-0.0658512115,7.57626594E-06,30.0,1.33800006,2
1842102100005068,63143148,2458385.933156743,58385.431481500000,18.0620461,0.0338412859,0,zg,56.570709200000000,63.461913900000000,0.65700001,-0.0089999996,20180924431458,1842,2,1,20.3500004,26.3431377,0.0212487150,-0.0911500528,6.87945885E-06,30.0,1.19500005,2
1842102100005068,63439312,2458388.895000201,58388.393125000000,17.9668922,0.0323170796,0,zg,56.570751400000000,63.461901700000000,0.83800000,0.0280000009,20180927393113,1842,2,1,20.3799992,26.3617172,0.0222801045,-0.1000804454,7.53713493E-06,30.0,1.22500002,2
1842102100005068,63541131,2458389.913262374,58389.411319400000,18.0257759,0.0332446694,0,zg,56.570733900000000,63.461909300000000,0.51099998,0.0109999999,20180928411296,1842,2,1,20.6599998,26.3367443,0.0199378580,-0.0854242742,6.10063989E-06,30.0,1.20200002,2
1842102100005068,63638934,2458390.891347864,58390.389340300000,18.0057201,0.0329231210,32768,zg,56.570676000000000,63.461917200000000,0.52200001,0.0049999999,20180929389329,1842,2,1,20.3500004,26.3816872,0.0235980041,-0.1336669922,8.61208446E-06,30.0,1.22200000,2
1842102100005068,67331194,2458427.815860271,58427.311944400000,18.0227375,0.0331955738,32768,zg,56.570664100000000,63.461962500000000,0.53700000,0.0909999982,20181105311933,1842,2,1,19.2900009,25.6697273,0.0490939431,-0.0286662299,3.69745685E-05,30.0,1.18599999,2
1842102100005068,67632930,2458430.833318501,58430.329305600000,18.0018539,0.0328618065,32768,zg,56.570708100000000,63.461926600000000,1.42600000,0.0379999988,20181108329259,1842,2,1,21.5400009,26.3871918,0.0173647050,-0.1229946092,4.62534308E-06,30.0,1.17299998,2
1842102100005068,68222356,2458436.727736149,58436.223564800000,17.9638748,0.0322708823,0,zg,56.570793200000000,63.461936500000000,0.89999998,0.0070000002,20181114223553,1842,2,1,20.4699993,26.3197441,0.0240948722,-0.0657850951,8.87922852E-06,30.0,1.27999997,2
1842102100005068,68553506,2458440.039311170,58439.535069400000,18.1048985,0.0345718525,32768,zg,56.570631600000000,63.461975500000000,0.84299999,0.0120000001,20181117535069,1842,2,1,20.6000004,26.1599045,0.0238223020,-0.1492493451,8.75388287E-06,30.0,1.74699998,2
1842102100005068,68923741,2458443.741723444,58443.237419000000,17.9709511,0.0323794335,0,zg,56.570729800000000,63.461924300000000,0.50500000,-0.0480000004,20181121237338,1842,2,1,20.3600006,26.3228226,0.0238875691,-0.0803026110,8.62861907E-06,30.0,1.22000003,2
1842102100005068,71822071,2458472.724903449,58472.220717600000,18.0347919,0.0333911441,0,zg,56.570672500000000,63.461932800000000,0.95899999,0.0640000030,20181220220718,1842,2,1,20.1100006,26.3808079,0.0249885414,-0.1036824510,9.45004558E-06,30.0,1.17100000,2
1842102100005068,72915156,2458483.655427823,58483.151562500000,17.9914684,0.0326981731,0,zg,56.570749600000000,63.461917000000000,0.99100000,0.0099999998,20181231151528,1842,2,1,21.0699997,26.3371716,0.0191716459,-0.0920221880,5.74272599E-06,30.0,1.19200003,2
1842102100005068,73824820,2458492.751699378,58492.248206000000,17.8684692,0.0308743231,32768,zg,56.570506900000000,63.462032100000000,0.98500001,-0.0089999996,20190109248206,1842,2,1,18.1200008,23.8180008,0.0552033931,-0.1379326731,1.51399363E-04,30.0,1.23800004,2
1842102100005068,75120671,2458505.709532045,58505.206713000000,18.0187988,0.0331321359,0,zg,56.570671800000000,63.461906700000000,0.70200002,-0.0299999993,20190122206713,1842,2,1,19.5599995,26.3328171,0.0337525569,-0.0924149603,1.73788485E-05,30.0,1.23000002,2
1842102100005068,98048620,2458734.986730579,58734.486203700000,18.0122681,0.0330274552,0,zg,56.570753400000000,63.461936800000000,1.29400003,-0.0049999999,20190908486157,1842,2,1,20.9699993,26.2565536,0.0201916303,-0.0871476680,6.36640152E-06,30.0,1.19099998,2
1842102100005068,98048665,2458734.987182014,58734.486655100000,17.9726868,0.0324061699,0,zg,56.570721200000000,63.461919600000000,1.51100004,-0.0020000001,20190908486655,1842,2,1,20.8099995,26.2637539,0.0211814977,-0.0962411910,7.01420959E-06,30.0,1.19099998,3
1842102100005068,98348486,2458737.985605157,58737.484861100000,18.0044746,0.0329033360,0,zg,56.570734600000000,63.461925100000000,1.77600002,0.0520000011,20190911484525,1842,2,1,21.6700001,26.2308998,0.0188414827,-0.0672198609,5.46366891E-06,30.0,1.18799996,2
1842102100005068,98348531,2458737.986056591,58737.485312500000,18.0187836,0.0331318863,0,zg,56.570724900000000,63.461915400000000,1.14600003,0.0060000001,20190911485312,1842,2,1,21.7299995,26.2292385,0.0184911992,-0.0702964291,5.24047209E-06,30.0,1.18799996,3
1842102100005068,99243258,2458746.933962009,58746.432581000000,17.9451904,0.0319876187,0,zg,56.570763500000000,63.461941200000000,0.73900002,0.0439999998,20190920432581,1842,2,1,20.7000008,26.2052135,0.0203911494,-0.0508133993,6.31781768E-06,30.0,1.20500004,2
1842102100005068,99243303,2458746.934413443,58746.433032400000,18.0092850,0.0329798386,0,zg,56.570715600000000,63.461912000000000,1.01400006,0.0240000002,20190920433032,1842,2,1,20.6599998,26.2296085,0.0195776466,-0.0712833703,5.81643235E-06,30.0,1.20400000,3
1842102100005068,99544487,2458749.946462626,58749.444872700000,17.9976845,0.0327959210,0,zg,56.570715700000000,63.461938400000000,1.25300002,-0.0120000001,20190923444873,1842,2,1,21.0400009,26.1948853,0.0185579825,-0.0634853020,5.27681050E-06,30.0,1.19099998,2
