HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2457069.16830,2015-02-15.6711853,bb,2.02,15.002,11.975,0.014,62.262,0.832,V
2457069.16970,2015-02-15.6725862,bb,2.05,99.990,99.990,99.990,99.990,99.990,V
2457078.16449,2015-02-24.6671923,bb,2.01,15.169,12.011,0.014,60.163,0.745,V
2457078.16592,2015-02-24.6686172,bb,2.03,15.030,12.030,0.015,59.160,0.802,V
2457079.16380,2015-02-25.6664628,bb,2.02,15.353,12.135,0.013,53.697,0.637,V
2457079.16555,2015-02-25.6682158,bb,2.08,15.011,12.106,0.017,55.123,0.862,V
2457080.16674,2015-02-26.6694071,bb,2.08,14.880,12.019,0.017,59.737,0.920,V
2457080.16822,2015-02-26.6708946,bb,2.21,14.727,12.133,0.021,53.809,1.041,V
2457081.14775,2015-02-27.6504020,bb,2.01,15.643,12.128,0.011,54.033,0.532,V
2457081.14915,2015-02-27.6517946,bb,2.02,15.655,12.162,0.011,52.354,0.513,V
2457083.15123,2015-03-01.6538195,bb,2.05,15.629,12.278,0.012,47.083,0.501,V
2457083.15272,2015-03-01.6553163,bb,2.05,15.640,12.233,0.012,49.063,0.538,V
2457084.13963,2015-03-02.6421949,bb,2.20,15.577,12.077,0.011,56.670,0.562,V
2457084.14107,2015-03-02.6436359,bb,2.16,15.569,12.046,0.010,58.319,0.577,V
2457103.11132,2015-03-21.6135900,bb,1.97,15.598,11.945,0.010,63.945,0.559,V
2457103.11289,2015-03-21.6151626,bb,1.97,15.574,11.968,0.010,62.643,0.554,V
2457104.12796,2015-03-22.6301869,bb,1.99,15.519,11.966,0.010,62.714,0.585,V
2457104.12955,2015-03-22.6317799,bb,1.98,15.560,11.941,0.010,64.192,0.578,V
2457107.12534,2015-03-25.6274314,bb,1.68,15.569,11.949,0.010,63.773,0.575,V
2457107.12694,2015-03-25.6290346,bb,1.96,15.576,11.957,0.010,63.293,0.565,V
2457109.12015,2015-03-27.6221447,bb,2.00,15.542,11.939,0.010,64.315,0.584,V
2457109.12178,2015-03-27.6237740,bb,2.02,15.562,11.981,0.009,61.893,0.496,V
2457110.10667,2015-03-28.6086177,bb,1.98,15.560,11.933,0.010,64.653,0.579,V
2457110.10825,2015-03-28.6101950,bb,1.97,15.574,11.977,0.010,62.093,0.571,V
2457111.10409,2015-03-29.6059922,bb,2.00,15.620,11.939,0.009,64.317,0.569,V
2457111.10562,2015-03-29.6075239,bb,2.00,15.596,11.961,0.010,63.025,0.550,V
2457114.11118,2015-04-01.6129305,bb,2.15,15.550,11.948,0.010,63.839,0.597,V
2457114.11275,2015-04-01.6144950,bb,2.19,15.616,11.966,0.010,62.736,0.566,V
2457115.09867,2015-04-02.6003565,bb,2.14,15.402,12.006,0.012,60.460,0.628,V
2457115.10020,2015-04-02.6018835,bb,2.13,15.381,11.938,0.011,64.390,0.651,V
2457117.09112,2015-04-04.5927136,bb,2.28,99.990,99.990,99.990,99.990,99.990,V
2457133.05012,2015-04-20.5508302,bb,1.99,15.583,11.950,0.010,63.668,0.577,V
2457133.05164,2015-04-20.5523502,bb,1.99,15.535,11.923,0.010,65.244,0.609,V
2457136.07447,2015-04-23.5750108,bb,1.97,15.599,11.958,0.010,63.251,0.569,V
2457136.07605,2015-04-23.5765908,bb,1.99,15.613,11.977,0.010,62.109,0.530,V
2457137.04135,2015-04-24.5418230,bb,1.97,15.624,11.959,0.009,63.151,0.527,V
2457137.04295,2015-04-24.5434240,bb,1.66,15.565,11.935,0.010,64.588,0.565,V
2457138.03204,2015-04-25.5324554,bb,2.09,15.570,11.930,0.010,64.843,0.576,V
2457138.03358,2015-04-25.5340024,bb,2.11,15.567,11.935,0.010,64.532,0.574,V
2457148.07605,2015-05-05.5758674,bb,2.01,15.370,11.946,0.011,63.927,0.666,V
2457148.07757,2015-05-05.5773847,bb,2.01,15.346,11.926,0.011,65.090,0.679,V
2457153.97583,2015-05-11.4753038,bb,2.00,15.434,11.946,0.011,63.881,0.641,V
2457153.97742,2015-05-11.4768918,bb,1.98,15.544,11.928,0.010,64.935,0.597,V
2457157.01442,2015-05-14.5137158,bb,2.05,15.555,11.950,0.010,63.640,0.577,V
2457157.01602,2015-05-14.5153136,bb,2.10,15.552,11.953,0.010,63.476,0.598,V
2457161.96120,2015-05-19.4602158,bb,2.00,15.571,11.946,0.010,63.864,0.577,V
2457161.96270,2015-05-19.4617142,bb,1.99,15.576,11.945,0.010,63.953,0.581,V
2457166.98571,2015-05-24.4844541,bb,1.97,15.574,11.978,0.010,62.004,0.587,V
2457166.98729,2015-05-24.4860353,bb,1.98,15.558,11.973,0.010,62.315,0.561,V
2457172.92060,2015-05-30.4190158,bb,1.97,15.402,11.933,0.011,64.688,0.656,V
2457172.92216,2015-05-30.4205827,bb,1.96,15.380,11.962,0.011,62.945,0.675,V
2457178.98990,2015-06-05.4880251,bb,1.95,15.451,12.067,0.013,57.186,0.649,V
2457178.99149,2015-06-05.4896125,bb,1.95,15.465,12.058,0.011,57.638,0.604,V
2457182.02849,2015-06-08.5264540,bb,1.99,15.569,12.041,0.010,58.541,0.568,V
2457182.03009,2015-06-08.5280569,bb,2.01,15.622,12.073,0.010,56.829,0.554,V
2457183.92035,2015-06-10.4182229,bb,2.05,15.669,12.140,0.010,53.411,0.525,V
2457183.92201,2015-06-10.4198832,bb,2.02,15.624,12.141,0.011,53.435,0.536,V
2457190.01240,2015-06-16.5100209,bb,1.96,15.532,11.953,0.011,63.514,0.624,V
2457190.01395,2015-06-16.5115634,bb,1.62,15.570,11.944,0.010,64.040,0.586,V
2457192.99320,2015-06-19.4906668,bb,2.03,15.605,11.953,0.010,63.489,0.550,V
2457192.99476,2015-06-19.4922307,bb,2.02,15.622,11.976,0.010,62.164,0.536,V
2457196.99075,2015-06-23.4880737,bb,2.11,15.613,11.953,0.009,63.499,0.558,V
2457196.99227,2015-06-23.4895900,bb,2.12,15.646,11.967,0.009,62.692,0.545,V
2457201.88224,2015-06-28.3794015,bb,2.09,15.460,11.947,0.011,63.870,0.608,V
2457201.88379,2015-06-28.3809466,bb,2.09,15.468,11.929,0.010,64.864,0.626,V
2457205.00126,2015-07-01.4982962,bb,1.98,15.454,11.960,0.011,63.043,0.635,V
2457205.00277,2015-07-01.4997981,bb,1.97,15.379,11.955,0.011,63.374,0.678,V
2457209.98685,2015-07-06.4837354,bb,1.98,15.527,11.965,0.010,62.784,0.594,V
2457209.98837,2015-07-06.4852540,bb,2.00,15.534,11.953,0.010,63.490,0.590,V
2457213.02750,2015-07-09.5243017,bb,1.67,15.570,11.942,0.011,64.119,0.618,V
2457213.02899,2015-07-09.5258004,bb,1.96,15.571,11.947,0.011,63.859,0.611,V
2457217.83126,2015-07-14.3279594,bb,2.11,15.508,11.931,0.010,64.830,0.601,V
2457217.83278,2015-07-14.3294849,bb,2.10,15.583,11.968,0.010,62.640,0.574,V
2457222.99376,2015-07-19.4903704,bb,1.61,15.582,11.983,0.010,61.724,0.581,V
2457222.99529,2015-07-19.4919032,bb,1.97,15.655,11.958,0.009,63.241,0.540,V
2457227.89887,2015-07-24.3954203,bb,2.02,15.539,11.955,0.010,63.371,0.601,V
2457227.90027,2015-07-24.3968138,bb,1.99,15.571,11.968,0.010,62.660,0.573,V
2457232.98259,2015-07-29.4791026,bb,1.78,14.049,11.936,0.034,64.491,2.012,V
2457232.98401,2015-07-29.4805187,bb,1.95,13.925,11.882,0.034,67.773,2.142,V
2457233.86294,2015-07-30.3594421,bb,2.21,15.274,11.894,0.012,67.011,0.722,V
2457233.86433,2015-07-30.3608302,bb,2.21,15.329,11.923,0.011,65.256,0.690,V
2457241.00509,2015-08-06.5015813,bb,1.99,15.536,11.944,0.010,64.023,0.584,V
2457241.00652,2015-08-06.5030105,bb,2.00,15.545,11.935,0.010,64.560,0.607,V
2457242.91741,2015-08-08.4139072,bb,2.01,15.609,11.947,0.009,63.831,0.556,V
2457242.91884,2015-08-08.4153460,bb,2.01,15.624,11.938,0.009,64.372,0.567,V
2457245.93229,2015-08-11.4288089,bb,2.06,15.626,11.960,0.009,63.032,0.566,V
2457245.93370,2015-08-11.4302256,bb,2.05,15.554,11.948,0.010,63.826,0.595,V
2457248.88619,2015-08-14.3827349,bb,2.03,15.659,11.970,0.009,62.462,0.553,V
2457248.88758,2015-08-14.3841317,bb,2.03,15.604,11.963,0.010,62.876,0.559,V
2457262.91160,2015-08-28.4083891,bb,2.04,15.411,11.970,0.011,62.530,0.644,V
2457263.87352,2015-08-29.3703319,bb,2.14,15.139,11.912,0.013,65.951,0.787,V
2457263.87476,2015-08-29.3715753,bb,2.14,15.163,11.958,0.013,63.219,0.792,V
2457263.87601,2015-08-29.3728270,bb,2.17,15.163,11.960,0.013,63.120,0.783,V
2457265.86514,2015-08-31.3619988,bb,2.46,15.307,11.897,0.012,66.830,0.752,V
2457265.86639,2015-08-31.3632520,bb,2.50,15.299,11.902,0.012,66.568,0.738,V
2457265.86765,2015-08-31.3645077,bb,2.47,15.353,11.882,0.011,67.765,0.686,V
2457270.84989,2015-09-05.3468944,bb,1.98,15.452,12.028,0.011,59.280,0.620,V
2457270.85081,2015-09-05.3478101,bb,1.98,15.408,12.053,0.012,57.889,0.620,V
2457270.85172,2015-09-05.3487246,bb,1.63,15.443,12.028,0.011,59.272,0.625,V
2457275.90727,2015-09-10.4044452,bb,2.03,15.354,11.955,0.012,63.381,0.677,V
2457275.90818,2015-09-10.4053510,bb,2.03,15.380,11.949,0.011,63.732,0.679,V
2457275.90908,2015-09-10.4062557,bb,2.04,15.384,11.965,0.012,62.809,0.680,V
2457290.82638,2015-09-25.3241619,bb,2.36,15.089,11.900,0.014,66.701,0.821,V
2457290.82762,2015-09-25.3254053,bb,2.38,15.080,11.905,0.013,66.387,0.797,V
2457290.82886,2015-09-25.3266484,bb,2.37,14.899,11.891,0.016,67.255,0.955,V
2457294.80524,2015-09-29.3032077,bb,1.68,14.848,11.960,0.016,63.133,0.950,V
