###MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
57240.377806  12.079  0.002 53495  110 o  0  65.62 298.52604  33.81067  6269.55  2780.71 3.61 3.47 -80.6 -0.491 19.06 20.87 02a57240o0060o
57240.411592  12.110  0.002 51994   96 o  0 101.32 298.52604  33.81067  2879.66  9291.60 3.56 3.45 -35.7 -0.475 18.90 20.62 02a57240o0068o
57300.264062  12.095  0.002 52702  116 o  0 102.22 298.52604  33.81067  4339.83  7828.76 3.84 3.13 -77.2 -0.488 18.65 20.17 02a57300o0167o
57300.280313  12.097  0.002 52623  130 o  0  61.30 298.52604  33.81067  4333.13  7829.24 3.87 3.18 -75.3 -0.490 18.49 20.00 02a57300o0217o
57300.296425  12.121  0.002 51496  120 o  0  42.55 298.52604  33.81067  2892.27  9309.16 4.20 3.54 -59.6 -0.497 18.76 20.38 02a57300o0267o
57300.318992  12.087  0.002 53121  124 o  0  59.65 298.52604  33.81067  2889.41  9310.76 4.07 3.41 -59.2 -0.503 18.60 20.17 02a57300o0335o
57302.247807  12.126  0.002 51246  114 o  0 100.96 298.52604  33.81067  4332.01  7830.41 4.21 3.46 -73.9 -0.517 18.89 20.62 02a57302o0098o
57302.265766  12.120  0.002 51513  113 o  0  88.30 298.52604  33.81067  4322.37  7830.24 4.23 3.32 -71.6 -0.507 18.89 20.66 02a57302o0126o
57302.281918  12.128  0.002 51143  121 o  0  49.78 298.52604  33.81067  2876.98  9309.54 4.55 3.64 -58.8 -0.505 18.88 20.70 02a57302o0151o
57302.298059  12.119  0.002 51552  116 o  0  70.78 298.52604  33.81067  2878.08  9313.27 4.56 3.65 -58.7 -0.510 18.89 20.71 02a57302o0176o
57314.255430  12.173  0.002 49051   88 c  0 215.97 298.52604  33.81067  4315.59  7841.51 4.25 3.53 -70.0 -0.490 19.08 20.86 02a57314o0091c
57314.273736  12.178  0.002 48860   89 c  0 348.80 298.52604  33.81067  4312.51  7841.34 4.35 3.70 -69.5 -0.504 19.03 20.83 02a57314o0119c
57314.295674  12.170  0.002 49220   84 c  0 421.54 298.52604  33.81067  2865.57  9321.50 4.68 3.84 -59.9 -0.477 19.02 20.80 02a57314o0150c
