hjd mag magerr filter
2457946.05195 13.333 0.027 V
2458509.57596 16.695 0.168 g
2458754.95156 16.865 0.173 g
2458754.95284 17.016 0.181 g
2458755.64121 17.064 0.206 g
2459223.59619 17.049 0.206 g
2459223.59863 16.870 0.192 g
2459319.10483 16.025 0.103 g
2459344.93876 15.447 0.068 g
2459510.71388 16.760 0.161 g
2459510.71514 16.656 0.133 g
2459510.71640 16.653 0.132 g
2459514.73883 17.119 0.179 g
2459514.74009 17.102 0.147 g
2459514.74135 16.927 0.142 g
2459515.85814 17.186 0.181 g
2459516.79995 16.937 0.148 g
2459516.80122 17.240 0.214 g
2459516.82689 17.330 0.209 g
2459824.02743 17.039 0.195 g
2460254.78820 16.973 0.185 g
2460254.78946 16.822 0.175 g
2460254.79070 17.015 0.212 g
2460257.79521 17.137 0.151 g
2460260.73197 17.364 0.219 g
