hjd mag magerr
2457625.956696 19.131 0.234
2457625.976881 18.908 0.201
2457625.994764 19.271 0.312
2457626.010175 19.148 0.242
2457668.851576 17.782 0.067
2457668.852562 17.924 0.070
2457668.862456 17.934 0.067
2457668.862947 17.953 0.082
2457668.875436 17.899 0.074
2457668.876918 17.773 0.058
2457668.885325 18.026 0.071
2457668.893798 19.731 0.323
2457668.907550 17.834 0.062
2457988.967604 20.198 0.263
2457988.976921 20.190 0.229
2457988.998118 20.379 0.315
2458044.931003 20.097 0.306
2458076.848740 20.136 0.329
2458309.085518 20.383 0.320
2458345.009234 20.373 0.360
2458396.918568 20.142 0.361
2458400.922230 19.676 0.249
2458400.927060 19.742 0.345
2458424.862353 20.066 0.233
2458428.861635 20.434 0.323
2458428.866510 20.432 0.365
2458456.802996 20.175 0.274
2458456.810887 19.785 0.237
2458460.802370 19.950 0.305
2458492.738315 20.102 0.314
2458669.044082 20.526 0.320
2458693.102311 20.415 0.337
2458700.998872 20.414 0.337
2458720.904504 20.070 0.254
2458720.907413 20.710 0.373
2458728.910372 20.373 0.305
2458728.934593 20.477 0.356
2458757.039089 17.167 0.027
2458757.042308 17.196 0.028
2458757.048465 17.246 0.030
2458757.059739 17.405 0.040
2458780.707667 20.205 0.333
2458780.713291 20.266 0.350
2458780.714219 20.487 0.305
2458784.850205 19.610 0.300
2458784.858964 20.073 0.297
2458784.860390 20.058 0.314
2458804.706219 19.828 0.231
2458804.709227 19.525 0.192
2458804.719529 19.231 0.106
2458804.824850 19.420 0.154
2458808.781113 20.156 0.281
2458816.732593 19.970 0.184
2458816.735794 20.008 0.223
2458816.741407 20.329 0.244
2458868.730549 17.411 0.037
2458868.733756 17.354 0.036
2458868.739847 17.413 0.040
2458868.749788 17.427 0.041
2458969.083649 19.961 0.319
2459029.052243 20.617 0.361
2459029.055450 19.980 0.214
2459029.058651 20.229 0.292
2459029.069475 20.048 0.172
2459049.059023 20.068 0.251
2459053.113602 20.109 0.328
2459053.118863 19.584 0.247
2459061.014917 20.455 0.313
2459061.018140 20.292 0.294
2459084.975131 20.339 0.294
2459084.980624 20.266 0.348
2459192.708668 20.135 0.249
2459192.712338 20.506 0.379
2459194.754963 20.437 0.295
2459194.765142 19.996 0.235
2459218.766838 20.348 0.359
2459220.728581 20.230 0.282
2459228.729183 17.712 0.052
2459228.734686 17.690 0.058
2459228.738826 17.582 0.044
2459228.748903 17.188 0.033
2459323.096577 17.598 0.064
2459323.114656 17.638 0.061
2459323.124805 17.444 0.072
2459375.082083 20.702 0.342
2459379.051286 20.678 0.329
2459379.056814 20.275 0.240
2459379.060504 20.286 0.242
2459379.071392 20.293 0.215
2459405.043466 20.222 0.324
2459409.019053 20.042 0.307
2459409.022257 20.414 0.335
2459413.064834 20.567 0.361
2459413.068964 19.864 0.227
2459430.907878 20.232 0.212
2459430.936872 19.833 0.158
2459430.942459 20.437 0.301
2459430.945684 20.231 0.263
2459434.998931 20.437 0.322
2459435.002185 20.090 0.260
2459435.043991 19.561 0.141
2459438.886493 19.823 0.154
2459438.892696 20.391 0.250
2459442.983592 20.211 0.228
2459442.987287 19.746 0.151
2459442.993739 20.463 0.215
2459456.890437 20.238 0.337
2459456.893590 20.445 0.366
2459456.906537 20.100 0.272
2459464.890316 20.127 0.267
2459465.021239 20.054 0.370
2459468.979951 20.348 0.350
2459469.012392 20.217 0.364
2459516.825201 17.591 0.032
2459516.828866 17.739 0.036
2459516.834816 19.070 0.093
2459516.846288 17.660 0.032
2459524.830323 19.630 0.199
2459524.835815 20.005 0.305
2459524.840399 20.403 0.358
2459524.850997 20.228 0.340
2459736.040104 19.711 0.272
2459783.991995 19.006 0.117
2459783.995009 18.980 0.108
2459783.997732 18.950 0.101
2459783.999540 19.384 0.221
2459786.998223 19.989 0.260
2459787.033459 20.247 0.371
2459787.044592 19.882 0.287
2459787.963064 20.070 0.353
2459787.964906 20.080 0.327
2459787.970357 19.955 0.266
2459789.926307 20.472 0.371
2459789.948395 20.027 0.254
2459790.881772 20.250 0.342
2459790.924334 20.347 0.372
2459791.952018 19.556 0.196
2459791.966290 19.942 0.277
2459819.948785 20.146 0.338
2459819.951956 19.933 0.263
2459821.949181 20.303 0.362
2459821.952796 20.098 0.257
2459821.958357 20.310 0.330
2459822.906533 19.859 0.223
2459822.908342 20.019 0.328
2459823.960263 19.819 0.253
2459843.873427 20.383 0.341
2459843.877122 20.477 0.365
2459847.862373 20.385 0.365
2459849.996477 20.438 0.376
2459851.874571 20.133 0.246
2459851.877341 20.303 0.252
2459851.882889 20.528 0.324
2459853.895158 20.246 0.269
2459853.929187 20.320 0.350
2459870.731735 17.718 0.046
2459870.734899 17.711 0.036
2459870.741989 17.754 0.043
2459870.747168 17.771 0.040
2459871.867133 18.780 0.087
2459871.870302 18.759 0.086
2459871.881661 18.572 0.082
2459871.892569 18.797 0.094
2459875.862877 20.254 0.304
2459881.826048 19.714 0.211
2459897.799384 20.420 0.333
2459897.805066 20.233 0.270
2459901.756148 20.282 0.291
2459907.788011 20.331 0.311
2459908.725026 19.897 0.219
2459927.703423 19.934 0.278
2460111.960874 19.872 0.242
2460111.986706 20.257 0.367
2460113.065570 20.177 0.331
2460115.050440 20.287 0.348
2460125.020994 19.017 0.151
2460125.023810 19.408 0.202
2460125.024715 19.753 0.240
2460125.029971 19.381 0.181
2460125.040858 19.409 0.166
2460125.042690 19.231 0.168
2460142.014463 20.207 0.341
2460148.973260 20.227 0.357
2460150.033278 20.236 0.322
2460150.042765 20.226 0.370
2460150.933018 20.060 0.329
2460174.991547 20.321 0.316
2460176.940418 20.296 0.335
2460177.980757 20.484 0.360
2460181.012673 19.950 0.259
2460182.978516 20.054 0.297
2460195.927384 19.942 0.233
2460196.982364 20.225 0.346
2460200.922345 19.610 0.241
2460202.763164 20.033 0.256
2460207.892649 19.954 0.273
2460207.899528 20.167 0.316
2460224.888870 19.750 0.268
2460224.899198 20.174 0.354
2460228.855337 20.116 0.337
2460228.858532 19.161 0.365
2460228.874912 19.992 0.311
2460229.852799 20.053 0.329
2460230.848508 20.234 0.307
2460232.872056 20.293 0.370
2460233.865141 20.269 0.379
2460233.870877 20.323 0.362
2460236.746490 20.197 0.358
2460236.779338 20.247 0.306
2460237.858214 19.974 0.303
