hjd mag magerr
2457524.075159 19.045 0.295
2457524.085101 18.814 0.226
2457621.989503 17.980 0.317
2457622.004335 17.824 0.230
2457622.011404 17.751 0.222
2457938.077349 20.101 0.353
2457938.101475 20.124 0.377
2457940.102683 20.165 0.321
2457950.088754 19.607 0.350
2457960.039161 20.482 0.315
2457960.048007 20.429 0.336
2457964.037308 16.802 0.017
2457964.043183 16.706 0.017
2457964.051533 16.703 0.017
2457964.060327 16.729 0.017
2457966.011842 17.407 0.036
2457966.021084 17.464 0.039
2457966.022070 17.381 0.039
2457966.029369 17.315 0.033
2457966.033763 17.648 0.042
2457966.037646 17.925 0.052
2457966.042503 17.169 0.047
2457966.046395 16.861 0.024
2457967.990051 17.617 0.075
2457967.999129 17.740 0.035
2457968.003046 18.325 0.072
2457968.013307 17.217 0.035
2457968.014294 17.217 0.028
2457968.026582 17.407 0.042
2457968.032960 17.393 0.129
2457970.003318 17.737 0.071
2457970.013545 17.846 0.078
2457970.027336 17.877 0.052
2457970.034644 17.833 0.059
2457970.040578 17.923 0.066
2457972.995542 18.068 0.225
2457972.996998 18.008 0.170
2457973.014438 18.386 0.218
2457975.011230 18.957 0.233
2457975.020600 18.909 0.237
2457975.021114 19.191 0.279
2457975.032991 19.266 0.338
2457979.004758 19.601 0.266
2457979.024516 19.952 0.363
2457980.986029 19.955 0.190
2457980.996264 20.264 0.334
2457980.996747 20.161 0.303
2457982.993963 19.747 0.251
2457990.988352 19.964 0.367
2457990.988855 19.899 0.338
2457992.969991 20.188 0.300
2457992.981011 19.738 0.189
2457992.987785 20.287 0.332
2457993.002142 20.213 0.298
2457997.001266 19.936 0.202
2457997.010501 19.985 0.247
2458010.915901 19.636 0.240
2458010.926960 19.820 0.305
2458010.932111 20.122 0.333
2458014.904598 19.912 0.300
2458014.912559 19.996 0.282
2458022.894492 19.595 0.248
2458022.895439 19.629 0.286
2458026.942295 19.764 0.363
2458036.905479 19.828 0.297
2458040.910353 20.134 0.360
2458040.915759 19.677 0.254
2458042.886593 19.933 0.342
2458056.890165 19.858 0.329
2458066.846813 19.848 0.322
2458070.875479 19.940 0.354
2458074.841451 19.967 0.347
2458096.758640 20.210 0.305
2458128.739700 20.216 0.372
2458130.744710 19.313 0.266
2458143.728654 19.390 0.315
2458147.711532 17.801 0.316
2458147.714334 17.763 0.322
2458299.059962 19.611 0.363
2458311.071393 20.283 0.379
2458321.035226 20.132 0.296
2458321.044140 17.484 0.328
2458325.034935 19.932 0.364
2458329.017246 19.265 0.280
2458335.045379 19.835 0.317
2458339.008778 19.669 0.291
2458348.988831 20.377 0.357
2458348.996201 20.424 0.360
2458368.949733 19.926 0.324
2458368.960843 19.973 0.309
