hjd mag magerr
2455078.9835839 19.6201 0.1598
2455078.9975422 20.1636 0.2034
2455455.7711432 19.9075 0.0446
2455455.7831259 19.8816 0.0399
2455792.0643300 20.2602 0.0464
2455792.0757444 20.0698 0.1027
2455806.8198144 20.3166 0.0563
2455806.8319378 19.9353 0.0376
2456167.0272425 17.8341 0.0118
2456167.0386696 17.6865 0.0090
2456502.0813409 20.1949 0.0476
2456502.0930906 19.8618 0.0368
2456523.0266170 20.0552 0.0433
2456523.0380464 20.1341 0.0465
2456825.0649516 20.2304 0.0773
2456825.0754271 20.1374 0.0652
2456825.0858783 20.0237 0.0519
2456825.0963123 20.0745 0.0508
2456850.0445445 19.7742 0.0636
2456850.0566872 19.8165 0.0524
2456850.0688619 20.1850 0.0783
2456850.0810308 19.9653 0.0743
2456906.8884185 20.3461 0.0748
2456906.9094423 20.0753 0.0656
2456909.8904473 20.5419 0.1340
2456909.9013531 19.6212 0.1403
2456937.7888033 20.3254 0.0796
2456937.8010399 20.0811 0.0744
2456937.8133285 19.9340 0.0750
2456937.8255811 20.1222 0.0946
