hjd mag magerr
2458333.9345452 20.668066 0.153359
2458338.8949072 20.312075 0.130023
2458344.8918669 21.328741 0.199235
2458350.8146588 20.702536 0.155752
2458379.7117961 20.479179 0.144089
2458381.7502751 20.418562 0.134831
2458383.7466890 20.243341 0.124393
2458383.7513649 20.484587 0.140376
2458384.7884820 19.979721 0.101044
2458384.7908547 20.053768 0.109583
2458387.7711575 18.552170 0.038362
2458388.8370311 19.530624 0.075600
2458389.8658665 19.949961 0.101998
2458389.8663179 19.833332 0.091324
2458390.8328841 20.735147 0.158017
2458428.7104927 20.272068 0.126732
2458690.9990404 20.759792 0.164649
2458704.9087280 21.135586 0.191783
2458704.9160431 21.110836 0.184104
2458704.9164945 20.819639 0.163884
2458708.8988272 20.277351 0.127164
2458717.9378505 20.669353 0.153448
2458717.9387533 20.912790 0.175696
2458718.9376186 20.675741 0.153892
2458718.9380700 20.670504 0.153528
2458718.9413571 20.654015 0.157012
2458723.9271262 20.827406 0.169531
2458723.9275776 20.857620 0.171713
2458723.9462586 21.060715 0.180624
2458723.9467101 20.834425 0.164911
2458725.9288132 20.045265 0.105667
2458725.9292646 20.208012 0.117834
2458725.9297160 20.221455 0.122626
2458725.9301674 20.314564 0.130229
2458735.0000601 20.606331 0.149072
2458737.9478807 20.435850 0.140407
2458757.6865843 16.880190 0.015489
2458757.6914569 16.736553 0.014738
2458762.7663297 17.491407 0.022193
2458762.7667811 17.498554 0.022258
2458762.7681584 17.490559 0.020105
2458762.7686098 17.531223 0.020515
2458764.7681922 18.111721 0.029743
2458764.7686551 18.067173 0.029046
2458764.8720675 19.881710 0.097234
2458764.8725189 20.269836 0.126549
2458765.7645501 18.044153 0.028696
2458765.7650015 18.048080 0.028755
2458765.7890056 18.235775 0.030649
2458765.7894570 18.228910 0.030517
2458766.7627122 18.854530 0.046448
2458766.7659297 18.609688 0.039753
2458766.7663811 18.702507 0.042150
2458767.7777826 19.094095 0.055096
2458768.7642298 20.289413 0.124258
2458768.8010461 19.742458 0.088075
2458772.6957603 20.203588 0.121194
2458781.6931838 20.674576 0.158496
2458782.7506664 20.787134 0.161627
2458782.7511178 20.670420 0.153522
2458782.7534441 20.373310 0.135128
2458782.7538955 20.505905 0.146317
2458783.6905137 20.910172 0.170170
2458783.6909651 20.590002 0.147938
2458783.6928400 20.805296 0.167935
2458783.6932914 20.604090 0.153407
2458785.6955012 20.717323 0.156779
2458791.6643546 20.146189 0.116659
2458791.6675373 20.365902 0.130470
2458791.6679887 21.153759 0.187084
2458793.7106674 19.930628 0.100631
2458793.7111303 20.000969 0.105675
2458794.6666152 20.403225 0.133555
2458794.6670666 20.953957 0.173211
2458795.6656270 20.202774 0.121129
2458795.6660784 20.384592 0.136076
2458798.6635025 20.287874 0.124134
