hjd mag magerr
2458300.9100544 20.324348 0.130233
2458301.9253895 20.539398 0.145442
2458301.9258409 20.205633 0.115026
2458319.9956219 20.438124 0.136345
2458326.8712690 20.435137 0.136052
2458328.8659292 20.547018 0.150827
2458330.8911670 20.685612 0.156329
2458330.8916185 20.858032 0.169166
2458332.8810066 20.536236 0.145207
2458332.8814580 20.969114 0.177436
2458333.8484643 20.353153 0.132925
2458333.8498649 20.282127 0.121703
2458333.8503163 20.684799 0.156268
2458334.8823599 20.023277 0.104595
2458334.8828114 20.089874 0.109869
2458334.9024073 20.414438 0.134034
2458334.9028587 20.324169 0.125514
2458335.8756971 21.511234 0.224512
2458336.8752144 20.653471 0.153936
2458336.8761288 20.521088 0.148846
2458336.8765917 20.352053 0.132821
2458344.9499365 20.227644 0.121497
2458344.9503995 20.291290 0.122525
2458345.8527058 20.386600 0.136101
2458353.8216626 21.070637 0.184995
2458353.8240122 20.681326 0.161091
2458354.7857570 19.975056 0.096855
2458355.8130585 20.562904 0.147192
2458355.8269709 20.308084 0.128731
2458356.8312730 20.111072 0.111595
2458357.8425185 20.199562 0.114510
2458360.8127401 20.214212 0.120321
2458361.8250810 20.046917 0.106442
2458361.8255324 20.241989 0.118158
2458368.8254498 20.561232 0.147068
2458368.8277647 20.436194 0.140907
2458378.7676709 20.565128 0.152211
2458378.7686547 20.617786 0.151279
2458379.7710903 20.398128 0.137207
2458379.7715417 20.366714 0.129472
2458380.7912795 20.541798 0.150428
2458385.7937924 17.124966 0.016630
2458386.7938239 17.739296 0.021720
2458386.8047845 17.801319 0.022441
2458425.7633202 20.248846 0.123372
2458425.7637832 20.242418 0.118196
2458443.5728026 20.287186 0.122156
2458672.9847831 20.310211 0.124237
2458672.9852345 20.295080 0.122866
2458672.9884409 20.257780 0.124169
2458682.8967505 20.645454 0.153339
2458685.9001983 20.407335 0.138096
2458685.9006496 20.686195 0.161463
2458685.9357560 20.202782 0.114783
2458685.9362074 20.208036 0.115230
2458695.8469614 20.348968 0.132531
2458695.8474128 20.345539 0.132209
2458695.8487902 20.534988 0.145114
2458695.8492416 20.279730 0.121489
2458700.9374470 20.034943 0.105503
2458700.9378984 20.121761 0.112474
2458700.9392642 20.026173 0.100636
2458700.9397156 20.096121 0.106035
2458706.8534009 21.681538 0.230479
2458711.8325156 20.308176 0.124052
2458711.8329669 20.176273 0.112550
2458711.8945435 20.322565 0.130068
2458712.8935420 20.575912 0.148161
2458712.8939934 20.403240 0.132952
2458712.8953824 20.197578 0.118877
2458712.8958338 20.488188 0.146066
2458714.8997657 20.580431 0.153381
2458715.9129632 20.575316 0.148116
2458716.9091452 20.460628 0.143316
2458716.9095966 20.265354 0.124848
2458716.9114254 20.580132 0.148475
2458719.8944445 20.548098 0.150910
2458719.8948843 20.768564 0.167758
2458719.8962616 20.900770 0.172348
2458726.8209891 20.318752 0.125017
2458726.8214405 20.285742 0.122027
2458726.8223780 20.198120 0.118924
2458726.8228295 20.183029 0.117625
2458728.7659902 20.382467 0.135705
2458728.7664416 20.606895 0.155403
2458728.7678189 20.498844 0.142415
2458728.7682819 20.678612 0.155807
2458739.8677412 20.116177 0.107632
2458739.8681926 19.863442 0.089072
2458739.8759820 20.000288 0.102827
2458739.8764334 20.371185 0.134630
2458740.8686077 20.077759 0.108893
2458740.8690591 20.359646 0.133537
2458741.8748434 20.223610 0.116565
2458741.8752948 20.076570 0.104499
2458741.8757462 20.198952 0.118996
2458744.9114370 20.137680 0.109369
2458744.9192495 20.223539 0.121137
2458745.8761401 20.069771 0.103970
2458745.8765915 20.123491 0.108220
2458745.8788831 19.859915 0.092604
2458745.8793345 20.077658 0.108885
2458748.8440041 20.405615 0.137930
2458748.8444555 20.513918 0.148298
2458748.8449068 20.171255 0.112132
2458748.8453582 20.129545 0.108709
2458757.7544886 17.137423 0.016400
2458759.8245796 17.349628 0.018165
2458759.8250310 17.330723 0.018023
2458760.8141031 17.351074 0.017948
2458760.8145544 17.363277 0.018047
2458763.8007911 17.749203 0.021820
2458763.8012425 17.757263 0.021914
2458765.7073174 18.136669 0.027239
2458765.7077572 18.161304 0.027653
